transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI006-TX-0001,HI006,Mililani,Oahu,HI,2026-06-30 17:34:43,CAP-100,100uF Capacitor,Capacitors,9,0.16,0.61,5.49,1.44,4.05,Noah,Retail,ACH,236
HI006-TX-0002,HI006,Mililani,Oahu,HI,2026-06-30 10:48:45,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.42,13.39,40.17,13.26,26.91,Kaleo,Maker/Hobbyist,Credit Card,848
HI006-TX-0003,HI006,Mililani,Oahu,HI,2026-06-30 11:34:34,SNS-PIR,PIR Motion Sensor,Sensors,2,1.48,6.23,12.46,2.96,9.50,Malia,Education,Purchase Order,65
HI006-TX-0004,HI006,Mililani,Oahu,HI,2026-06-30 17:32:41,RES-010,10k Ohm Resistor,Resistors,6,0.03,0.14,0.84,0.18,0.66,Alika,Retail,ACH,897
HI006-TX-0005,HI006,Mililani,Oahu,HI,2026-06-30 16:16:59,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.65,6.29,50.32,13.20,37.12,Ailani,Retail,Credit Card,684
HI006-TX-0006,HI006,Mililani,Oahu,HI,2026-06-30 12:27:47,PWR-BUCK,Buck Converter Module,Power,19,0.99,4.99,94.81,18.81,76.00,Noelani,Marine,Purchase Order,877
HI006-TX-0007,HI006,Mililani,Oahu,HI,2026-06-30 10:33:01,IC-358,LM358 Op Amp,Integrated Circuits,37,0.30,1.19,44.03,11.10,32.93,Malia,Commercial,Mobile Pay,137
HI006-TX-0008,HI006,Mililani,Oahu,HI,2026-06-30 12:55:41,PWR-BUCK,Buck Converter Module,Power,10,1.09,4.98,49.80,10.90,38.90,Noelani,Maker/Hobbyist,Cash,236
HI006-TX-0009,HI006,Mililani,Oahu,HI,2026-06-30 11:58:29,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.38,12.29,36.87,13.14,23.73,Keanu,Commercial,Purchase Order,619
HI006-TX-0010,HI006,Mililani,Oahu,HI,2026-06-30 09:53:07,CON-JMP,Jumper Wire Set,Connectors,32,0.95,3.76,120.32,30.40,89.92,Keahi,Commercial,Mobile Pay,224
HI006-TX-0011,HI006,Mililani,Oahu,HI,2026-06-30 14:25:33,TOOL-WIRE,Wire Stripper,Tools,5,4.67,14.52,72.60,23.35,49.25,Makana,Government,ACH,550
HI006-TX-0012,HI006,Mililani,Oahu,HI,2026-06-30 11:35:36,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.45,6.69,26.76,5.80,20.96,Leilani,Marine,ACH,667
HI006-TX-0013,HI006,Mililani,Oahu,HI,2026-06-30 09:36:56,RES-220,220 Ohm Resistor,Resistors,17,0.03,0.14,2.38,0.51,1.87,Keanu,Commercial,Cash,754
HI006-TX-0014,HI006,Mililani,Oahu,HI,2026-06-30 13:30:04,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.76,14.53,116.24,38.08,78.16,Akamu,Education,Cash,707
HI006-TX-0015,HI006,Mililani,Oahu,HI,2026-06-30 09:56:13,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,8.21,20.68,82.72,32.84,49.88,Ikaika,Marine,ACH,527
HI006-TX-0016,HI006,Mililani,Oahu,HI,2026-06-30 15:08:16,IC-358,LM358 Op Amp,Integrated Circuits,15,0.32,1.26,18.90,4.80,14.10,Ailani,Marine,Cash,599
HI006-TX-0017,HI006,Mililani,Oahu,HI,2026-06-30 15:32:08,MOS-44N,IRFZ44N MOSFET,Semiconductors,26,0.63,2.47,64.22,16.38,47.84,Mika,Marine,ACH,316
HI006-TX-0018,HI006,Mililani,Oahu,HI,2026-06-30 14:08:49,RES-010,10k Ohm Resistor,Resistors,21,0.03,0.14,2.94,0.63,2.31,Noelani,Tourism/Hospitality,Purchase Order,693
HI006-TX-0019,HI006,Mililani,Oahu,HI,2026-06-30 12:49:34,RES-220,220 Ohm Resistor,Resistors,10,0.03,0.13,1.30,0.30,1.00,Ikaika,Marine,Debit Card,835
HI006-TX-0020,HI006,Mililani,Oahu,HI,2026-06-30 08:09:33,IC-REG,7805 Voltage Regulator,Integrated Circuits,20,0.21,0.89,17.80,4.20,13.60,Koa,Retail,Credit Card,260
HI006-TX-0021,HI006,Mililani,Oahu,HI,2026-06-30 09:45:55,SNS-SOIL,Soil Moisture Sensor,Sensors,27,0.99,4.32,116.64,26.73,89.91,Malia,Tourism/Hospitality,Purchase Order,674
HI006-TX-0022,HI006,Mililani,Oahu,HI,2026-06-30 12:04:43,TR-3904,2N3904 NPN Transistor,Semiconductors,11,0.06,0.24,2.64,0.66,1.98,Ikaika,Retail,Purchase Order,743
HI006-TX-0023,HI006,Mililani,Oahu,HI,2026-06-30 17:04:32,IC-555,NE555 Timer IC,Integrated Circuits,2,0.36,1.34,2.68,0.72,1.96,Pualani,Education,Cash,625
HI006-TX-0024,HI006,Mililani,Oahu,HI,2026-06-30 16:03:08,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.50,6.19,49.52,12.00,37.52,Iolana,Tourism/Hospitality,Debit Card,484
HI006-TX-0025,HI006,Mililani,Oahu,HI,2026-06-30 17:03:27,SNS-DHT,DHT22 Temperature Sensor,Sensors,8,2.38,7.60,60.80,19.04,41.76,Ailani,Tourism/Hospitality,Purchase Order,220
