transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI007-TX-0001,HI007,Kapolei,Oahu,HI,2026-06-30 11:18:41,CON-JMP,Jumper Wire Set,Connectors,2,0.88,3.75,7.50,1.76,5.74,Alika,Retail,Debit Card,721
HI007-TX-0002,HI007,Kapolei,Oahu,HI,2026-06-30 15:26:54,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.27,33.47,133.88,41.08,92.80,Ikaika,Maker/Hobbyist,Cash,304
HI007-TX-0003,HI007,Kapolei,Oahu,HI,2026-06-30 15:54:24,LED-RED,5mm Red LED,LEDs,15,0.06,0.29,4.35,0.90,3.45,Iolana,Commercial,ACH,83
HI007-TX-0004,HI007,Kapolei,Oahu,HI,2026-06-30 16:50:30,RES-010,10k Ohm Resistor,Resistors,2,0.03,0.13,0.26,0.06,0.20,Hana,Marine,Mobile Pay,552
HI007-TX-0005,HI007,Kapolei,Oahu,HI,2026-06-30 14:08:08,TR-3904,2N3904 NPN Transistor,Semiconductors,26,0.06,0.23,5.98,1.56,4.42,Pualani,Education,Debit Card,366
HI007-TX-0006,HI007,Kapolei,Oahu,HI,2026-06-30 14:28:38,IC-358,LM358 Op Amp,Integrated Circuits,27,0.29,1.18,31.86,7.83,24.03,Mika,Commercial,Cash,467
HI007-TX-0007,HI007,Kapolei,Oahu,HI,2026-06-30 11:56:04,IC-REG,7805 Voltage Regulator,Integrated Circuits,6,0.20,0.92,5.52,1.20,4.32,Noelani,Commercial,Mobile Pay,245
HI007-TX-0008,HI007,Kapolei,Oahu,HI,2026-06-30 09:24:04,IC-358,LM358 Op Amp,Integrated Circuits,16,0.31,1.15,18.40,4.96,13.44,Iolana,Maker/Hobbyist,Cash,684
HI007-TX-0009,HI007,Kapolei,Oahu,HI,2026-06-30 08:56:18,TR-3904,2N3904 NPN Transistor,Semiconductors,11,0.05,0.24,2.64,0.55,2.09,Noelani,Maker/Hobbyist,Cash,33
HI007-TX-0010,HI007,Kapolei,Oahu,HI,2026-06-30 16:14:11,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,21,0.05,0.18,3.78,1.05,2.73,Leilani,Marine,Debit Card,623
HI007-TX-0011,HI007,Kapolei,Oahu,HI,2026-06-30 15:05:22,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.10,20.90,41.80,16.20,25.60,Iolana,Tourism/Hospitality,Cash,439
HI007-TX-0012,HI007,Kapolei,Oahu,HI,2026-06-30 12:21:11,SOL-CTRL,Solar Charge Controller,Solar Power,8,10.70,33.00,264.00,85.60,178.40,Lani,Retail,Mobile Pay,679
HI007-TX-0013,HI007,Kapolei,Oahu,HI,2026-06-30 14:00:09,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.46,6.90,27.60,5.84,21.76,Pualani,Commercial,Purchase Order,512
HI007-TX-0014,HI007,Kapolei,Oahu,HI,2026-06-30 09:16:11,ARD-NANO,Arduino Nano Compatible,Microcontrollers,4,4.70,14.05,56.20,18.80,37.40,Nalu,Retail,Mobile Pay,757
HI007-TX-0015,HI007,Kapolei,Oahu,HI,2026-06-30 16:43:14,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.23,20.66,144.62,57.61,87.01,Nalu,Maker/Hobbyist,Purchase Order,98
HI007-TX-0016,HI007,Kapolei,Oahu,HI,2026-06-30 11:03:58,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.84,20.99,104.95,44.20,60.75,Leilani,Retail,ACH,58
