transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI013-TX-0001,HI013,Laie,Oahu,HI,2026-06-30 17:56:04,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.52,13.98,111.84,36.16,75.68,Makana,Retail,Cash,604
HI013-TX-0002,HI013,Laie,Oahu,HI,2026-06-30 12:52:01,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.12,8.80,44.00,15.60,28.40,Kaleo,Maker/Hobbyist,Purchase Order,862
HI013-TX-0003,HI013,Laie,Oahu,HI,2026-06-30 16:11:44,CAP-010,10uF Capacitor,Capacitors,3,0.08,0.36,1.08,0.24,0.84,Lani,Retail,ACH,154
HI013-TX-0004,HI013,Laie,Oahu,HI,2026-06-30 15:07:32,ESP-32,ESP32 Dev Board,Microcontrollers,7,4.17,13.25,92.75,29.19,63.56,Pualani,Maker/Hobbyist,Cash,23
HI013-TX-0005,HI013,Laie,Oahu,HI,2026-06-30 11:45:42,RES-010,10k Ohm Resistor,Resistors,26,0.03,0.14,3.64,0.78,2.86,Makana,Commercial,Credit Card,853
HI013-TX-0006,HI013,Laie,Oahu,HI,2026-06-30 11:17:07,SNS-SOIL,Soil Moisture Sensor,Sensors,14,0.95,4.49,62.86,13.30,49.56,Noelani,Commercial,Mobile Pay,448
HI013-TX-0007,HI013,Laie,Oahu,HI,2026-06-30 09:42:11,TOOL-SOL,Soldering Iron Tips,Tools,3,1.86,7.48,22.44,5.58,16.86,Pualani,Marine,Mobile Pay,822
HI013-TX-0008,HI013,Laie,Oahu,HI,2026-06-30 11:56:52,IC-358,LM358 Op Amp,Integrated Circuits,24,0.32,1.18,28.32,7.68,20.64,Iolana,Government,Credit Card,140
HI013-TX-0009,HI013,Laie,Oahu,HI,2026-06-30 12:20:43,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,5,0.05,0.20,1.00,0.25,0.75,Keanu,Maker/Hobbyist,Purchase Order,19
HI013-TX-0010,HI013,Laie,Oahu,HI,2026-06-30 12:53:33,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,23,0.04,0.21,4.83,0.92,3.91,Keahi,Government,Debit Card,79
HI013-TX-0011,HI013,Laie,Oahu,HI,2026-06-30 15:07:30,TOOL-SOL,Soldering Iron Tips,Tools,1,1.91,7.22,7.22,1.91,5.31,Akamu,Government,Cash,109
HI013-TX-0012,HI013,Laie,Oahu,HI,2026-06-30 13:53:10,PWR-BUCK,Buck Converter Module,Power,40,1.02,4.96,198.40,40.80,157.60,Nalu,Government,Cash,44
HI013-TX-0013,HI013,Laie,Oahu,HI,2026-06-30 16:59:12,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.35,13.91,69.55,21.75,47.80,Pualani,Education,Debit Card,825
