transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI015-TX-0001,HI015,Makakilo,Oahu,HI,2026-06-30 15:07:36,LED-BLU,5mm Blue LED,LEDs,14,0.07,0.31,4.34,0.98,3.36,Akamu,Retail,Mobile Pay,0
HI015-TX-0002,HI015,Makakilo,Oahu,HI,2026-06-30 09:59:50,IC-358,LM358 Op Amp,Integrated Circuits,38,0.29,1.25,47.50,11.02,36.48,Ikaika,Commercial,Cash,298
HI015-TX-0003,HI015,Makakilo,Oahu,HI,2026-06-30 17:55:02,SOL-CTRL,Solar Charge Controller,Solar Power,8,11.21,32.07,256.56,89.68,166.88,Lani,Tourism/Hospitality,Mobile Pay,713
HI015-TX-0004,HI015,Makakilo,Oahu,HI,2026-06-30 13:24:44,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,7.85,21.10,105.50,39.25,66.25,Pualani,Education,Mobile Pay,682
HI015-TX-0005,HI015,Makakilo,Oahu,HI,2026-06-30 08:30:44,MOS-44N,IRFZ44N MOSFET,Semiconductors,7,0.58,2.50,17.50,4.06,13.44,Keanu,Education,Cash,139
HI015-TX-0006,HI015,Makakilo,Oahu,HI,2026-06-30 09:32:32,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,3,0.04,0.20,0.60,0.12,0.48,Nalu,Education,Debit Card,604
HI015-TX-0007,HI015,Makakilo,Oahu,HI,2026-06-30 17:59:21,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,3.89,14.09,70.45,19.45,51.00,Lani,Government,Purchase Order,268
HI015-TX-0008,HI015,Makakilo,Oahu,HI,2026-06-30 17:27:39,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.66,21.64,64.92,25.98,38.94,Noelani,Marine,Mobile Pay,238
HI015-TX-0009,HI015,Makakilo,Oahu,HI,2026-06-30 09:54:13,CON-JMP,Jumper Wire Set,Connectors,13,0.98,3.84,49.92,12.74,37.18,Iolana,Marine,ACH,818
HI015-TX-0010,HI015,Makakilo,Oahu,HI,2026-06-30 11:54:09,SNS-SOIL,Soil Moisture Sensor,Sensors,3,0.95,4.29,12.87,2.85,10.02,Ailani,Maker/Hobbyist,Cash,359
HI015-TX-0011,HI015,Makakilo,Oahu,HI,2026-06-30 10:21:53,SNS-SOIL,Soil Moisture Sensor,Sensors,21,0.91,4.42,92.82,19.11,73.71,Koa,Government,ACH,416
HI015-TX-0012,HI015,Makakilo,Oahu,HI,2026-06-30 16:03:08,SNS-DHT,DHT22 Temperature Sensor,Sensors,5,2.58,7.24,36.20,12.90,23.30,Hana,Education,ACH,537
HI015-TX-0013,HI015,Makakilo,Oahu,HI,2026-06-30 16:14:26,RES-010,10k Ohm Resistor,Resistors,33,0.03,0.14,4.62,0.99,3.63,Noah,Commercial,ACH,97
HI015-TX-0014,HI015,Makakilo,Oahu,HI,2026-06-30 13:04:22,CON-JMP,Jumper Wire Set,Connectors,17,0.89,3.88,65.96,15.13,50.83,Noelani,Government,Mobile Pay,303
HI015-TX-0015,HI015,Makakilo,Oahu,HI,2026-06-30 11:05:11,TOOL-DMM,Digital Multimeter,Tools,1,9.22,28.58,28.58,9.22,19.36,Iolana,Government,Credit Card,95
HI015-TX-0016,HI015,Makakilo,Oahu,HI,2026-06-30 15:31:48,IC-555,NE555 Timer IC,Integrated Circuits,34,0.34,1.40,47.60,11.56,36.04,Hana,Commercial,Credit Card,623
HI015-TX-0017,HI015,Makakilo,Oahu,HI,2026-06-30 12:31:10,MOS-44N,IRFZ44N MOSFET,Semiconductors,35,0.57,2.43,85.05,19.95,65.10,Nalu,Retail,Purchase Order,157
HI015-TX-0018,HI015,Makakilo,Oahu,HI,2026-06-30 10:09:59,TOOL-WIRE,Wire Stripper,Tools,4,5.22,15.69,62.76,20.88,41.88,Ikaika,Marine,Mobile Pay,443
HI015-TX-0019,HI015,Makakilo,Oahu,HI,2026-06-30 14:19:21,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,15,0.04,0.20,3.00,0.60,2.40,Akamu,Education,Credit Card,558
HI015-TX-0020,HI015,Makakilo,Oahu,HI,2026-06-30 09:11:07,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.41,9.05,36.20,13.64,22.56,Keahi,Maker/Hobbyist,Debit Card,379
HI015-TX-0021,HI015,Makakilo,Oahu,HI,2026-06-30 08:12:45,PWR-5V2,5V 2A Power Supply,Power,4,3.48,10.88,43.52,13.92,29.60,Ailani,Marine,Cash,308
HI015-TX-0022,HI015,Makakilo,Oahu,HI,2026-06-30 14:12:37,IC-555,NE555 Timer IC,Integrated Circuits,23,0.37,1.37,31.51,8.51,23.00,Alika,Tourism/Hospitality,Credit Card,790
HI015-TX-0023,HI015,Makakilo,Oahu,HI,2026-06-30 11:40:55,BAT-AAH,AA Battery Holder,Batteries,26,0.47,2.74,71.24,12.22,59.02,Malia,Tourism/Hospitality,ACH,633
HI015-TX-0024,HI015,Makakilo,Oahu,HI,2026-06-30 09:02:56,PWR-12V,12V 5A Power Supply,Power,7,9.17,26.62,186.34,64.19,122.15,Nalu,Maker/Hobbyist,Cash,316
HI015-TX-0025,HI015,Makakilo,Oahu,HI,2026-06-30 08:19:07,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.61,7.91,55.37,18.27,37.10,Makana,Education,Debit Card,493
HI015-TX-0026,HI015,Makakilo,Oahu,HI,2026-06-30 13:28:30,ARD-NANO,Arduino Nano Compatible,Microcontrollers,7,4.51,14.85,103.95,31.57,72.38,Mika,Education,Cash,742
HI015-TX-0027,HI015,Makakilo,Oahu,HI,2026-06-30 16:55:42,TOOL-WIRE,Wire Stripper,Tools,4,4.84,14.90,59.60,19.36,40.24,Nalu,Retail,Cash,388
HI015-TX-0028,HI015,Makakilo,Oahu,HI,2026-06-30 11:06:41,CON-JMP,Jumper Wire Set,Connectors,32,0.91,3.88,124.16,29.12,95.04,Ikaika,Government,Cash,274
HI015-TX-0029,HI015,Makakilo,Oahu,HI,2026-06-30 08:04:11,MOS-44N,IRFZ44N MOSFET,Semiconductors,20,0.57,2.34,46.80,11.40,35.40,Keanu,Government,Debit Card,866
