transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI016-TX-0001,HI016,Hawaii Kai,Oahu,HI,2026-06-30 11:23:34,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,28,0.04,0.20,5.60,1.12,4.48,Noah,Retail,Mobile Pay,120
HI016-TX-0002,HI016,Hawaii Kai,Oahu,HI,2026-06-30 13:42:23,LED-RED,5mm Red LED,LEDs,26,0.05,0.26,6.76,1.30,5.46,Alika,Tourism/Hospitality,Cash,176
HI016-TX-0003,HI016,Hawaii Kai,Oahu,HI,2026-06-30 15:43:25,IC-358,LM358 Op Amp,Integrated Circuits,28,0.29,1.22,34.16,8.12,26.04,Lani,Marine,ACH,872
HI016-TX-0004,HI016,Hawaii Kai,Oahu,HI,2026-06-30 09:22:07,ARD-UNO,Arduino Uno Compatible,Microcontrollers,6,7.85,21.16,126.96,47.10,79.86,Keanu,Retail,Purchase Order,610
HI016-TX-0005,HI016,Hawaii Kai,Oahu,HI,2026-06-30 16:41:55,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,11,0.04,0.21,2.31,0.44,1.87,Malia,Retail,ACH,46
HI016-TX-0006,HI016,Hawaii Kai,Oahu,HI,2026-06-30 09:28:28,USB-CBO,USB-C Breakout Board,Connectors,13,1.32,5.20,67.60,17.16,50.44,Leilani,Government,Cash,773
HI016-TX-0007,HI016,Hawaii Kai,Oahu,HI,2026-06-30 14:46:12,USB-CBO,USB-C Breakout Board,Connectors,37,1.32,5.63,208.31,48.84,159.47,Koa,Commercial,Credit Card,694
HI016-TX-0008,HI016,Hawaii Kai,Oahu,HI,2026-06-30 12:38:20,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.50,7.23,50.61,17.50,33.11,Iolana,Marine,ACH,809
HI016-TX-0009,HI016,Hawaii Kai,Oahu,HI,2026-06-30 15:22:22,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.19,8.51,34.04,12.76,21.28,Keanu,Government,ACH,849
HI016-TX-0010,HI016,Hawaii Kai,Oahu,HI,2026-06-30 08:37:57,CAP-100,100uF Capacitor,Capacitors,37,0.17,0.63,23.31,6.29,17.02,Kaleo,Maker/Hobbyist,Credit Card,623
HI016-TX-0011,HI016,Hawaii Kai,Oahu,HI,2026-06-30 10:26:13,USB-CBO,USB-C Breakout Board,Connectors,34,1.39,5.36,182.24,47.26,134.98,Hana,Maker/Hobbyist,ACH,765
HI016-TX-0012,HI016,Hawaii Kai,Oahu,HI,2026-06-30 15:55:51,ESP-32,ESP32 Dev Board,Microcontrollers,7,4.24,13.59,95.13,29.68,65.45,Malia,Retail,Credit Card,88
HI016-TX-0013,HI016,Hawaii Kai,Oahu,HI,2026-06-30 11:06:44,CAP-100,100uF Capacitor,Capacitors,20,0.16,0.58,11.60,3.20,8.40,Keahi,Retail,Cash,644
HI016-TX-0014,HI016,Hawaii Kai,Oahu,HI,2026-06-30 08:29:07,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.04,8.42,8.42,3.04,5.38,Noah,Tourism/Hospitality,Cash,819
HI016-TX-0015,HI016,Hawaii Kai,Oahu,HI,2026-06-30 09:37:45,PWR-BUCK,Buck Converter Module,Power,19,1.01,5.04,95.76,19.19,76.57,Koa,Education,ACH,477
HI016-TX-0016,HI016,Hawaii Kai,Oahu,HI,2026-06-30 12:48:07,TOOL-DMM,Digital Multimeter,Tools,1,8.49,26.07,26.07,8.49,17.58,Alika,Government,Mobile Pay,227
HI016-TX-0017,HI016,Hawaii Kai,Oahu,HI,2026-06-30 09:14:55,IC-REG,7805 Voltage Regulator,Integrated Circuits,33,0.20,0.88,29.04,6.60,22.44,Ikaika,Retail,ACH,895
HI016-TX-0018,HI016,Hawaii Kai,Oahu,HI,2026-06-30 15:53:34,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.17,9.12,9.12,3.17,5.95,Alika,Tourism/Hospitality,Debit Card,507
