transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI017-TX-0001,HI017,Moanalua,Oahu,HI,2026-06-30 10:04:22,IC-REG,7805 Voltage Regulator,Integrated Circuits,5,0.20,0.98,4.90,1.00,3.90,Alika,Marine,Purchase Order,668
HI017-TX-0002,HI017,Moanalua,Oahu,HI,2026-06-30 15:14:00,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.84,22.11,154.77,61.88,92.89,Noah,Education,ACH,188
HI017-TX-0003,HI017,Moanalua,Oahu,HI,2026-06-30 17:52:37,ESP-32,ESP32 Dev Board,Microcontrollers,4,4.34,13.33,53.32,17.36,35.96,Keanu,Education,Mobile Pay,480
HI017-TX-0004,HI017,Moanalua,Oahu,HI,2026-06-30 10:54:19,MAR-TIN,Tinned Marine Wire,Marine Electronics,1,8.73,28.53,28.53,8.73,19.80,Makana,Maker/Hobbyist,Credit Card,349
HI017-TX-0005,HI017,Moanalua,Oahu,HI,2026-06-30 13:56:01,REL-5V,5V Relay Module,Relays,35,0.94,5.77,201.95,32.90,169.05,Alika,Maker/Hobbyist,Cash,66
HI017-TX-0006,HI017,Moanalua,Oahu,HI,2026-06-30 18:00:11,MOS-44N,IRFZ44N MOSFET,Semiconductors,3,0.65,2.45,7.35,1.95,5.40,Leilani,Retail,Cash,56
HI017-TX-0007,HI017,Moanalua,Oahu,HI,2026-06-30 09:41:54,DIO-4007,1N4007 Diode,Semiconductors,38,0.04,0.20,7.60,1.52,6.08,Kaleo,Commercial,Purchase Order,647
HI017-TX-0008,HI017,Moanalua,Oahu,HI,2026-06-30 11:18:48,RES-010,10k Ohm Resistor,Resistors,15,0.03,0.13,1.95,0.45,1.50,Kai,Tourism/Hospitality,Debit Card,223
HI017-TX-0009,HI017,Moanalua,Oahu,HI,2026-06-30 11:45:51,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.51,6.61,52.88,12.08,40.80,Makana,Tourism/Hospitality,ACH,322
HI017-TX-0010,HI017,Moanalua,Oahu,HI,2026-06-30 12:15:10,LED-RGB,RGB LED Strip,LEDs,6,5.09,13.80,82.80,30.54,52.26,Akamu,Education,Cash,788
HI017-TX-0011,HI017,Moanalua,Oahu,HI,2026-06-30 08:31:17,CAP-100,100uF Capacitor,Capacitors,27,0.18,0.59,15.93,4.86,11.07,Keahi,Maker/Hobbyist,Purchase Order,46
HI017-TX-0012,HI017,Moanalua,Oahu,HI,2026-06-30 17:34:20,IC-555,NE555 Timer IC,Integrated Circuits,20,0.34,1.28,25.60,6.80,18.80,Lani,Marine,ACH,401
HI017-TX-0013,HI017,Moanalua,Oahu,HI,2026-06-30 11:35:30,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.84,13.85,110.80,38.72,72.08,Alika,Commercial,ACH,127
HI017-TX-0014,HI017,Moanalua,Oahu,HI,2026-06-30 10:43:09,RES-010,10k Ohm Resistor,Resistors,32,0.03,0.14,4.48,0.96,3.52,Mika,Marine,Credit Card,832
HI017-TX-0015,HI017,Moanalua,Oahu,HI,2026-06-30 14:49:20,RES-001,1k Ohm Resistor,Resistors,37,0.03,0.14,5.18,1.11,4.07,Nalu,Commercial,Cash,842
HI017-TX-0016,HI017,Moanalua,Oahu,HI,2026-06-30 09:35:11,IC-555,NE555 Timer IC,Integrated Circuits,1,0.38,1.36,1.36,0.38,0.98,Ikaika,Tourism/Hospitality,Debit Card,354
HI017-TX-0017,HI017,Moanalua,Oahu,HI,2026-06-30 12:41:43,PWR-12V,12V 5A Power Supply,Power,6,9.05,24.16,144.96,54.30,90.66,Iolana,Commercial,Debit Card,411
HI017-TX-0018,HI017,Moanalua,Oahu,HI,2026-06-30 15:43:11,IC-555,NE555 Timer IC,Integrated Circuits,12,0.36,1.42,17.04,4.32,12.72,Malia,Retail,Cash,99
HI017-TX-0019,HI017,Moanalua,Oahu,HI,2026-06-30 13:38:40,USB-CBO,USB-C Breakout Board,Connectors,17,1.40,5.39,91.63,23.80,67.83,Nalu,Education,Cash,620
HI017-TX-0020,HI017,Moanalua,Oahu,HI,2026-06-30 15:28:53,IC-REG,7805 Voltage Regulator,Integrated Circuits,14,0.21,0.96,13.44,2.94,10.50,Malia,Government,Credit Card,832
