transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI018-TX-0001,HI018,Kalihi,Oahu,HI,2026-06-30 10:22:32,CON-JMP,Jumper Wire Set,Connectors,11,0.88,3.70,40.70,9.68,31.02,Ailani,Education,Debit Card,834
HI018-TX-0002,HI018,Kalihi,Oahu,HI,2026-06-30 08:05:29,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.63,22.08,176.64,69.04,107.60,Malia,Government,Cash,494
HI018-TX-0003,HI018,Kalihi,Oahu,HI,2026-06-30 11:49:03,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.06,12.84,64.20,20.30,43.90,Noah,Marine,Debit Card,139
HI018-TX-0004,HI018,Kalihi,Oahu,HI,2026-06-30 08:00:59,IC-358,LM358 Op Amp,Integrated Circuits,38,0.31,1.21,45.98,11.78,34.20,Ailani,Maker/Hobbyist,Mobile Pay,763
HI018-TX-0005,HI018,Kalihi,Oahu,HI,2026-06-30 14:25:55,PWR-BUCK,Buck Converter Module,Power,39,1.12,5.11,199.29,43.68,155.61,Akamu,Commercial,Cash,262
HI018-TX-0006,HI018,Kalihi,Oahu,HI,2026-06-30 13:29:06,USB-CBO,USB-C Breakout Board,Connectors,36,1.44,5.14,185.04,51.84,133.20,Ailani,Education,Purchase Order,527
HI018-TX-0007,HI018,Kalihi,Oahu,HI,2026-06-30 15:35:16,IC-555,NE555 Timer IC,Integrated Circuits,18,0.35,1.32,23.76,6.30,17.46,Ailani,Maker/Hobbyist,Cash,355
HI018-TX-0008,HI018,Kalihi,Oahu,HI,2026-06-30 09:27:39,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.59,21.17,105.85,42.95,62.90,Lani,Education,ACH,170
HI018-TX-0009,HI018,Kalihi,Oahu,HI,2026-06-30 16:57:22,BAT-AAH,AA Battery Holder,Batteries,40,0.53,2.75,110.00,21.20,88.80,Noah,Commercial,ACH,283
HI018-TX-0010,HI018,Kalihi,Oahu,HI,2026-06-30 09:34:06,PWR-5V2,5V 2A Power Supply,Power,7,3.69,10.85,75.95,25.83,50.12,Leilani,Tourism/Hospitality,Debit Card,25
HI018-TX-0011,HI018,Kalihi,Oahu,HI,2026-06-30 16:54:02,TOOL-SOL,Soldering Iron Tips,Tools,3,2.07,7.25,21.75,6.21,15.54,Mika,Retail,ACH,495
HI018-TX-0012,HI018,Kalihi,Oahu,HI,2026-06-30 14:42:27,USB-CBO,USB-C Breakout Board,Connectors,40,1.41,5.10,204.00,56.40,147.60,Malia,Retail,Debit Card,556
HI018-TX-0013,HI018,Kalihi,Oahu,HI,2026-06-30 09:12:27,IC-555,NE555 Timer IC,Integrated Circuits,40,0.34,1.43,57.20,13.60,43.60,Iolana,Retail,Mobile Pay,392
HI018-TX-0014,HI018,Kalihi,Oahu,HI,2026-06-30 09:27:48,BRD-830,Breadboard 830 Tie Points,Connectors,7,1.57,6.68,46.76,10.99,35.77,Hana,Tourism/Hospitality,Debit Card,853
HI018-TX-0015,HI018,Kalihi,Oahu,HI,2026-06-30 14:52:17,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.36,8.56,8.56,3.36,5.20,Noelani,Retail,ACH,708
HI018-TX-0016,HI018,Kalihi,Oahu,HI,2026-06-30 11:10:22,SOL-CTRL,Solar Charge Controller,Solar Power,2,11.02,31.05,62.10,22.04,40.06,Malia,Commercial,Debit Card,36
HI018-TX-0017,HI018,Kalihi,Oahu,HI,2026-06-30 08:00:03,TOOL-WIRE,Wire Stripper,Tools,6,5.26,16.17,97.02,31.56,65.46,Koa,Retail,Mobile Pay,22
HI018-TX-0018,HI018,Kalihi,Oahu,HI,2026-06-30 08:19:15,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.49,6.12,24.48,5.96,18.52,Mika,Government,ACH,353
HI018-TX-0019,HI018,Kalihi,Oahu,HI,2026-06-30 13:03:05,CON-JMP,Jumper Wire Set,Connectors,35,0.96,3.72,130.20,33.60,96.60,Nalu,Retail,Purchase Order,675
HI018-TX-0020,HI018,Kalihi,Oahu,HI,2026-06-30 15:18:20,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.22,22.57,180.56,65.76,114.80,Kaleo,Commercial,Debit Card,61
HI018-TX-0021,HI018,Kalihi,Oahu,HI,2026-06-30 08:53:34,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.85,13.70,82.20,29.10,53.10,Kaleo,Maker/Hobbyist,Credit Card,70
HI018-TX-0022,HI018,Kalihi,Oahu,HI,2026-06-30 10:08:50,ESP-32,ESP32 Dev Board,Microcontrollers,4,4.25,13.53,54.12,17.00,37.12,Noelani,Tourism/Hospitality,Credit Card,693
HI018-TX-0023,HI018,Kalihi,Oahu,HI,2026-06-30 08:34:27,SNS-PIR,PIR Motion Sensor,Sensors,5,1.48,6.01,30.05,7.40,22.65,Kaleo,Marine,Debit Card,496
HI018-TX-0024,HI018,Kalihi,Oahu,HI,2026-06-30 17:01:46,IC-555,NE555 Timer IC,Integrated Circuits,21,0.36,1.30,27.30,7.56,19.74,Pualani,Commercial,Cash,311
HI018-TX-0025,HI018,Kalihi,Oahu,HI,2026-06-30 08:35:24,REL-5V,5V Relay Module,Relays,30,0.96,5.20,156.00,28.80,127.20,Pualani,Tourism/Hospitality,Credit Card,407
HI018-TX-0026,HI018,Kalihi,Oahu,HI,2026-06-30 10:32:53,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,7.99,22.11,110.55,39.95,70.60,Ikaika,Retail,Purchase Order,52
