transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI019-TX-0001,HI019,Manoa,Oahu,HI,2026-06-30 14:30:53,RES-220,220 Ohm Resistor,Resistors,1,0.03,0.12,0.12,0.03,0.09,Lani,Education,Credit Card,429
HI019-TX-0002,HI019,Manoa,Oahu,HI,2026-06-30 16:06:35,IC-REG,7805 Voltage Regulator,Integrated Circuits,2,0.20,0.91,1.82,0.40,1.42,Keahi,Government,Debit Card,217
HI019-TX-0003,HI019,Manoa,Oahu,HI,2026-06-30 13:55:52,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,7.97,22.38,111.90,39.85,72.05,Makana,Retail,Cash,772
HI019-TX-0004,HI019,Manoa,Oahu,HI,2026-06-30 12:26:39,TR-3904,2N3904 NPN Transistor,Semiconductors,37,0.05,0.25,9.25,1.85,7.40,Malia,Tourism/Hospitality,Debit Card,871
HI019-TX-0005,HI019,Manoa,Oahu,HI,2026-06-30 11:19:28,LED-RED,5mm Red LED,LEDs,3,0.06,0.26,0.78,0.18,0.60,Leilani,Government,Credit Card,879
HI019-TX-0006,HI019,Manoa,Oahu,HI,2026-06-30 12:54:19,IC-REG,7805 Voltage Regulator,Integrated Circuits,23,0.21,0.97,22.31,4.83,17.48,Noelani,Retail,Debit Card,425
HI019-TX-0007,HI019,Manoa,Oahu,HI,2026-06-30 16:55:30,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.49,14.44,115.52,35.92,79.60,Nalu,Commercial,Cash,457
HI019-TX-0008,HI019,Manoa,Oahu,HI,2026-06-30 15:40:52,CAP-010,10uF Capacitor,Capacitors,24,0.09,0.38,9.12,2.16,6.96,Akamu,Education,Purchase Order,496
HI019-TX-0009,HI019,Manoa,Oahu,HI,2026-06-30 13:46:16,PWR-BUCK,Buck Converter Module,Power,29,1.05,5.05,146.45,30.45,116.00,Malia,Retail,Credit Card,530
HI019-TX-0010,HI019,Manoa,Oahu,HI,2026-06-30 09:20:14,RES-220,220 Ohm Resistor,Resistors,1,0.03,0.12,0.12,0.03,0.09,Kaleo,Marine,Credit Card,407
HI019-TX-0011,HI019,Manoa,Oahu,HI,2026-06-30 09:10:19,RES-010,10k Ohm Resistor,Resistors,34,0.03,0.13,4.42,1.02,3.40,Keanu,Retail,Cash,453
HI019-TX-0012,HI019,Manoa,Oahu,HI,2026-06-30 11:35:10,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.47,6.48,6.48,1.47,5.01,Ikaika,Education,Purchase Order,261
HI019-TX-0013,HI019,Manoa,Oahu,HI,2026-06-30 15:00:59,ARD-NANO,Arduino Nano Compatible,Microcontrollers,2,4.99,14.36,28.72,9.98,18.74,Ikaika,Marine,Purchase Order,622
HI019-TX-0014,HI019,Manoa,Oahu,HI,2026-06-30 09:22:55,ARD-NANO,Arduino Nano Compatible,Microcontrollers,4,4.85,13.77,55.08,19.40,35.68,Noelani,Tourism/Hospitality,Mobile Pay,496
