transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI020-TX-0001,HI020,Kaimuki,Oahu,HI,2026-06-30 12:16:33,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,36,0.04,0.19,6.84,1.44,5.40,Hana,Retail,ACH,554
HI020-TX-0002,HI020,Kaimuki,Oahu,HI,2026-06-30 14:32:06,IC-555,NE555 Timer IC,Integrated Circuits,13,0.37,1.34,17.42,4.81,12.61,Keahi,Commercial,Cash,466
HI020-TX-0003,HI020,Kaimuki,Oahu,HI,2026-06-30 15:01:23,IC-555,NE555 Timer IC,Integrated Circuits,19,0.36,1.33,25.27,6.84,18.43,Kai,Retail,Mobile Pay,105
HI020-TX-0004,HI020,Kaimuki,Oahu,HI,2026-06-30 08:11:36,CON-JMP,Jumper Wire Set,Connectors,29,0.98,4.03,116.87,28.42,88.45,Kai,Education,Cash,118
HI020-TX-0005,HI020,Kaimuki,Oahu,HI,2026-06-30 11:05:25,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,14,0.05,0.20,2.80,0.70,2.10,Kai,Tourism/Hospitality,Purchase Order,440
HI020-TX-0006,HI020,Kaimuki,Oahu,HI,2026-06-30 14:38:22,CON-JMP,Jumper Wire Set,Connectors,26,0.93,3.56,92.56,24.18,68.38,Malia,Maker/Hobbyist,Debit Card,281
HI020-TX-0007,HI020,Kaimuki,Oahu,HI,2026-06-30 15:12:30,USB-CBO,USB-C Breakout Board,Connectors,40,1.40,5.75,230.00,56.00,174.00,Keanu,Government,Mobile Pay,458
HI020-TX-0008,HI020,Kaimuki,Oahu,HI,2026-06-30 16:11:22,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.46,6.26,31.30,7.30,24.00,Koa,Commercial,ACH,800
HI020-TX-0009,HI020,Kaimuki,Oahu,HI,2026-06-30 10:21:23,PWR-5V2,5V 2A Power Supply,Power,7,3.37,11.46,80.22,23.59,56.63,Kai,Tourism/Hospitality,Debit Card,239
HI020-TX-0010,HI020,Kaimuki,Oahu,HI,2026-06-30 16:17:59,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.99,14.15,28.30,7.98,20.32,Noah,Maker/Hobbyist,Mobile Pay,538
HI020-TX-0011,HI020,Kaimuki,Oahu,HI,2026-06-30 17:38:02,MAR-ANT,Marine Antenna Connector,Marine Electronics,3,3.73,14.22,42.66,11.19,31.47,Pualani,Government,Debit Card,0
HI020-TX-0012,HI020,Kaimuki,Oahu,HI,2026-06-30 10:35:35,TOOL-WIRE,Wire Stripper,Tools,8,4.99,15.76,126.08,39.92,86.16,Pualani,Tourism/Hospitality,Debit Card,105
HI020-TX-0013,HI020,Kaimuki,Oahu,HI,2026-06-30 08:54:36,PICO-RP,Raspberry Pi Pico,Microcontrollers,6,3.18,8.97,53.82,19.08,34.74,Lani,Commercial,Cash,752
