transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI022-TX-0001,HI022,Nanakuli,Oahu,HI,2026-06-30 14:03:51,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,7.74,21.82,43.64,15.48,28.16,Lani,Marine,Cash,285
HI022-TX-0002,HI022,Nanakuli,Oahu,HI,2026-06-30 08:32:52,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.26,8.89,35.56,13.04,22.52,Koa,Retail,Debit Card,654
HI022-TX-0003,HI022,Nanakuli,Oahu,HI,2026-06-30 13:22:08,USB-CBO,USB-C Breakout Board,Connectors,10,1.38,5.78,57.80,13.80,44.00,Akamu,Tourism/Hospitality,Purchase Order,419
HI022-TX-0004,HI022,Nanakuli,Oahu,HI,2026-06-30 14:18:30,TOOL-WIRE,Wire Stripper,Tools,1,4.97,15.51,15.51,4.97,10.54,Lani,Government,Cash,237
HI022-TX-0005,HI022,Nanakuli,Oahu,HI,2026-06-30 10:26:14,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.07,12.29,73.74,24.42,49.32,Alika,Retail,Credit Card,789
HI022-TX-0006,HI022,Nanakuli,Oahu,HI,2026-06-30 12:27:29,TOOL-DMM,Digital Multimeter,Tools,6,9.32,28.30,169.80,55.92,113.88,Hana,Retail,Mobile Pay,229
HI022-TX-0007,HI022,Nanakuli,Oahu,HI,2026-06-30 08:08:42,IC-555,NE555 Timer IC,Integrated Circuits,26,0.36,1.37,35.62,9.36,26.26,Lani,Maker/Hobbyist,Debit Card,170
HI022-TX-0008,HI022,Nanakuli,Oahu,HI,2026-06-30 16:32:34,LED-RGB,RGB LED Strip,LEDs,6,5.27,13.70,82.20,31.62,50.58,Iolana,Tourism/Hospitality,Credit Card,681
HI022-TX-0009,HI022,Nanakuli,Oahu,HI,2026-06-30 08:10:22,USB-CBO,USB-C Breakout Board,Connectors,23,1.47,5.68,130.64,33.81,96.83,Malia,Retail,Debit Card,326
HI022-TX-0010,HI022,Nanakuli,Oahu,HI,2026-06-30 09:20:14,BAT-AAH,AA Battery Holder,Batteries,37,0.48,2.76,102.12,17.76,84.36,Koa,Tourism/Hospitality,ACH,224
HI022-TX-0011,HI022,Nanakuli,Oahu,HI,2026-06-30 08:03:15,MOS-44N,IRFZ44N MOSFET,Semiconductors,15,0.61,2.56,38.40,9.15,29.25,Lani,Education,Purchase Order,400
HI022-TX-0012,HI022,Nanakuli,Oahu,HI,2026-06-30 12:46:48,RES-220,220 Ohm Resistor,Resistors,18,0.03,0.13,2.34,0.54,1.80,Koa,Education,Purchase Order,794
HI022-TX-0013,HI022,Nanakuli,Oahu,HI,2026-06-30 15:33:41,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.54,6.87,20.61,4.62,15.99,Keahi,Maker/Hobbyist,Mobile Pay,140
