transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI023-TX-0001,HI023,Waialua,Oahu,HI,2026-06-30 15:08:21,RES-001,1k Ohm Resistor,Resistors,38,0.03,0.13,4.94,1.14,3.80,Ailani,Government,Mobile Pay,251
HI023-TX-0002,HI023,Waialua,Oahu,HI,2026-06-30 13:34:28,CON-JMP,Jumper Wire Set,Connectors,2,0.94,3.57,7.14,1.88,5.26,Alika,Education,ACH,361
HI023-TX-0003,HI023,Waialua,Oahu,HI,2026-06-30 16:43:41,PWR-5V2,5V 2A Power Supply,Power,3,3.63,10.55,31.65,10.89,20.76,Malia,Commercial,Purchase Order,536
HI023-TX-0004,HI023,Waialua,Oahu,HI,2026-06-30 11:41:14,BAT-AAH,AA Battery Holder,Batteries,12,0.50,2.68,32.16,6.00,26.16,Noah,Retail,ACH,551
HI023-TX-0005,HI023,Waialua,Oahu,HI,2026-06-30 17:18:34,IC-555,NE555 Timer IC,Integrated Circuits,4,0.35,1.32,5.28,1.40,3.88,Akamu,Retail,ACH,284
HI023-TX-0006,HI023,Waialua,Oahu,HI,2026-06-30 16:43:16,TOOL-DMM,Digital Multimeter,Tools,4,8.34,27.09,108.36,33.36,75.00,Ailani,Education,Mobile Pay,319
HI023-TX-0007,HI023,Waialua,Oahu,HI,2026-06-30 08:41:25,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,8.83,20.44,81.76,35.32,46.44,Noah,Maker/Hobbyist,Purchase Order,827
HI023-TX-0008,HI023,Waialua,Oahu,HI,2026-06-30 10:16:11,USB-CBO,USB-C Breakout Board,Connectors,25,1.45,5.32,133.00,36.25,96.75,Pualani,Maker/Hobbyist,Debit Card,219
HI023-TX-0009,HI023,Waialua,Oahu,HI,2026-06-30 11:15:42,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.21,12.56,37.68,12.63,25.05,Koa,Retail,Cash,635
HI023-TX-0010,HI023,Waialua,Oahu,HI,2026-06-30 17:31:19,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.62,6.20,24.80,6.48,18.32,Hana,Commercial,Purchase Order,31
HI023-TX-0011,HI023,Waialua,Oahu,HI,2026-06-30 11:32:44,IC-555,NE555 Timer IC,Integrated Circuits,24,0.37,1.29,30.96,8.88,22.08,Leilani,Government,Mobile Pay,787
HI023-TX-0012,HI023,Waialua,Oahu,HI,2026-06-30 15:55:59,USB-CBO,USB-C Breakout Board,Connectors,28,1.45,5.48,153.44,40.60,112.84,Ikaika,Commercial,Cash,768
HI023-TX-0013,HI023,Waialua,Oahu,HI,2026-06-30 12:25:32,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.50,6.94,27.76,6.00,21.76,Nalu,Retail,Cash,146
