transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI027-TX-0001,HI027,Nuuanu,Oahu,HI,2026-06-30 17:18:01,TOOL-WIRE,Wire Stripper,Tools,6,5.01,15.12,90.72,30.06,60.66,Kai,Commercial,ACH,51
HI027-TX-0002,HI027,Nuuanu,Oahu,HI,2026-06-30 16:52:52,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,4.02,14.72,103.04,28.14,74.90,Akamu,Marine,Credit Card,634
HI027-TX-0003,HI027,Nuuanu,Oahu,HI,2026-06-30 11:04:22,DIO-4007,1N4007 Diode,Semiconductors,11,0.04,0.20,2.20,0.44,1.76,Kaleo,Education,ACH,875
HI027-TX-0004,HI027,Nuuanu,Oahu,HI,2026-06-30 15:31:38,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.82,14.16,84.96,28.92,56.04,Alika,Commercial,Debit Card,450
HI027-TX-0005,HI027,Nuuanu,Oahu,HI,2026-06-30 15:27:13,PWR-BUCK,Buck Converter Module,Power,18,1.11,5.02,90.36,19.98,70.38,Iolana,Commercial,Mobile Pay,107
HI027-TX-0006,HI027,Nuuanu,Oahu,HI,2026-06-30 08:01:22,TOOL-WIRE,Wire Stripper,Tools,1,5.00,15.98,15.98,5.00,10.98,Noah,Education,Purchase Order,813
HI027-TX-0007,HI027,Nuuanu,Oahu,HI,2026-06-30 10:08:56,SNS-ULT,Ultrasonic Distance Sensor,Sensors,2,1.33,5.23,10.46,2.66,7.80,Alika,Marine,Credit Card,387
HI027-TX-0008,HI027,Nuuanu,Oahu,HI,2026-06-30 14:12:04,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.34,9.05,9.05,3.34,5.71,Lani,Commercial,Cash,222
HI027-TX-0009,HI027,Nuuanu,Oahu,HI,2026-06-30 09:57:49,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.62,6.71,33.55,8.10,25.45,Kai,Tourism/Hospitality,ACH,827
HI027-TX-0010,HI027,Nuuanu,Oahu,HI,2026-06-30 14:34:19,MOS-44N,IRFZ44N MOSFET,Semiconductors,21,0.65,2.55,53.55,13.65,39.90,Leilani,Education,Cash,130
HI027-TX-0011,HI027,Nuuanu,Oahu,HI,2026-06-30 14:08:26,TOOL-SOL,Soldering Iron Tips,Tools,3,1.91,7.49,22.47,5.73,16.74,Lani,Retail,Mobile Pay,593
HI027-TX-0012,HI027,Nuuanu,Oahu,HI,2026-06-30 15:09:17,RES-220,220 Ohm Resistor,Resistors,1,0.04,0.13,0.13,0.04,0.09,Kaleo,Commercial,Purchase Order,111
HI027-TX-0013,HI027,Nuuanu,Oahu,HI,2026-06-30 14:10:18,LED-RED,5mm Red LED,LEDs,23,0.05,0.29,6.67,1.15,5.52,Mika,Maker/Hobbyist,ACH,707
HI027-TX-0014,HI027,Nuuanu,Oahu,HI,2026-06-30 13:22:11,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.54,6.22,49.76,12.32,37.44,Kai,Commercial,Cash,4
HI027-TX-0015,HI027,Nuuanu,Oahu,HI,2026-06-30 09:32:17,BAT-AAH,AA Battery Holder,Batteries,25,0.49,2.65,66.25,12.25,54.00,Keahi,Commercial,Credit Card,783
HI027-TX-0016,HI027,Nuuanu,Oahu,HI,2026-06-30 11:49:20,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.50,6.43,25.72,6.00,19.72,Mika,Retail,Purchase Order,339
