transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI028-TX-0001,HI028,Hickam,Oahu,HI,2026-06-30 13:46:58,IC-358,LM358 Op Amp,Integrated Circuits,32,0.30,1.27,40.64,9.60,31.04,Keahi,Government,Debit Card,225
HI028-TX-0002,HI028,Hickam,Oahu,HI,2026-06-30 14:20:25,USB-CBO,USB-C Breakout Board,Connectors,34,1.34,5.47,185.98,45.56,140.42,Koa,Retail,Debit Card,143
HI028-TX-0003,HI028,Hickam,Oahu,HI,2026-06-30 15:07:37,LED-BLU,5mm Blue LED,LEDs,7,0.07,0.32,2.24,0.49,1.75,Leilani,Education,Mobile Pay,617
HI028-TX-0004,HI028,Hickam,Oahu,HI,2026-06-30 14:33:56,IC-358,LM358 Op Amp,Integrated Circuits,37,0.29,1.20,44.40,10.73,33.67,Ailani,Education,Debit Card,256
HI028-TX-0005,HI028,Hickam,Oahu,HI,2026-06-30 16:14:33,SNS-PIR,PIR Motion Sensor,Sensors,3,1.49,6.32,18.96,4.47,14.49,Noelani,Education,Debit Card,361
HI028-TX-0006,HI028,Hickam,Oahu,HI,2026-06-30 13:47:01,SNS-DHT,DHT22 Temperature Sensor,Sensors,4,2.53,7.17,28.68,10.12,18.56,Kai,Retail,Cash,728
HI028-TX-0007,HI028,Hickam,Oahu,HI,2026-06-30 08:08:04,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.46,13.17,65.85,22.30,43.55,Lani,Education,ACH,344
HI028-TX-0008,HI028,Hickam,Oahu,HI,2026-06-30 16:02:10,BRD-830,Breadboard 830 Tie Points,Connectors,2,1.49,6.55,13.10,2.98,10.12,Koa,Maker/Hobbyist,Mobile Pay,73
HI028-TX-0009,HI028,Hickam,Oahu,HI,2026-06-30 12:46:56,ARD-NANO,Arduino Nano Compatible,Microcontrollers,7,4.83,14.01,98.07,33.81,64.26,Keanu,Commercial,Mobile Pay,571
HI028-TX-0010,HI028,Hickam,Oahu,HI,2026-06-30 15:09:04,SNS-PIR,PIR Motion Sensor,Sensors,4,1.49,5.78,23.12,5.96,17.16,Alika,Tourism/Hospitality,Purchase Order,591
HI028-TX-0011,HI028,Hickam,Oahu,HI,2026-06-30 08:28:19,IC-555,NE555 Timer IC,Integrated Circuits,34,0.35,1.34,45.56,11.90,33.66,Akamu,Retail,Mobile Pay,442
HI028-TX-0012,HI028,Hickam,Oahu,HI,2026-06-30 11:10:39,SNS-PIR,PIR Motion Sensor,Sensors,8,1.48,6.12,48.96,11.84,37.12,Hana,Maker/Hobbyist,Debit Card,63
HI028-TX-0013,HI028,Hickam,Oahu,HI,2026-06-30 15:40:04,DIO-4007,1N4007 Diode,Semiconductors,8,0.04,0.19,1.52,0.32,1.20,Pualani,Retail,Cash,413
HI028-TX-0014,HI028,Hickam,Oahu,HI,2026-06-30 15:43:45,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.52,6.41,32.05,7.60,24.45,Koa,Marine,Purchase Order,475
HI028-TX-0015,HI028,Hickam,Oahu,HI,2026-06-30 13:30:25,RES-001,1k Ohm Resistor,Resistors,14,0.03,0.13,1.82,0.42,1.40,Leilani,Commercial,ACH,329
HI028-TX-0016,HI028,Hickam,Oahu,HI,2026-06-30 13:24:34,PICO-RP,Raspberry Pi Pico,Microcontrollers,6,3.40,8.22,49.32,20.40,28.92,Hana,Maker/Hobbyist,Cash,861
HI028-TX-0017,HI028,Hickam,Oahu,HI,2026-06-30 11:57:36,CAP-010,10uF Capacitor,Capacitors,31,0.08,0.39,12.09,2.48,9.61,Noah,Marine,Debit Card,362
HI028-TX-0018,HI028,Hickam,Oahu,HI,2026-06-30 15:21:13,RES-010,10k Ohm Resistor,Resistors,26,0.03,0.13,3.38,0.78,2.60,Keahi,Maker/Hobbyist,Mobile Pay,39
HI028-TX-0019,HI028,Hickam,Oahu,HI,2026-06-30 16:11:00,BAT-AAH,AA Battery Holder,Batteries,36,0.52,2.82,101.52,18.72,82.80,Nalu,Tourism/Hospitality,Debit Card,225
HI028-TX-0020,HI028,Hickam,Oahu,HI,2026-06-30 08:50:07,ARD-NANO,Arduino Nano Compatible,Microcontrollers,4,4.67,13.93,55.72,18.68,37.04,Hana,Marine,Debit Card,154
HI028-TX-0021,HI028,Hickam,Oahu,HI,2026-06-30 14:44:23,LED-RED,5mm Red LED,LEDs,5,0.06,0.29,1.45,0.30,1.15,Lani,Commercial,ACH,662
HI028-TX-0022,HI028,Hickam,Oahu,HI,2026-06-30 12:43:26,LED-BLU,5mm Blue LED,LEDs,8,0.07,0.32,2.56,0.56,2.00,Kaleo,Retail,Cash,270
HI028-TX-0023,HI028,Hickam,Oahu,HI,2026-06-30 16:39:56,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.63,6.82,20.46,4.89,15.57,Noelani,Education,Credit Card,823
HI028-TX-0024,HI028,Hickam,Oahu,HI,2026-06-30 14:26:19,SOL-CTRL,Solar Charge Controller,Solar Power,2,11.45,31.81,63.62,22.90,40.72,Kaleo,Education,Debit Card,201
HI028-TX-0025,HI028,Hickam,Oahu,HI,2026-06-30 12:07:21,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.14,21.32,42.64,16.28,26.36,Lani,Maker/Hobbyist,Mobile Pay,493
