transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI029-TX-0001,HI029,Salt Lake,Oahu,HI,2026-06-30 11:27:21,MOS-44N,IRFZ44N MOSFET,Semiconductors,3,0.64,2.39,7.17,1.92,5.25,Malia,Commercial,Purchase Order,670
HI029-TX-0002,HI029,Salt Lake,Oahu,HI,2026-06-30 11:35:17,MOS-44N,IRFZ44N MOSFET,Semiconductors,31,0.61,2.41,74.71,18.91,55.80,Lani,Maker/Hobbyist,Purchase Order,81
HI029-TX-0003,HI029,Salt Lake,Oahu,HI,2026-06-30 11:03:32,USB-CBO,USB-C Breakout Board,Connectors,15,1.34,5.55,83.25,20.10,63.15,Lani,Retail,Cash,538
HI029-TX-0004,HI029,Salt Lake,Oahu,HI,2026-06-30 13:12:39,RES-220,220 Ohm Resistor,Resistors,32,0.03,0.13,4.16,0.96,3.20,Keanu,Government,Debit Card,307
HI029-TX-0005,HI029,Salt Lake,Oahu,HI,2026-06-30 11:38:32,RES-010,10k Ohm Resistor,Resistors,19,0.03,0.13,2.47,0.57,1.90,Mika,Retail,Credit Card,461
HI029-TX-0006,HI029,Salt Lake,Oahu,HI,2026-06-30 15:03:53,PWR-12V,12V 5A Power Supply,Power,2,9.88,26.61,53.22,19.76,33.46,Koa,Commercial,ACH,273
HI029-TX-0007,HI029,Salt Lake,Oahu,HI,2026-06-30 16:12:19,TOOL-SOL,Soldering Iron Tips,Tools,8,2.05,7.41,59.28,16.40,42.88,Alika,Commercial,Mobile Pay,286
HI029-TX-0008,HI029,Salt Lake,Oahu,HI,2026-06-30 15:50:43,CAP-100,100uF Capacitor,Capacitors,19,0.17,0.61,11.59,3.23,8.36,Makana,Maker/Hobbyist,Debit Card,704
HI029-TX-0009,HI029,Salt Lake,Oahu,HI,2026-06-30 09:35:25,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.64,6.14,18.42,4.92,13.50,Pualani,Marine,Debit Card,833
HI029-TX-0010,HI029,Salt Lake,Oahu,HI,2026-06-30 11:36:30,IC-358,LM358 Op Amp,Integrated Circuits,34,0.31,1.16,39.44,10.54,28.90,Keahi,Government,ACH,222
HI029-TX-0011,HI029,Salt Lake,Oahu,HI,2026-06-30 09:35:24,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,3.73,13.96,55.84,14.92,40.92,Ikaika,Retail,ACH,470
HI029-TX-0012,HI029,Salt Lake,Oahu,HI,2026-06-30 15:57:24,CON-JMP,Jumper Wire Set,Connectors,21,0.93,3.70,77.70,19.53,58.17,Iolana,Commercial,Credit Card,293
HI029-TX-0013,HI029,Salt Lake,Oahu,HI,2026-06-30 14:32:30,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.48,13.74,41.22,13.44,27.78,Pualani,Commercial,Debit Card,5
HI029-TX-0014,HI029,Salt Lake,Oahu,HI,2026-06-30 17:46:48,TOOL-DMM,Digital Multimeter,Tools,1,8.60,27.93,27.93,8.60,19.33,Malia,Retail,Debit Card,0
HI029-TX-0015,HI029,Salt Lake,Oahu,HI,2026-06-30 09:01:02,PICO-RP,Raspberry Pi Pico,Microcontrollers,2,3.40,8.93,17.86,6.80,11.06,Malia,Government,ACH,756
HI029-TX-0016,HI029,Salt Lake,Oahu,HI,2026-06-30 17:19:44,CAP-010,10uF Capacitor,Capacitors,40,0.09,0.38,15.20,3.60,11.60,Malia,Retail,Purchase Order,470
HI029-TX-0017,HI029,Salt Lake,Oahu,HI,2026-06-30 14:25:03,ARD-NANO,Arduino Nano Compatible,Microcontrollers,3,4.64,13.50,40.50,13.92,26.58,Kai,Maker/Hobbyist,Debit Card,830
HI029-TX-0018,HI029,Salt Lake,Oahu,HI,2026-06-30 09:09:26,CAP-100,100uF Capacitor,Capacitors,24,0.16,0.61,14.64,3.84,10.80,Ailani,Marine,Cash,112
HI029-TX-0019,HI029,Salt Lake,Oahu,HI,2026-06-30 13:18:29,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.90,13.95,83.70,29.40,54.30,Leilani,Government,Mobile Pay,549
HI029-TX-0020,HI029,Salt Lake,Oahu,HI,2026-06-30 11:38:18,IC-555,NE555 Timer IC,Integrated Circuits,36,0.37,1.32,47.52,13.32,34.20,Kaleo,Education,Purchase Order,75
HI029-TX-0021,HI029,Salt Lake,Oahu,HI,2026-06-30 09:19:57,IC-358,LM358 Op Amp,Integrated Circuits,35,0.30,1.22,42.70,10.50,32.20,Lani,Maker/Hobbyist,Mobile Pay,336
HI029-TX-0022,HI029,Salt Lake,Oahu,HI,2026-06-30 11:11:23,IC-REG,7805 Voltage Regulator,Integrated Circuits,3,0.21,0.97,2.91,0.63,2.28,Mika,Education,Purchase Order,487
HI029-TX-0023,HI029,Salt Lake,Oahu,HI,2026-06-30 12:38:04,IC-555,NE555 Timer IC,Integrated Circuits,2,0.34,1.32,2.64,0.68,1.96,Iolana,Tourism/Hospitality,Mobile Pay,879
