transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI032-TX-0001,HI032,Wailuku,Maui,HI,2026-06-30 08:21:02,RES-010,10k Ohm Resistor,Resistors,5,0.04,0.14,0.70,0.20,0.50,Lani,Retail,ACH,654
HI032-TX-0002,HI032,Wailuku,Maui,HI,2026-06-30 14:55:55,PWR-BUCK,Buck Converter Module,Power,29,1.04,5.07,147.03,30.16,116.87,Hana,Marine,Purchase Order,857
HI032-TX-0003,HI032,Wailuku,Maui,HI,2026-06-30 11:23:27,LED-BLU,5mm Blue LED,LEDs,38,0.06,0.34,12.92,2.28,10.64,Nalu,Retail,Purchase Order,223
HI032-TX-0004,HI032,Wailuku,Maui,HI,2026-06-30 13:00:39,PWR-5V2,5V 2A Power Supply,Power,6,3.46,10.92,65.52,20.76,44.76,Noah,Maker/Hobbyist,Debit Card,410
HI032-TX-0005,HI032,Wailuku,Maui,HI,2026-06-30 11:50:17,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.53,16.52,132.16,44.24,87.92,Nalu,Tourism/Hospitality,Mobile Pay,698
HI032-TX-0006,HI032,Wailuku,Maui,HI,2026-06-30 14:23:59,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.49,22.71,181.68,67.92,113.76,Nalu,Maker/Hobbyist,ACH,344
HI032-TX-0007,HI032,Wailuku,Maui,HI,2026-06-30 17:47:30,LED-RGB,RGB LED Strip,LEDs,7,4.65,13.29,93.03,32.55,60.48,Alika,Education,Debit Card,140
HI032-TX-0008,HI032,Wailuku,Maui,HI,2026-06-30 14:14:22,LED-RED,5mm Red LED,LEDs,13,0.05,0.29,3.77,0.65,3.12,Keahi,Education,Cash,667
HI032-TX-0009,HI032,Wailuku,Maui,HI,2026-06-30 12:18:44,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.47,6.24,18.72,4.41,14.31,Noah,Commercial,Credit Card,582
HI032-TX-0010,HI032,Wailuku,Maui,HI,2026-06-30 08:42:44,USB-CBO,USB-C Breakout Board,Connectors,23,1.31,5.41,124.43,30.13,94.30,Makana,Tourism/Hospitality,Purchase Order,546
HI032-TX-0011,HI032,Wailuku,Maui,HI,2026-06-30 12:41:05,PWR-BUCK,Buck Converter Module,Power,22,1.02,4.61,101.42,22.44,78.98,Makana,Commercial,Cash,118
HI032-TX-0012,HI032,Wailuku,Maui,HI,2026-06-30 15:23:18,SOL-CTRL,Solar Charge Controller,Solar Power,5,10.84,32.13,160.65,54.20,106.45,Iolana,Education,Purchase Order,512
HI032-TX-0013,HI032,Wailuku,Maui,HI,2026-06-30 10:00:06,RES-220,220 Ohm Resistor,Resistors,34,0.03,0.12,4.08,1.02,3.06,Keanu,Maker/Hobbyist,Purchase Order,782
HI032-TX-0014,HI032,Wailuku,Maui,HI,2026-06-30 13:04:15,RES-010,10k Ohm Resistor,Resistors,3,0.03,0.14,0.42,0.09,0.33,Kai,Marine,ACH,359
HI032-TX-0015,HI032,Wailuku,Maui,HI,2026-06-30 11:12:21,SOL-CTRL,Solar Charge Controller,Solar Power,7,10.93,32.01,224.07,76.51,147.56,Mika,Tourism/Hospitality,Cash,866
HI032-TX-0016,HI032,Wailuku,Maui,HI,2026-06-30 11:41:01,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.61,14.67,117.36,36.88,80.48,Leilani,Tourism/Hospitality,Purchase Order,560
HI032-TX-0017,HI032,Wailuku,Maui,HI,2026-06-30 12:33:27,IC-358,LM358 Op Amp,Integrated Circuits,13,0.29,1.20,15.60,3.77,11.83,Lani,Marine,Mobile Pay,655
HI032-TX-0018,HI032,Wailuku,Maui,HI,2026-06-30 10:41:00,CON-JMP,Jumper Wire Set,Connectors,39,0.91,3.64,141.96,35.49,106.47,Pualani,Maker/Hobbyist,Purchase Order,815
HI032-TX-0019,HI032,Wailuku,Maui,HI,2026-06-30 14:20:31,LED-RED,5mm Red LED,LEDs,32,0.06,0.27,8.64,1.92,6.72,Ikaika,Marine,Cash,636
