transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI033-TX-0001,HI033,Lahaina,Maui,HI,2026-06-30 11:28:52,PWR-BUCK,Buck Converter Module,Power,39,1.08,4.81,187.59,42.12,145.47,Nalu,Retail,Purchase Order,820
HI033-TX-0002,HI033,Lahaina,Maui,HI,2026-06-30 13:39:02,CAP-100,100uF Capacitor,Capacitors,21,0.16,0.63,13.23,3.36,9.87,Mika,Retail,Debit Card,412
HI033-TX-0003,HI033,Lahaina,Maui,HI,2026-06-30 11:56:19,CAP-010,10uF Capacitor,Capacitors,13,0.09,0.37,4.81,1.17,3.64,Nalu,Tourism/Hospitality,Credit Card,609
HI033-TX-0004,HI033,Lahaina,Maui,HI,2026-06-30 16:46:15,LED-RED,5mm Red LED,LEDs,22,0.05,0.28,6.16,1.10,5.06,Kaleo,Education,Cash,396
HI033-TX-0005,HI033,Lahaina,Maui,HI,2026-06-30 16:44:32,CON-JMP,Jumper Wire Set,Connectors,27,0.93,3.89,105.03,25.11,79.92,Noelani,Retail,Debit Card,850
HI033-TX-0006,HI033,Lahaina,Maui,HI,2026-06-30 17:04:16,LED-RED,5mm Red LED,LEDs,12,0.06,0.28,3.36,0.72,2.64,Kai,Government,Mobile Pay,125
HI033-TX-0007,HI033,Lahaina,Maui,HI,2026-06-30 14:14:55,CAP-100,100uF Capacitor,Capacitors,18,0.18,0.59,10.62,3.24,7.38,Koa,Education,Debit Card,269
HI033-TX-0008,HI033,Lahaina,Maui,HI,2026-06-30 16:37:17,BAT-AAH,AA Battery Holder,Batteries,38,0.50,2.60,98.80,19.00,79.80,Makana,Government,ACH,37
HI033-TX-0009,HI033,Lahaina,Maui,HI,2026-06-30 16:17:52,REL-5V,5V Relay Module,Relays,16,0.97,5.50,88.00,15.52,72.48,Ikaika,Commercial,Mobile Pay,578
HI033-TX-0010,HI033,Lahaina,Maui,HI,2026-06-30 17:21:38,LED-BLU,5mm Blue LED,LEDs,12,0.06,0.31,3.72,0.72,3.00,Alika,Maker/Hobbyist,Mobile Pay,758
HI033-TX-0011,HI033,Lahaina,Maui,HI,2026-06-30 14:12:04,LED-BLU,5mm Blue LED,LEDs,9,0.07,0.34,3.06,0.63,2.43,Nalu,Maker/Hobbyist,Purchase Order,760
HI033-TX-0012,HI033,Lahaina,Maui,HI,2026-06-30 17:17:19,LED-RGB,RGB LED Strip,LEDs,6,5.17,13.70,82.20,31.02,51.18,Noah,Government,Debit Card,24
HI033-TX-0013,HI033,Lahaina,Maui,HI,2026-06-30 11:58:50,LED-RED,5mm Red LED,LEDs,38,0.05,0.28,10.64,1.90,8.74,Lani,Education,ACH,598
HI033-TX-0014,HI033,Lahaina,Maui,HI,2026-06-30 11:37:50,SNS-ULT,Ultrasonic Distance Sensor,Sensors,32,1.24,5.43,173.76,39.68,134.08,Hana,Maker/Hobbyist,Cash,765
HI033-TX-0015,HI033,Lahaina,Maui,HI,2026-06-30 15:13:32,TR-3904,2N3904 NPN Transistor,Semiconductors,6,0.06,0.23,1.38,0.36,1.02,Keanu,Retail,Credit Card,641
HI033-TX-0016,HI033,Lahaina,Maui,HI,2026-06-30 10:53:02,LED-BLU,5mm Blue LED,LEDs,20,0.07,0.34,6.80,1.40,5.40,Mika,Tourism/Hospitality,Cash,721
HI033-TX-0017,HI033,Lahaina,Maui,HI,2026-06-30 11:03:02,CAP-100,100uF Capacitor,Capacitors,30,0.17,0.61,18.30,5.10,13.20,Keanu,Maker/Hobbyist,Cash,356
HI033-TX-0018,HI033,Lahaina,Maui,HI,2026-06-30 12:37:39,TOOL-SOL,Soldering Iron Tips,Tools,6,1.94,7.61,45.66,11.64,34.02,Leilani,Education,ACH,140
HI033-TX-0019,HI033,Lahaina,Maui,HI,2026-06-30 16:49:58,LED-RED,5mm Red LED,LEDs,25,0.05,0.27,6.75,1.25,5.50,Lani,Government,Debit Card,548
HI033-TX-0020,HI033,Lahaina,Maui,HI,2026-06-30 11:20:45,LED-RGB,RGB LED Strip,LEDs,7,4.83,13.78,96.46,33.81,62.65,Akamu,Commercial,Purchase Order,562
