transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI035-TX-0001,HI035,Makawao,Maui,HI,2026-06-30 10:42:27,PWR-12V,12V 5A Power Supply,Power,1,8.99,24.87,24.87,8.99,15.88,Malia,Education,Mobile Pay,475
HI035-TX-0002,HI035,Makawao,Maui,HI,2026-06-30 17:22:02,TOOL-DMM,Digital Multimeter,Tools,5,9.41,26.56,132.80,47.05,85.75,Iolana,Retail,Credit Card,136
HI035-TX-0003,HI035,Makawao,Maui,HI,2026-06-30 16:42:58,BAT-AAH,AA Battery Holder,Batteries,16,0.48,2.82,45.12,7.68,37.44,Keanu,Tourism/Hospitality,Credit Card,812
HI035-TX-0004,HI035,Makawao,Maui,HI,2026-06-30 14:28:24,IC-REG,7805 Voltage Regulator,Integrated Circuits,21,0.20,0.94,19.74,4.20,15.54,Alika,Education,Purchase Order,443
HI035-TX-0005,HI035,Makawao,Maui,HI,2026-06-30 16:55:03,SNS-PIR,PIR Motion Sensor,Sensors,2,1.51,6.13,12.26,3.02,9.24,Nalu,Retail,ACH,770
HI035-TX-0006,HI035,Makawao,Maui,HI,2026-06-30 15:47:04,LED-RGB,RGB LED Strip,LEDs,3,5.27,13.51,40.53,15.81,24.72,Nalu,Retail,ACH,591
HI035-TX-0007,HI035,Makawao,Maui,HI,2026-06-30 14:55:16,BAT-LIPO,LiPo Battery Pack,Batteries,7,5.61,15.88,111.16,39.27,71.89,Ailani,Commercial,Credit Card,461
HI035-TX-0008,HI035,Makawao,Maui,HI,2026-06-30 17:10:41,LED-RED,5mm Red LED,LEDs,34,0.05,0.27,9.18,1.70,7.48,Mika,Government,ACH,624
HI035-TX-0009,HI035,Makawao,Maui,HI,2026-06-30 12:21:26,PWR-5V2,5V 2A Power Supply,Power,5,3.56,10.76,53.80,17.80,36.00,Alika,Commercial,Cash,799
HI035-TX-0010,HI035,Makawao,Maui,HI,2026-06-30 17:38:15,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.24,8.46,67.68,25.92,41.76,Makana,Marine,Debit Card,72
HI035-TX-0011,HI035,Makawao,Maui,HI,2026-06-30 14:10:33,CON-JMP,Jumper Wire Set,Connectors,33,0.92,3.95,130.35,30.36,99.99,Alika,Marine,Purchase Order,856
