transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI037-TX-0001,HI037,Pukalani,Maui,HI,2026-06-30 14:00:47,TOOL-DMM,Digital Multimeter,Tools,1,8.85,28.66,28.66,8.85,19.81,Noelani,Education,Credit Card,91
HI037-TX-0002,HI037,Pukalani,Maui,HI,2026-06-30 16:01:33,PWR-BUCK,Buck Converter Module,Power,34,1.08,5.01,170.34,36.72,133.62,Ailani,Retail,Mobile Pay,99
HI037-TX-0003,HI037,Pukalani,Maui,HI,2026-06-30 12:07:10,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.47,21.45,21.45,8.47,12.98,Ailani,Commercial,Purchase Order,6
HI037-TX-0004,HI037,Pukalani,Maui,HI,2026-06-30 15:53:13,LED-RED,5mm Red LED,LEDs,40,0.06,0.28,11.20,2.40,8.80,Keahi,Tourism/Hospitality,Credit Card,119
HI037-TX-0005,HI037,Pukalani,Maui,HI,2026-06-30 14:08:49,LED-BLU,5mm Blue LED,LEDs,5,0.06,0.33,1.65,0.30,1.35,Nalu,Commercial,Purchase Order,388
HI037-TX-0006,HI037,Pukalani,Maui,HI,2026-06-30 17:54:37,CAP-010,10uF Capacitor,Capacitors,8,0.09,0.39,3.12,0.72,2.40,Alika,Marine,Credit Card,582
HI037-TX-0007,HI037,Pukalani,Maui,HI,2026-06-30 17:36:22,LED-RED,5mm Red LED,LEDs,18,0.06,0.28,5.04,1.08,3.96,Keahi,Maker/Hobbyist,Debit Card,345
HI037-TX-0008,HI037,Pukalani,Maui,HI,2026-06-30 15:56:41,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.65,22.00,176.00,69.20,106.80,Koa,Retail,Debit Card,293
HI037-TX-0009,HI037,Pukalani,Maui,HI,2026-06-30 17:15:41,TOOL-WIRE,Wire Stripper,Tools,4,5.24,15.81,63.24,20.96,42.28,Noah,Government,Cash,376
HI037-TX-0010,HI037,Pukalani,Maui,HI,2026-06-30 12:46:00,DIO-4007,1N4007 Diode,Semiconductors,27,0.05,0.19,5.13,1.35,3.78,Lani,Tourism/Hospitality,Mobile Pay,726
HI037-TX-0011,HI037,Pukalani,Maui,HI,2026-06-30 15:10:06,LED-RED,5mm Red LED,LEDs,3,0.06,0.28,0.84,0.18,0.66,Alika,Commercial,Mobile Pay,266
HI037-TX-0012,HI037,Pukalani,Maui,HI,2026-06-30 13:56:11,SOL-CTRL,Solar Charge Controller,Solar Power,2,11.48,32.89,65.78,22.96,42.82,Keanu,Government,Cash,434
HI037-TX-0013,HI037,Pukalani,Maui,HI,2026-06-30 10:54:32,SNS-ULT,Ultrasonic Distance Sensor,Sensors,3,1.33,5.75,17.25,3.99,13.26,Mika,Tourism/Hospitality,Purchase Order,55
HI037-TX-0014,HI037,Pukalani,Maui,HI,2026-06-30 09:55:21,LED-RED,5mm Red LED,LEDs,15,0.05,0.26,3.90,0.75,3.15,Alika,Marine,Cash,29
HI037-TX-0015,HI037,Pukalani,Maui,HI,2026-06-30 10:00:25,BAT-AAH,AA Battery Holder,Batteries,2,0.50,2.72,5.44,1.00,4.44,Nalu,Retail,Purchase Order,68
HI037-TX-0016,HI037,Pukalani,Maui,HI,2026-06-30 12:02:39,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,22,0.04,0.20,4.40,0.88,3.52,Pualani,Maker/Hobbyist,Credit Card,367
HI037-TX-0017,HI037,Pukalani,Maui,HI,2026-06-30 10:05:53,PWR-5V2,5V 2A Power Supply,Power,6,3.72,11.08,66.48,22.32,44.16,Akamu,Government,Purchase Order,647
HI037-TX-0018,HI037,Pukalani,Maui,HI,2026-06-30 13:21:16,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.45,6.89,55.12,11.60,43.52,Hana,Commercial,Credit Card,752
HI037-TX-0019,HI037,Pukalani,Maui,HI,2026-06-30 16:51:57,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.66,22.63,113.15,43.30,69.85,Malia,Maker/Hobbyist,Credit Card,585
HI037-TX-0020,HI037,Pukalani,Maui,HI,2026-06-30 17:31:11,LED-BLU,5mm Blue LED,LEDs,14,0.06,0.31,4.34,0.84,3.50,Kai,Maker/Hobbyist,ACH,641
HI037-TX-0021,HI037,Pukalani,Maui,HI,2026-06-30 11:49:01,RES-010,10k Ohm Resistor,Resistors,18,0.03,0.12,2.16,0.54,1.62,Hana,Commercial,Cash,322
HI037-TX-0022,HI037,Pukalani,Maui,HI,2026-06-30 17:18:15,IC-REG,7805 Voltage Regulator,Integrated Circuits,1,0.19,0.87,0.87,0.19,0.68,Keanu,Maker/Hobbyist,Credit Card,481
HI037-TX-0023,HI037,Pukalani,Maui,HI,2026-06-30 10:12:35,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,22,0.04,0.20,4.40,0.88,3.52,Malia,Marine,ACH,670
HI037-TX-0024,HI037,Pukalani,Maui,HI,2026-06-30 13:32:13,BAT-AAH,AA Battery Holder,Batteries,36,0.50,2.72,97.92,18.00,79.92,Ailani,Maker/Hobbyist,ACH,355
HI037-TX-0025,HI037,Pukalani,Maui,HI,2026-06-30 09:51:06,TOOL-WIRE,Wire Stripper,Tools,7,5.19,14.93,104.51,36.33,68.18,Keahi,Marine,Debit Card,248
HI037-TX-0026,HI037,Pukalani,Maui,HI,2026-06-30 13:08:02,RES-001,1k Ohm Resistor,Resistors,40,0.03,0.13,5.20,1.20,4.00,Noelani,Marine,Debit Card,223
HI037-TX-0027,HI037,Pukalani,Maui,HI,2026-06-30 17:58:57,MOS-44N,IRFZ44N MOSFET,Semiconductors,34,0.63,2.54,86.36,21.42,64.94,Koa,Tourism/Hospitality,Credit Card,47
HI037-TX-0028,HI037,Pukalani,Maui,HI,2026-06-30 12:36:42,ARD-NANO,Arduino Nano Compatible,Microcontrollers,2,4.95,14.18,28.36,9.90,18.46,Iolana,Government,Mobile Pay,359
