transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI039-TX-0001,HI039,Kula,Maui,HI,2026-06-30 14:06:41,PWR-BUCK,Buck Converter Module,Power,19,1.03,4.98,94.62,19.57,75.05,Nalu,Tourism/Hospitality,ACH,166
HI039-TX-0002,HI039,Kula,Maui,HI,2026-06-30 13:35:00,PWR-BUCK,Buck Converter Module,Power,25,1.02,5.11,127.75,25.50,102.25,Iolana,Retail,Credit Card,764
HI039-TX-0003,HI039,Kula,Maui,HI,2026-06-30 08:45:09,PWR-12V,12V 5A Power Supply,Power,2,8.85,26.01,52.02,17.70,34.32,Malia,Maker/Hobbyist,Mobile Pay,847
HI039-TX-0004,HI039,Kula,Maui,HI,2026-06-30 08:48:29,SNS-SOIL,Soil Moisture Sensor,Sensors,35,0.99,4.37,152.95,34.65,118.30,Noelani,Commercial,Credit Card,786
HI039-TX-0005,HI039,Kula,Maui,HI,2026-06-30 08:23:38,CON-JMP,Jumper Wire Set,Connectors,3,0.96,4.00,12.00,2.88,9.12,Ailani,Government,Mobile Pay,149
HI039-TX-0006,HI039,Kula,Maui,HI,2026-06-30 09:03:03,LED-RGB,RGB LED Strip,LEDs,4,5.28,14.42,57.68,21.12,36.56,Alika,Marine,ACH,680
HI039-TX-0007,HI039,Kula,Maui,HI,2026-06-30 11:47:32,RES-001,1k Ohm Resistor,Resistors,33,0.03,0.14,4.62,0.99,3.63,Keanu,Tourism/Hospitality,Debit Card,889
HI039-TX-0008,HI039,Kula,Maui,HI,2026-06-30 15:19:54,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.40,9.07,72.56,27.20,45.36,Ailani,Marine,ACH,257
HI039-TX-0009,HI039,Kula,Maui,HI,2026-06-30 12:37:22,SNS-PIR,PIR Motion Sensor,Sensors,4,1.63,5.90,23.60,6.52,17.08,Noah,Retail,Debit Card,475
HI039-TX-0010,HI039,Kula,Maui,HI,2026-06-30 17:47:26,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.62,16.17,129.36,44.96,84.40,Iolana,Commercial,Mobile Pay,703
HI039-TX-0011,HI039,Kula,Maui,HI,2026-06-30 10:51:36,LED-RGB,RGB LED Strip,LEDs,2,5.02,13.42,26.84,10.04,16.80,Noelani,Education,Purchase Order,703
HI039-TX-0012,HI039,Kula,Maui,HI,2026-06-30 11:58:51,CAP-100,100uF Capacitor,Capacitors,25,0.16,0.62,15.50,4.00,11.50,Pualani,Education,Purchase Order,881
HI039-TX-0013,HI039,Kula,Maui,HI,2026-06-30 09:34:31,SNS-DHT,DHT22 Temperature Sensor,Sensors,8,2.32,7.75,62.00,18.56,43.44,Malia,Retail,Purchase Order,696
HI039-TX-0014,HI039,Kula,Maui,HI,2026-06-30 17:06:18,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.16,17.19,103.14,30.96,72.18,Keanu,Government,Cash,684
HI039-TX-0015,HI039,Kula,Maui,HI,2026-06-30 10:11:35,LED-RED,5mm Red LED,LEDs,23,0.05,0.27,6.21,1.15,5.06,Noah,Retail,Credit Card,311
HI039-TX-0016,HI039,Kula,Maui,HI,2026-06-30 11:55:50,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.06,8.94,71.52,24.48,47.04,Leilani,Maker/Hobbyist,Cash,617
HI039-TX-0017,HI039,Kula,Maui,HI,2026-06-30 16:04:42,PWR-BUCK,Buck Converter Module,Power,12,0.99,5.09,61.08,11.88,49.20,Koa,Retail,Mobile Pay,558
HI039-TX-0018,HI039,Kula,Maui,HI,2026-06-30 11:28:29,LED-RGB,RGB LED Strip,LEDs,6,5.16,13.99,83.94,30.96,52.98,Ikaika,Tourism/Hospitality,Purchase Order,843
HI039-TX-0019,HI039,Kula,Maui,HI,2026-06-30 13:04:28,PWR-12V,12V 5A Power Supply,Power,3,9.05,26.01,78.03,27.15,50.88,Hana,Maker/Hobbyist,Debit Card,697
HI039-TX-0020,HI039,Kula,Maui,HI,2026-06-30 14:07:52,MOS-44N,IRFZ44N MOSFET,Semiconductors,32,0.65,2.38,76.16,20.80,55.36,Keahi,Retail,ACH,172
HI039-TX-0021,HI039,Kula,Maui,HI,2026-06-30 15:07:01,RES-001,1k Ohm Resistor,Resistors,11,0.03,0.13,1.43,0.33,1.10,Keanu,Commercial,Cash,444
HI039-TX-0022,HI039,Kula,Maui,HI,2026-06-30 11:09:53,LED-RGB,RGB LED Strip,LEDs,7,5.25,13.87,97.09,36.75,60.34,Koa,Maker/Hobbyist,Cash,773
HI039-TX-0023,HI039,Kula,Maui,HI,2026-06-30 12:18:55,SOL-CTRL,Solar Charge Controller,Solar Power,3,10.33,32.46,97.38,30.99,66.39,Keahi,Maker/Hobbyist,Purchase Order,328
HI039-TX-0024,HI039,Kula,Maui,HI,2026-06-30 13:06:16,PWR-12V,12V 5A Power Supply,Power,4,10.02,26.21,104.84,40.08,64.76,Malia,Tourism/Hospitality,Debit Card,602
HI039-TX-0025,HI039,Kula,Maui,HI,2026-06-30 09:51:40,IC-358,LM358 Op Amp,Integrated Circuits,29,0.31,1.26,36.54,8.99,27.55,Leilani,Tourism/Hospitality,Credit Card,300
HI039-TX-0026,HI039,Kula,Maui,HI,2026-06-30 10:25:27,PWR-12V,12V 5A Power Supply,Power,8,9.06,25.40,203.20,72.48,130.72,Kaleo,Marine,Purchase Order,612
HI039-TX-0027,HI039,Kula,Maui,HI,2026-06-30 14:22:44,LED-RED,5mm Red LED,LEDs,28,0.06,0.26,7.28,1.68,5.60,Leilani,Education,Credit Card,893
HI039-TX-0028,HI039,Kula,Maui,HI,2026-06-30 17:42:47,BAT-LIPO,LiPo Battery Pack,Batteries,2,5.59,16.98,33.96,11.18,22.78,Alika,Maker/Hobbyist,Credit Card,508
HI039-TX-0029,HI039,Kula,Maui,HI,2026-06-30 09:34:02,SNS-ULT,Ultrasonic Distance Sensor,Sensors,21,1.29,5.38,112.98,27.09,85.89,Leilani,Commercial,Purchase Order,13
HI039-TX-0030,HI039,Kula,Maui,HI,2026-06-30 11:15:26,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,34,0.04,0.20,6.80,1.36,5.44,Iolana,Retail,Mobile Pay,675
HI039-TX-0031,HI039,Kula,Maui,HI,2026-06-30 08:21:13,PWR-12V,12V 5A Power Supply,Power,6,8.93,24.27,145.62,53.58,92.04,Koa,Education,Cash,803
HI039-TX-0032,HI039,Kula,Maui,HI,2026-06-30 11:10:23,BAT-AAH,AA Battery Holder,Batteries,35,0.50,2.68,93.80,17.50,76.30,Mika,Retail,Credit Card,57
HI039-TX-0033,HI039,Kula,Maui,HI,2026-06-30 12:05:20,PWR-BUCK,Buck Converter Module,Power,22,1.11,4.95,108.90,24.42,84.48,Malia,Commercial,Mobile Pay,61
HI039-TX-0034,HI039,Kula,Maui,HI,2026-06-30 17:21:01,SNS-PIR,PIR Motion Sensor,Sensors,8,1.62,6.00,48.00,12.96,35.04,Noah,Maker/Hobbyist,Mobile Pay,290
HI039-TX-0035,HI039,Kula,Maui,HI,2026-06-30 12:41:18,LED-RED,5mm Red LED,LEDs,20,0.06,0.27,5.40,1.20,4.20,Leilani,Maker/Hobbyist,Debit Card,290
HI039-TX-0036,HI039,Kula,Maui,HI,2026-06-30 13:27:58,USB-CBO,USB-C Breakout Board,Connectors,27,1.47,5.39,145.53,39.69,105.84,Noelani,Education,Mobile Pay,686
HI039-TX-0037,HI039,Kula,Maui,HI,2026-06-30 16:06:17,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.51,13.60,27.20,9.02,18.18,Mika,Commercial,Mobile Pay,310
HI039-TX-0038,HI039,Kula,Maui,HI,2026-06-30 15:37:18,RES-220,220 Ohm Resistor,Resistors,34,0.03,0.13,4.42,1.02,3.40,Keahi,Maker/Hobbyist,Mobile Pay,385
HI039-TX-0039,HI039,Kula,Maui,HI,2026-06-30 11:50:19,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,5.00,13.89,83.34,30.00,53.34,Lani,Maker/Hobbyist,Credit Card,849
HI039-TX-0040,HI039,Kula,Maui,HI,2026-06-30 09:35:16,LED-RGB,RGB LED Strip,LEDs,3,5.12,13.37,40.11,15.36,24.75,Malia,Maker/Hobbyist,Debit Card,844
HI039-TX-0041,HI039,Kula,Maui,HI,2026-06-30 16:58:24,LED-RED,5mm Red LED,LEDs,35,0.06,0.29,10.15,2.10,8.05,Iolana,Marine,Debit Card,363
