transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI040-TX-0001,HI040,Wailea,Maui,HI,2026-06-30 09:29:03,PWR-5V2,5V 2A Power Supply,Power,2,3.61,11.53,23.06,7.22,15.84,Pualani,Commercial,ACH,100
HI040-TX-0002,HI040,Wailea,Maui,HI,2026-06-30 11:46:27,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.44,13.05,26.10,8.88,17.22,Makana,Commercial,Purchase Order,364
HI040-TX-0003,HI040,Wailea,Maui,HI,2026-06-30 13:43:19,ARD-NANO,Arduino Nano Compatible,Microcontrollers,3,4.57,14.47,43.41,13.71,29.70,Hana,Tourism/Hospitality,ACH,227
HI040-TX-0004,HI040,Wailea,Maui,HI,2026-06-30 10:07:42,BAT-LIPO,LiPo Battery Pack,Batteries,4,5.33,16.27,65.08,21.32,43.76,Kaleo,Retail,Credit Card,350
HI040-TX-0005,HI040,Wailea,Maui,HI,2026-06-30 14:10:17,TR-3904,2N3904 NPN Transistor,Semiconductors,36,0.06,0.25,9.00,2.16,6.84,Lani,Education,Mobile Pay,427
HI040-TX-0006,HI040,Wailea,Maui,HI,2026-06-30 12:27:28,LED-RGB,RGB LED Strip,LEDs,8,5.23,13.58,108.64,41.84,66.80,Keahi,Government,ACH,536
HI040-TX-0007,HI040,Wailea,Maui,HI,2026-06-30 15:26:42,PWR-5V2,5V 2A Power Supply,Power,3,3.41,10.27,30.81,10.23,20.58,Akamu,Marine,Mobile Pay,338
HI040-TX-0008,HI040,Wailea,Maui,HI,2026-06-30 16:48:05,TOOL-WIRE,Wire Stripper,Tools,7,5.00,15.45,108.15,35.00,73.15,Keahi,Education,Mobile Pay,785
HI040-TX-0009,HI040,Wailea,Maui,HI,2026-06-30 08:54:23,LED-RGB,RGB LED Strip,LEDs,2,4.75,14.36,28.72,9.50,19.22,Noelani,Government,Cash,827
HI040-TX-0010,HI040,Wailea,Maui,HI,2026-06-30 09:15:15,RES-001,1k Ohm Resistor,Resistors,21,0.03,0.12,2.52,0.63,1.89,Kai,Tourism/Hospitality,Credit Card,787
HI040-TX-0011,HI040,Wailea,Maui,HI,2026-06-30 09:02:45,LED-RED,5mm Red LED,LEDs,11,0.06,0.26,2.86,0.66,2.20,Noah,Education,ACH,160
HI040-TX-0012,HI040,Wailea,Maui,HI,2026-06-30 11:38:41,CON-JMP,Jumper Wire Set,Connectors,20,1.00,3.87,77.40,20.00,57.40,Noah,Commercial,Mobile Pay,87
HI040-TX-0013,HI040,Wailea,Maui,HI,2026-06-30 16:57:50,CON-JMP,Jumper Wire Set,Connectors,25,0.96,3.84,96.00,24.00,72.00,Lani,Commercial,Mobile Pay,107
HI040-TX-0014,HI040,Wailea,Maui,HI,2026-06-30 15:39:17,TOOL-SOL,Soldering Iron Tips,Tools,4,2.06,7.56,30.24,8.24,22.00,Keanu,Maker/Hobbyist,ACH,648
HI040-TX-0015,HI040,Wailea,Maui,HI,2026-06-30 16:46:58,PWR-BUCK,Buck Converter Module,Power,16,1.04,4.58,73.28,16.64,56.64,Pualani,Marine,ACH,193
HI040-TX-0016,HI040,Wailea,Maui,HI,2026-06-30 11:05:54,CON-JMP,Jumper Wire Set,Connectors,16,0.98,3.73,59.68,15.68,44.00,Noah,Tourism/Hospitality,Debit Card,513
HI040-TX-0017,HI040,Wailea,Maui,HI,2026-06-30 08:09:21,IC-358,LM358 Op Amp,Integrated Circuits,39,0.33,1.22,47.58,12.87,34.71,Akamu,Commercial,Debit Card,873
HI040-TX-0018,HI040,Wailea,Maui,HI,2026-06-30 12:57:03,BAT-AAH,AA Battery Holder,Batteries,23,0.53,2.79,64.17,12.19,51.98,Keanu,Tourism/Hospitality,Debit Card,549
HI040-TX-0019,HI040,Wailea,Maui,HI,2026-06-30 10:31:08,LED-BLU,5mm Blue LED,LEDs,35,0.07,0.34,11.90,2.45,9.45,Nalu,Marine,Debit Card,162
HI040-TX-0020,HI040,Wailea,Maui,HI,2026-06-30 11:58:29,SOL-CTRL,Solar Charge Controller,Solar Power,6,11.25,31.91,191.46,67.50,123.96,Noelani,Marine,Mobile Pay,80
HI040-TX-0021,HI040,Wailea,Maui,HI,2026-06-30 11:29:12,SNS-DHT,DHT22 Temperature Sensor,Sensors,2,2.45,7.79,15.58,4.90,10.68,Iolana,Retail,Mobile Pay,635
HI040-TX-0022,HI040,Wailea,Maui,HI,2026-06-30 09:06:20,SOL-CTRL,Solar Charge Controller,Solar Power,4,11.30,31.76,127.04,45.20,81.84,Iolana,Commercial,ACH,506
HI040-TX-0023,HI040,Wailea,Maui,HI,2026-06-30 08:53:20,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,23,0.04,0.19,4.37,0.92,3.45,Iolana,Maker/Hobbyist,Cash,100
HI040-TX-0024,HI040,Wailea,Maui,HI,2026-06-30 13:46:10,CON-JMP,Jumper Wire Set,Connectors,8,0.89,3.86,30.88,7.12,23.76,Ikaika,Government,Cash,55
HI040-TX-0025,HI040,Wailea,Maui,HI,2026-06-30 14:48:24,CAP-010,10uF Capacitor,Capacitors,7,0.09,0.36,2.52,0.63,1.89,Akamu,Government,Debit Card,489
HI040-TX-0026,HI040,Wailea,Maui,HI,2026-06-30 13:58:06,LED-BLU,5mm Blue LED,LEDs,14,0.07,0.33,4.62,0.98,3.64,Ikaika,Marine,Purchase Order,129
HI040-TX-0027,HI040,Wailea,Maui,HI,2026-06-30 12:51:24,LED-BLU,5mm Blue LED,LEDs,9,0.07,0.33,2.97,0.63,2.34,Kaleo,Commercial,Debit Card,899
HI040-TX-0028,HI040,Wailea,Maui,HI,2026-06-30 14:48:16,CON-JMP,Jumper Wire Set,Connectors,4,0.96,3.96,15.84,3.84,12.00,Noah,Marine,Cash,100
HI040-TX-0029,HI040,Wailea,Maui,HI,2026-06-30 16:46:10,LED-RED,5mm Red LED,LEDs,19,0.05,0.28,5.32,0.95,4.37,Malia,Retail,Cash,59
HI040-TX-0030,HI040,Wailea,Maui,HI,2026-06-30 12:57:50,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,3.79,14.03,56.12,15.16,40.96,Ailani,Commercial,ACH,98
HI040-TX-0031,HI040,Wailea,Maui,HI,2026-06-30 16:19:07,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.14,12.25,24.50,8.28,16.22,Mika,Marine,ACH,721
HI040-TX-0032,HI040,Wailea,Maui,HI,2026-06-30 09:34:01,CAP-100,100uF Capacitor,Capacitors,11,0.16,0.61,6.71,1.76,4.95,Noelani,Commercial,Purchase Order,67
HI040-TX-0033,HI040,Wailea,Maui,HI,2026-06-30 08:36:11,CAP-100,100uF Capacitor,Capacitors,3,0.17,0.57,1.71,0.51,1.20,Mika,Commercial,Cash,730
HI040-TX-0034,HI040,Wailea,Maui,HI,2026-06-30 11:03:19,RES-220,220 Ohm Resistor,Resistors,27,0.03,0.14,3.78,0.81,2.97,Mika,Maker/Hobbyist,Debit Card,527
HI040-TX-0035,HI040,Wailea,Maui,HI,2026-06-30 15:34:32,PWR-BUCK,Buck Converter Module,Power,21,0.98,4.73,99.33,20.58,78.75,Kaleo,Education,Debit Card,153
HI040-TX-0036,HI040,Wailea,Maui,HI,2026-06-30 16:30:52,DIO-4007,1N4007 Diode,Semiconductors,9,0.05,0.20,1.80,0.45,1.35,Malia,Commercial,Mobile Pay,415
HI040-TX-0037,HI040,Wailea,Maui,HI,2026-06-30 10:37:02,BAT-LIPO,LiPo Battery Pack,Batteries,4,4.97,16.56,66.24,19.88,46.36,Alika,Marine,Mobile Pay,776
HI040-TX-0038,HI040,Wailea,Maui,HI,2026-06-30 11:37:31,PWR-5V2,5V 2A Power Supply,Power,3,3.70,11.09,33.27,11.10,22.17,Nalu,Marine,Cash,617
HI040-TX-0039,HI040,Wailea,Maui,HI,2026-06-30 08:44:53,RES-001,1k Ohm Resistor,Resistors,2,0.03,0.13,0.26,0.06,0.20,Leilani,Retail,Purchase Order,590
HI040-TX-0040,HI040,Wailea,Maui,HI,2026-06-30 17:38:11,MOS-44N,IRFZ44N MOSFET,Semiconductors,26,0.63,2.42,62.92,16.38,46.54,Leilani,Marine,Debit Card,884
HI040-TX-0041,HI040,Wailea,Maui,HI,2026-06-30 08:39:23,PWR-5V2,5V 2A Power Supply,Power,1,3.39,11.46,11.46,3.39,8.07,Leilani,Government,Mobile Pay,646
HI040-TX-0042,HI040,Wailea,Maui,HI,2026-06-30 10:13:48,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.50,6.43,6.43,1.50,4.93,Noah,Maker/Hobbyist,Mobile Pay,360
HI040-TX-0043,HI040,Wailea,Maui,HI,2026-06-30 09:18:35,LED-BLU,5mm Blue LED,LEDs,28,0.07,0.35,9.80,1.96,7.84,Kai,Education,Cash,396
HI040-TX-0044,HI040,Wailea,Maui,HI,2026-06-30 08:27:23,CAP-100,100uF Capacitor,Capacitors,39,0.17,0.63,24.57,6.63,17.94,Leilani,Government,Credit Card,806
HI040-TX-0045,HI040,Wailea,Maui,HI,2026-06-30 09:34:41,LED-RGB,RGB LED Strip,LEDs,1,4.96,14.94,14.94,4.96,9.98,Ailani,Education,Purchase Order,318
HI040-TX-0046,HI040,Wailea,Maui,HI,2026-06-30 15:01:34,BAT-AAH,AA Battery Holder,Batteries,16,0.53,2.71,43.36,8.48,34.88,Makana,Government,Credit Card,330
HI040-TX-0047,HI040,Wailea,Maui,HI,2026-06-30 08:19:56,PWR-12V,12V 5A Power Supply,Power,5,9.18,24.97,124.85,45.90,78.95,Keanu,Commercial,Debit Card,341
HI040-TX-0048,HI040,Wailea,Maui,HI,2026-06-30 17:28:44,SNS-DHT,DHT22 Temperature Sensor,Sensors,2,2.36,7.26,14.52,4.72,9.80,Makana,Marine,Purchase Order,891
HI040-TX-0049,HI040,Wailea,Maui,HI,2026-06-30 09:15:12,PWR-BUCK,Buck Converter Module,Power,21,1.06,5.05,106.05,22.26,83.79,Lani,Government,Purchase Order,362
HI040-TX-0050,HI040,Wailea,Maui,HI,2026-06-30 17:33:55,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.58,14.47,72.35,22.90,49.45,Lani,Education,Cash,640
