transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI043-TX-0001,HI043,Hana,Maui,HI,2026-06-30 14:52:16,LED-RGB,RGB LED Strip,LEDs,6,4.74,14.91,89.46,28.44,61.02,Lani,Retail,Debit Card,68
HI043-TX-0002,HI043,Hana,Maui,HI,2026-06-30 14:34:38,TOOL-SOL,Soldering Iron Tips,Tools,2,1.88,8.04,16.08,3.76,12.32,Koa,Maker/Hobbyist,Purchase Order,190
HI043-TX-0003,HI043,Hana,Maui,HI,2026-06-30 09:30:36,BAT-AAH,AA Battery Holder,Batteries,38,0.51,2.71,102.98,19.38,83.60,Keahi,Retail,Mobile Pay,683
HI043-TX-0004,HI043,Hana,Maui,HI,2026-06-30 12:42:37,LED-RED,5mm Red LED,LEDs,8,0.05,0.28,2.24,0.40,1.84,Alika,Retail,Debit Card,742
HI043-TX-0005,HI043,Hana,Maui,HI,2026-06-30 16:39:17,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.85,13.80,82.80,29.10,53.70,Nalu,Government,Cash,867
HI043-TX-0006,HI043,Hana,Maui,HI,2026-06-30 12:16:05,PWR-BUCK,Buck Converter Module,Power,14,1.06,5.03,70.42,14.84,55.58,Kaleo,Commercial,ACH,540
HI043-TX-0007,HI043,Hana,Maui,HI,2026-06-30 17:49:53,LED-BLU,5mm Blue LED,LEDs,31,0.06,0.35,10.85,1.86,8.99,Noelani,Retail,Credit Card,161
HI043-TX-0008,HI043,Hana,Maui,HI,2026-06-30 10:07:50,PWR-BUCK,Buck Converter Module,Power,22,1.07,4.69,103.18,23.54,79.64,Keahi,Commercial,Mobile Pay,678
HI043-TX-0009,HI043,Hana,Maui,HI,2026-06-30 14:03:37,PWR-BUCK,Buck Converter Module,Power,18,1.06,4.72,84.96,19.08,65.88,Kaleo,Government,Debit Card,721
HI043-TX-0010,HI043,Hana,Maui,HI,2026-06-30 11:27:41,TOOL-DMM,Digital Multimeter,Tools,2,8.79,26.49,52.98,17.58,35.40,Keanu,Retail,Purchase Order,764
HI043-TX-0011,HI043,Hana,Maui,HI,2026-06-30 16:51:01,PWR-5V2,5V 2A Power Supply,Power,5,3.50,10.91,54.55,17.50,37.05,Koa,Education,Credit Card,271
HI043-TX-0012,HI043,Hana,Maui,HI,2026-06-30 11:12:26,IC-555,NE555 Timer IC,Integrated Circuits,29,0.34,1.32,38.28,9.86,28.42,Noelani,Tourism/Hospitality,Purchase Order,448
HI043-TX-0013,HI043,Hana,Maui,HI,2026-06-30 12:48:28,RES-010,10k Ohm Resistor,Resistors,28,0.03,0.13,3.64,0.84,2.80,Ikaika,Retail,Mobile Pay,44
HI043-TX-0014,HI043,Hana,Maui,HI,2026-06-30 15:25:35,RES-001,1k Ohm Resistor,Resistors,39,0.03,0.13,5.07,1.17,3.90,Makana,Marine,Mobile Pay,193
HI043-TX-0015,HI043,Hana,Maui,HI,2026-06-30 17:33:57,SNS-PIR,PIR Motion Sensor,Sensors,1,1.63,6.20,6.20,1.63,4.57,Kaleo,Commercial,Mobile Pay,810
HI043-TX-0016,HI043,Hana,Maui,HI,2026-06-30 13:54:35,CON-JMP,Jumper Wire Set,Connectors,18,0.99,3.90,70.20,17.82,52.38,Koa,Retail,Purchase Order,101
HI043-TX-0017,HI043,Hana,Maui,HI,2026-06-30 08:32:30,LED-BLU,5mm Blue LED,LEDs,27,0.07,0.34,9.18,1.89,7.29,Pualani,Government,Purchase Order,643
HI043-TX-0018,HI043,Hana,Maui,HI,2026-06-30 15:41:37,BAT-AAH,AA Battery Holder,Batteries,31,0.46,2.83,87.73,14.26,73.47,Mika,Retail,ACH,601
HI043-TX-0019,HI043,Hana,Maui,HI,2026-06-30 13:16:14,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.27,8.66,25.98,9.81,16.17,Keanu,Maker/Hobbyist,Cash,555
HI043-TX-0020,HI043,Hana,Maui,HI,2026-06-30 13:22:35,MOS-44N,IRFZ44N MOSFET,Semiconductors,33,0.59,2.42,79.86,19.47,60.39,Kaleo,Tourism/Hospitality,Credit Card,669
HI043-TX-0021,HI043,Hana,Maui,HI,2026-06-30 14:09:43,LED-BLU,5mm Blue LED,LEDs,4,0.06,0.31,1.24,0.24,1.00,Noelani,Marine,Purchase Order,336
HI043-TX-0022,HI043,Hana,Maui,HI,2026-06-30 16:09:35,LED-RED,5mm Red LED,LEDs,2,0.06,0.29,0.58,0.12,0.46,Keanu,Commercial,Purchase Order,344
HI043-TX-0023,HI043,Hana,Maui,HI,2026-06-30 10:43:34,IC-555,NE555 Timer IC,Integrated Circuits,3,0.37,1.42,4.26,1.11,3.15,Nalu,Maker/Hobbyist,Debit Card,470
HI043-TX-0024,HI043,Hana,Maui,HI,2026-06-30 16:39:18,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.28,31.78,127.12,41.12,86.00,Lani,Education,Debit Card,449
HI043-TX-0025,HI043,Hana,Maui,HI,2026-06-30 10:53:20,MOS-44N,IRFZ44N MOSFET,Semiconductors,40,0.60,2.60,104.00,24.00,80.00,Keanu,Retail,Debit Card,432
HI043-TX-0026,HI043,Hana,Maui,HI,2026-06-30 08:58:20,LED-BLU,5mm Blue LED,LEDs,39,0.06,0.33,12.87,2.34,10.53,Ailani,Commercial,Credit Card,823
HI043-TX-0027,HI043,Hana,Maui,HI,2026-06-30 11:09:41,PWR-BUCK,Buck Converter Module,Power,26,1.02,5.07,131.82,26.52,105.30,Ikaika,Marine,Credit Card,70
HI043-TX-0028,HI043,Hana,Maui,HI,2026-06-30 12:43:29,SOL-CTRL,Solar Charge Controller,Solar Power,5,11.32,34.07,170.35,56.60,113.75,Makana,Marine,Mobile Pay,406
