transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI044-TX-0001,HI044,Maalaea,Maui,HI,2026-06-30 08:28:18,LED-RED,5mm Red LED,LEDs,3,0.05,0.26,0.78,0.15,0.63,Hana,Government,Credit Card,446
HI044-TX-0002,HI044,Maalaea,Maui,HI,2026-06-30 10:58:17,PWR-5V2,5V 2A Power Supply,Power,2,3.71,11.07,22.14,7.42,14.72,Kai,Retail,Purchase Order,656
HI044-TX-0003,HI044,Maalaea,Maui,HI,2026-06-30 16:02:28,BAT-LIPO,LiPo Battery Pack,Batteries,1,5.26,16.23,16.23,5.26,10.97,Nalu,Education,Credit Card,719
HI044-TX-0004,HI044,Maalaea,Maui,HI,2026-06-30 09:10:04,IC-358,LM358 Op Amp,Integrated Circuits,17,0.32,1.20,20.40,5.44,14.96,Leilani,Education,Mobile Pay,528
HI044-TX-0005,HI044,Maalaea,Maui,HI,2026-06-30 12:20:48,CAP-100,100uF Capacitor,Capacitors,26,0.17,0.58,15.08,4.42,10.66,Mika,Education,ACH,440
HI044-TX-0006,HI044,Maalaea,Maui,HI,2026-06-30 10:15:54,BRD-830,Breadboard 830 Tie Points,Connectors,7,1.48,6.16,43.12,10.36,32.76,Makana,Commercial,Credit Card,111
HI044-TX-0007,HI044,Maalaea,Maui,HI,2026-06-30 13:01:31,SNS-PIR,PIR Motion Sensor,Sensors,6,1.48,5.66,33.96,8.88,25.08,Ailani,Tourism/Hospitality,Purchase Order,187
HI044-TX-0008,HI044,Maalaea,Maui,HI,2026-06-30 16:34:07,LED-RED,5mm Red LED,LEDs,8,0.05,0.27,2.16,0.40,1.76,Alika,Education,Credit Card,130
HI044-TX-0009,HI044,Maalaea,Maui,HI,2026-06-30 12:48:11,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,37,0.04,0.19,7.03,1.48,5.55,Keanu,Tourism/Hospitality,ACH,692
HI044-TX-0010,HI044,Maalaea,Maui,HI,2026-06-30 17:07:56,LED-RGB,RGB LED Strip,LEDs,1,4.99,14.26,14.26,4.99,9.27,Ailani,Government,Credit Card,147
HI044-TX-0011,HI044,Maalaea,Maui,HI,2026-06-30 12:25:03,BAT-AAH,AA Battery Holder,Batteries,11,0.48,2.56,28.16,5.28,22.88,Malia,Education,Mobile Pay,37
HI044-TX-0012,HI044,Maalaea,Maui,HI,2026-06-30 09:43:02,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,7.74,20.42,20.42,7.74,12.68,Kai,Maker/Hobbyist,Debit Card,691
HI044-TX-0013,HI044,Maalaea,Maui,HI,2026-06-30 13:33:09,SOL-CTRL,Solar Charge Controller,Solar Power,6,10.39,34.47,206.82,62.34,144.48,Leilani,Maker/Hobbyist,Cash,589
