transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI045-TX-0001,HI045,Hilo,Hawaii Island,HI,2026-06-30 16:43:11,PWR-BUCK,Buck Converter Module,Power,8,1.02,4.79,38.32,8.16,30.16,Hana,Tourism/Hospitality,ACH,600
HI045-TX-0002,HI045,Hilo,Hawaii Island,HI,2026-06-30 09:46:45,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.44,21.17,169.36,67.52,101.84,Koa,Marine,Mobile Pay,198
HI045-TX-0003,HI045,Hilo,Hawaii Island,HI,2026-06-30 08:29:58,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,4.08,13.47,53.88,16.32,37.56,Ikaika,Retail,Credit Card,214
HI045-TX-0004,HI045,Hilo,Hawaii Island,HI,2026-06-30 10:47:15,MOS-44N,IRFZ44N MOSFET,Semiconductors,21,0.61,2.52,52.92,12.81,40.11,Akamu,Tourism/Hospitality,Purchase Order,226
HI045-TX-0005,HI045,Hilo,Hawaii Island,HI,2026-06-30 10:44:11,IC-358,LM358 Op Amp,Integrated Circuits,33,0.32,1.27,41.91,10.56,31.35,Leilani,Retail,Debit Card,42
HI045-TX-0006,HI045,Hilo,Hawaii Island,HI,2026-06-30 12:37:20,SNS-SOIL,Soil Moisture Sensor,Sensors,12,0.89,4.24,50.88,10.68,40.20,Leilani,Tourism/Hospitality,ACH,34
HI045-TX-0007,HI045,Hilo,Hawaii Island,HI,2026-06-30 13:12:30,BAT-LIPO,LiPo Battery Pack,Batteries,2,5.43,16.15,32.30,10.86,21.44,Hana,Tourism/Hospitality,ACH,505
HI045-TX-0008,HI045,Hilo,Hawaii Island,HI,2026-06-30 08:20:35,PWR-12V,12V 5A Power Supply,Power,5,9.57,25.77,128.85,47.85,81.00,Makana,Maker/Hobbyist,Debit Card,333
HI045-TX-0009,HI045,Hilo,Hawaii Island,HI,2026-06-30 09:19:03,RES-220,220 Ohm Resistor,Resistors,9,0.03,0.13,1.17,0.27,0.90,Lani,Tourism/Hospitality,Credit Card,202
HI045-TX-0010,HI045,Hilo,Hawaii Island,HI,2026-06-30 12:55:03,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,3.90,13.69,54.76,15.60,39.16,Makana,Commercial,Credit Card,670
HI045-TX-0011,HI045,Hilo,Hawaii Island,HI,2026-06-30 15:47:48,SNS-PIR,PIR Motion Sensor,Sensors,2,1.64,6.20,12.40,3.28,9.12,Akamu,Retail,Debit Card,254
HI045-TX-0012,HI045,Hilo,Hawaii Island,HI,2026-06-30 17:51:18,USB-CBO,USB-C Breakout Board,Connectors,14,1.42,5.30,74.20,19.88,54.32,Malia,Government,Mobile Pay,326
HI045-TX-0013,HI045,Hilo,Hawaii Island,HI,2026-06-30 09:28:34,SOL-CTRL,Solar Charge Controller,Solar Power,8,10.06,31.19,249.52,80.48,169.04,Nalu,Maker/Hobbyist,Mobile Pay,199
HI045-TX-0014,HI045,Hilo,Hawaii Island,HI,2026-06-30 14:57:24,SNS-PIR,PIR Motion Sensor,Sensors,8,1.54,6.27,50.16,12.32,37.84,Leilani,Government,ACH,86
HI045-TX-0015,HI045,Hilo,Hawaii Island,HI,2026-06-30 11:10:41,PICO-RP,Raspberry Pi Pico,Microcontrollers,6,3.04,9.19,55.14,18.24,36.90,Malia,Marine,Cash,437
