transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI046-TX-0001,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:50:14,SNS-ULT,Ultrasonic Distance Sensor,Sensors,10,1.24,5.21,52.10,12.40,39.70,Noah,Education,Mobile Pay,610
HI046-TX-0002,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:26:19,SNS-PIR,PIR Motion Sensor,Sensors,6,1.62,6.00,36.00,9.72,26.28,Mika,Education,Debit Card,746
HI046-TX-0003,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:23:42,USB-CBO,USB-C Breakout Board,Connectors,32,1.34,5.77,184.64,42.88,141.76,Makana,Retail,ACH,766
HI046-TX-0004,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:29:37,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.55,13.56,67.80,22.75,45.05,Koa,Commercial,ACH,68
HI046-TX-0005,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 11:33:47,USB-CBO,USB-C Breakout Board,Connectors,15,1.45,5.27,79.05,21.75,57.30,Noah,Government,Credit Card,493
HI046-TX-0006,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 09:39:41,CAP-100,100uF Capacitor,Capacitors,28,0.17,0.58,16.24,4.76,11.48,Nalu,Tourism/Hospitality,Cash,740
HI046-TX-0007,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:06:38,TR-3904,2N3904 NPN Transistor,Semiconductors,23,0.05,0.25,5.75,1.15,4.60,Nalu,Government,Purchase Order,628
HI046-TX-0008,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 14:26:30,SNS-PIR,PIR Motion Sensor,Sensors,4,1.47,5.70,22.80,5.88,16.92,Kai,Marine,ACH,604
HI046-TX-0009,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 10:12:05,LED-BLU,5mm Blue LED,LEDs,40,0.06,0.33,13.20,2.40,10.80,Malia,Retail,Cash,551
HI046-TX-0010,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:34:56,TR-3904,2N3904 NPN Transistor,Semiconductors,17,0.05,0.26,4.42,0.85,3.57,Ikaika,Government,Credit Card,306
HI046-TX-0011,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 10:36:55,PWR-12V,12V 5A Power Supply,Power,2,9.55,26.10,52.20,19.10,33.10,Akamu,Retail,Purchase Order,726
HI046-TX-0012,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:18:52,IC-555,NE555 Timer IC,Integrated Circuits,1,0.35,1.43,1.43,0.35,1.08,Nalu,Marine,Credit Card,489
HI046-TX-0013,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:58:45,SNS-SOIL,Soil Moisture Sensor,Sensors,7,0.93,4.25,29.75,6.51,23.24,Koa,Education,Mobile Pay,362
HI046-TX-0014,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 17:33:49,TR-3904,2N3904 NPN Transistor,Semiconductors,2,0.06,0.23,0.46,0.12,0.34,Makana,Commercial,Mobile Pay,282
HI046-TX-0015,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 13:24:37,BRD-830,Breadboard 830 Tie Points,Connectors,7,1.45,6.37,44.59,10.15,34.44,Noah,Maker/Hobbyist,Purchase Order,181
HI046-TX-0016,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 11:02:32,PWR-5V2,5V 2A Power Supply,Power,5,3.40,11.16,55.80,17.00,38.80,Akamu,Tourism/Hospitality,Credit Card,444
HI046-TX-0017,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:53:25,SNS-SOIL,Soil Moisture Sensor,Sensors,23,0.94,4.21,96.83,21.62,75.21,Keahi,Marine,ACH,821
HI046-TX-0018,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:24:03,PWR-BUCK,Buck Converter Module,Power,20,1.11,5.11,102.20,22.20,80.00,Ailani,Education,Purchase Order,62
HI046-TX-0019,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:55:39,IC-555,NE555 Timer IC,Integrated Circuits,17,0.37,1.41,23.97,6.29,17.68,Iolana,Maker/Hobbyist,Cash,256
HI046-TX-0020,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 13:56:37,SNS-DHT,DHT22 Temperature Sensor,Sensors,5,2.49,7.81,39.05,12.45,26.60,Noelani,Retail,Credit Card,497
HI046-TX-0021,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 09:59:30,SNS-SOIL,Soil Moisture Sensor,Sensors,8,0.90,4.38,35.04,7.20,27.84,Iolana,Marine,Credit Card,208
HI046-TX-0022,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 09:29:05,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.20,8.24,8.24,3.20,5.04,Malia,Retail,ACH,627
HI046-TX-0023,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:44:09,LED-RGB,RGB LED Strip,LEDs,2,5.11,14.32,28.64,10.22,18.42,Keahi,Government,ACH,879
HI046-TX-0024,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:16:11,SNS-SOIL,Soil Moisture Sensor,Sensors,1,0.94,4.61,4.61,0.94,3.67,Koa,Maker/Hobbyist,ACH,528
HI046-TX-0025,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 13:21:34,IC-358,LM358 Op Amp,Integrated Circuits,26,0.31,1.18,30.68,8.06,22.62,Lani,Government,Credit Card,744
HI046-TX-0026,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 10:49:12,PWR-12V,12V 5A Power Supply,Power,8,9.85,23.64,189.12,78.80,110.32,Keahi,Retail,Mobile Pay,773
HI046-TX-0027,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 12:37:26,USB-CBO,USB-C Breakout Board,Connectors,34,1.41,5.27,179.18,47.94,131.24,Koa,Maker/Hobbyist,ACH,876
HI046-TX-0028,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 12:34:22,USB-CBO,USB-C Breakout Board,Connectors,4,1.47,5.61,22.44,5.88,16.56,Noelani,Maker/Hobbyist,Debit Card,299
HI046-TX-0029,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 12:42:18,PWR-BUCK,Buck Converter Module,Power,8,1.00,4.63,37.04,8.00,29.04,Ikaika,Education,Mobile Pay,751
HI046-TX-0030,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:07:52,IC-358,LM358 Op Amp,Integrated Circuits,24,0.32,1.15,27.60,7.68,19.92,Ikaika,Retail,Mobile Pay,509
HI046-TX-0031,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:26:50,PWR-5V2,5V 2A Power Supply,Power,5,3.75,10.65,53.25,18.75,34.50,Keahi,Marine,Purchase Order,565
HI046-TX-0032,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:29:01,PWR-BUCK,Buck Converter Module,Power,29,1.11,4.93,142.97,32.19,110.78,Mika,Retail,Purchase Order,755
HI046-TX-0033,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:45:16,TOOL-WIRE,Wire Stripper,Tools,2,4.90,14.48,28.96,9.80,19.16,Ikaika,Marine,Mobile Pay,606
HI046-TX-0034,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:52:33,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.21,8.24,65.92,25.68,40.24,Keanu,Government,ACH,848
HI046-TX-0035,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 14:35:30,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,9.55,26.04,182.28,66.85,115.43,Kai,Government,Purchase Order,618
HI046-TX-0036,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:40:39,RES-220,220 Ohm Resistor,Resistors,26,0.03,0.14,3.64,0.78,2.86,Alika,Tourism/Hospitality,Cash,840
HI046-TX-0037,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:47:03,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.94,13.61,68.05,24.70,43.35,Malia,Commercial,Credit Card,838
HI046-TX-0038,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:59:08,DIO-4007,1N4007 Diode,Semiconductors,26,0.05,0.20,5.20,1.30,3.90,Noah,Retail,ACH,322
HI046-TX-0039,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 08:54:24,SNS-DHT,DHT22 Temperature Sensor,Sensors,2,2.48,7.72,15.44,4.96,10.48,Ailani,Marine,Mobile Pay,677
HI046-TX-0040,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 15:46:33,CAP-010,10uF Capacitor,Capacitors,20,0.09,0.40,8.00,1.80,6.20,Iolana,Government,ACH,885
HI046-TX-0041,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:02:15,PWR-5V2,5V 2A Power Supply,Power,2,3.83,10.60,21.20,7.66,13.54,Hana,Government,Credit Card,358
HI046-TX-0042,HI046,Kailua Kona,Hawaii Island,HI,2026-06-30 16:36:23,IC-555,NE555 Timer IC,Integrated Circuits,18,0.34,1.44,25.92,6.12,19.80,Noelani,Government,Cash,478
