transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI052-TX-0001,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:26:13,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.61,13.47,94.29,25.27,69.02,Iolana,Retail,Credit Card,601
HI052-TX-0002,HI052,Volcano,Hawaii Island,HI,2026-06-30 17:40:07,ARD-NANO,Arduino Nano Compatible,Microcontrollers,1,4.63,13.67,13.67,4.63,9.04,Alika,Government,ACH,734
HI052-TX-0003,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:26:31,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.61,13.64,27.28,7.22,20.06,Alika,Government,Credit Card,472
HI052-TX-0004,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:12:47,BAT-AAH,AA Battery Holder,Batteries,28,0.51,2.69,75.32,14.28,61.04,Nalu,Government,Mobile Pay,761
HI052-TX-0005,HI052,Volcano,Hawaii Island,HI,2026-06-30 14:17:28,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.28,21.43,150.01,57.96,92.05,Kai,Commercial,Mobile Pay,662
HI052-TX-0006,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:08:11,SNS-ULT,Ultrasonic Distance Sensor,Sensors,37,1.26,5.32,196.84,46.62,150.22,Koa,Government,Purchase Order,364
HI052-TX-0007,HI052,Volcano,Hawaii Island,HI,2026-06-30 13:19:52,SNS-PIR,PIR Motion Sensor,Sensors,6,1.45,6.21,37.26,8.70,28.56,Noah,Government,Purchase Order,177
HI052-TX-0008,HI052,Volcano,Hawaii Island,HI,2026-06-30 08:02:48,TOOL-SOL,Soldering Iron Tips,Tools,5,2.06,7.64,38.20,10.30,27.90,Noelani,Tourism/Hospitality,Debit Card,357
HI052-TX-0009,HI052,Volcano,Hawaii Island,HI,2026-06-30 17:40:38,RES-001,1k Ohm Resistor,Resistors,2,0.03,0.14,0.28,0.06,0.22,Keahi,Government,Purchase Order,158
HI052-TX-0010,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:36:03,IC-555,NE555 Timer IC,Integrated Circuits,35,0.36,1.30,45.50,12.60,32.90,Kaleo,Commercial,Purchase Order,730
HI052-TX-0011,HI052,Volcano,Hawaii Island,HI,2026-06-30 08:16:30,USB-CBO,USB-C Breakout Board,Connectors,14,1.47,5.31,74.34,20.58,53.76,Kaleo,Government,Debit Card,891
HI052-TX-0012,HI052,Volcano,Hawaii Island,HI,2026-06-30 11:50:59,SNS-SOIL,Soil Moisture Sensor,Sensors,10,0.95,4.51,45.10,9.50,35.60,Kai,Maker/Hobbyist,Credit Card,732
HI052-TX-0013,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:58:30,PWR-BUCK,Buck Converter Module,Power,7,1.08,4.78,33.46,7.56,25.90,Lani,Marine,ACH,560
HI052-TX-0014,HI052,Volcano,Hawaii Island,HI,2026-06-30 17:34:24,PWR-BUCK,Buck Converter Module,Power,15,1.11,4.99,74.85,16.65,58.20,Iolana,Marine,ACH,653
HI052-TX-0015,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:40:59,BAT-AAH,AA Battery Holder,Batteries,13,0.50,2.80,36.40,6.50,29.90,Iolana,Government,Mobile Pay,120
HI052-TX-0016,HI052,Volcano,Hawaii Island,HI,2026-06-30 11:43:58,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.35,8.54,34.16,13.40,20.76,Noah,Retail,ACH,826
HI052-TX-0017,HI052,Volcano,Hawaii Island,HI,2026-06-30 10:58:50,BAT-AAH,AA Battery Holder,Batteries,37,0.52,2.74,101.38,19.24,82.14,Kaleo,Retail,Credit Card,60
HI052-TX-0018,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:03:21,PWR-BUCK,Buck Converter Module,Power,29,1.06,5.18,150.22,30.74,119.48,Koa,Maker/Hobbyist,ACH,92
HI052-TX-0019,HI052,Volcano,Hawaii Island,HI,2026-06-30 09:22:43,SNS-SOIL,Soil Moisture Sensor,Sensors,21,0.91,4.47,93.87,19.11,74.76,Keahi,Maker/Hobbyist,Debit Card,784
HI052-TX-0020,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:13:23,LED-RED,5mm Red LED,LEDs,39,0.06,0.28,10.92,2.34,8.58,Noelani,Maker/Hobbyist,ACH,614
HI052-TX-0021,HI052,Volcano,Hawaii Island,HI,2026-06-30 10:18:17,PWR-12V,12V 5A Power Supply,Power,1,9.94,26.53,26.53,9.94,16.59,Malia,Marine,Credit Card,165
HI052-TX-0022,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:09:28,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,8.26,21.96,87.84,33.04,54.80,Leilani,Tourism/Hospitality,Credit Card,534
HI052-TX-0023,HI052,Volcano,Hawaii Island,HI,2026-06-30 11:05:02,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.27,12.77,38.31,12.81,25.50,Akamu,Education,ACH,597
HI052-TX-0024,HI052,Volcano,Hawaii Island,HI,2026-06-30 11:07:55,ARD-NANO,Arduino Nano Compatible,Microcontrollers,4,4.58,13.35,53.40,18.32,35.08,Iolana,Government,Credit Card,750
HI052-TX-0025,HI052,Volcano,Hawaii Island,HI,2026-06-30 14:01:12,ESP-32,ESP32 Dev Board,Microcontrollers,1,4.30,13.39,13.39,4.30,9.09,Leilani,Retail,Mobile Pay,757
HI052-TX-0026,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:14:03,LED-RED,5mm Red LED,LEDs,21,0.06,0.27,5.67,1.26,4.41,Makana,Tourism/Hospitality,Credit Card,860
HI052-TX-0027,HI052,Volcano,Hawaii Island,HI,2026-06-30 09:03:12,IC-555,NE555 Timer IC,Integrated Circuits,20,0.34,1.31,26.20,6.80,19.40,Ikaika,Government,Debit Card,502
HI052-TX-0028,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:38:17,RES-010,10k Ohm Resistor,Resistors,29,0.03,0.13,3.77,0.87,2.90,Lani,Government,Debit Card,881
HI052-TX-0029,HI052,Volcano,Hawaii Island,HI,2026-06-30 14:12:04,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,11,0.04,0.19,2.09,0.44,1.65,Alika,Government,Debit Card,782
HI052-TX-0030,HI052,Volcano,Hawaii Island,HI,2026-06-30 10:09:14,SNS-DHT,DHT22 Temperature Sensor,Sensors,1,2.35,7.89,7.89,2.35,5.54,Kaleo,Government,Cash,82
HI052-TX-0031,HI052,Volcano,Hawaii Island,HI,2026-06-30 09:16:36,DIO-4007,1N4007 Diode,Semiconductors,27,0.05,0.18,4.86,1.35,3.51,Nalu,Marine,Debit Card,309
HI052-TX-0032,HI052,Volcano,Hawaii Island,HI,2026-06-30 12:54:59,RES-220,220 Ohm Resistor,Resistors,13,0.03,0.13,1.69,0.39,1.30,Lani,Retail,ACH,685
HI052-TX-0033,HI052,Volcano,Hawaii Island,HI,2026-06-30 11:34:51,PWR-5V2,5V 2A Power Supply,Power,2,3.66,11.18,22.36,7.32,15.04,Keanu,Education,Cash,720
HI052-TX-0034,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:42:04,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,7.92,21.23,106.15,39.60,66.55,Noelani,Marine,Debit Card,276
HI052-TX-0035,HI052,Volcano,Hawaii Island,HI,2026-06-30 15:35:20,MAR-TIN,Tinned Marine Wire,Marine Electronics,4,9.57,27.06,108.24,38.28,69.96,Akamu,Commercial,Credit Card,393
HI052-TX-0036,HI052,Volcano,Hawaii Island,HI,2026-06-30 11:56:35,IC-358,LM358 Op Amp,Integrated Circuits,38,0.31,1.18,44.84,11.78,33.06,Lani,Maker/Hobbyist,Cash,370
HI052-TX-0037,HI052,Volcano,Hawaii Island,HI,2026-06-30 13:25:40,PWR-5V2,5V 2A Power Supply,Power,3,3.62,10.77,32.31,10.86,21.45,Noah,Government,Cash,473
HI052-TX-0038,HI052,Volcano,Hawaii Island,HI,2026-06-30 17:43:22,PICO-RP,Raspberry Pi Pico,Microcontrollers,2,3.45,8.36,16.72,6.90,9.82,Makana,Government,Purchase Order,601
HI052-TX-0039,HI052,Volcano,Hawaii Island,HI,2026-06-30 09:09:01,CON-JMP,Jumper Wire Set,Connectors,27,0.98,3.65,98.55,26.46,72.09,Kai,Government,Purchase Order,833
HI052-TX-0040,HI052,Volcano,Hawaii Island,HI,2026-06-30 16:00:44,SNS-ULT,Ultrasonic Distance Sensor,Sensors,26,1.26,5.71,148.46,32.76,115.70,Keanu,Retail,Debit Card,140
HI052-TX-0041,HI052,Volcano,Hawaii Island,HI,2026-06-30 14:16:22,LED-RED,5mm Red LED,LEDs,12,0.06,0.28,3.36,0.72,2.64,Lani,Education,Cash,491
HI052-TX-0042,HI052,Volcano,Hawaii Island,HI,2026-06-30 10:37:10,RES-010,10k Ohm Resistor,Resistors,10,0.03,0.13,1.30,0.30,1.00,Alika,Education,Purchase Order,829
