transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI053-TX-0001,HI053,Ocean View,Hawaii Island,HI,2026-06-30 09:38:01,IC-555,NE555 Timer IC,Integrated Circuits,37,0.36,1.43,52.91,13.32,39.59,Kai,Retail,Cash,843
HI053-TX-0002,HI053,Ocean View,Hawaii Island,HI,2026-06-30 11:40:26,MOS-44N,IRFZ44N MOSFET,Semiconductors,34,0.64,2.39,81.26,21.76,59.50,Lani,Retail,Debit Card,99
HI053-TX-0003,HI053,Ocean View,Hawaii Island,HI,2026-06-30 14:27:56,CAP-100,100uF Capacitor,Capacitors,3,0.18,0.64,1.92,0.54,1.38,Lani,Commercial,ACH,566
HI053-TX-0004,HI053,Ocean View,Hawaii Island,HI,2026-06-30 12:21:36,CAP-010,10uF Capacitor,Capacitors,13,0.09,0.40,5.20,1.17,4.03,Leilani,Marine,ACH,563
HI053-TX-0005,HI053,Ocean View,Hawaii Island,HI,2026-06-30 16:18:42,SNS-ULT,Ultrasonic Distance Sensor,Sensors,19,1.27,5.37,102.03,24.13,77.90,Ikaika,Commercial,ACH,615
HI053-TX-0006,HI053,Ocean View,Hawaii Island,HI,2026-06-30 16:35:36,CAP-100,100uF Capacitor,Capacitors,40,0.16,0.60,24.00,6.40,17.60,Noelani,Marine,Mobile Pay,264
HI053-TX-0007,HI053,Ocean View,Hawaii Island,HI,2026-06-30 09:40:34,SNS-DHT,DHT22 Temperature Sensor,Sensors,8,2.49,7.20,57.60,19.92,37.68,Keahi,Retail,Purchase Order,178
HI053-TX-0008,HI053,Ocean View,Hawaii Island,HI,2026-06-30 16:38:19,SNS-PIR,PIR Motion Sensor,Sensors,7,1.46,5.64,39.48,10.22,29.26,Ikaika,Maker/Hobbyist,Cash,206
HI053-TX-0009,HI053,Ocean View,Hawaii Island,HI,2026-06-30 17:53:43,SNS-ULT,Ultrasonic Distance Sensor,Sensors,18,1.23,5.26,94.68,22.14,72.54,Hana,Tourism/Hospitality,Mobile Pay,268
HI053-TX-0010,HI053,Ocean View,Hawaii Island,HI,2026-06-30 10:20:01,PWR-5V2,5V 2A Power Supply,Power,3,3.81,10.44,31.32,11.43,19.89,Alika,Retail,Purchase Order,680
HI053-TX-0011,HI053,Ocean View,Hawaii Island,HI,2026-06-30 15:21:49,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.98,13.46,80.76,29.88,50.88,Koa,Retail,Mobile Pay,387
HI053-TX-0012,HI053,Ocean View,Hawaii Island,HI,2026-06-30 17:34:04,PICO-RP,Raspberry Pi Pico,Microcontrollers,7,3.44,8.84,61.88,24.08,37.80,Koa,Retail,Purchase Order,94
HI053-TX-0013,HI053,Ocean View,Hawaii Island,HI,2026-06-30 12:36:39,SNS-SOIL,Soil Moisture Sensor,Sensors,27,0.90,4.23,114.21,24.30,89.91,Makana,Government,ACH,254
HI053-TX-0014,HI053,Ocean View,Hawaii Island,HI,2026-06-30 10:07:59,IC-358,LM358 Op Amp,Integrated Circuits,10,0.30,1.19,11.90,3.00,8.90,Akamu,Maker/Hobbyist,Cash,341
HI053-TX-0015,HI053,Ocean View,Hawaii Island,HI,2026-06-30 09:49:15,SOL-CTRL,Solar Charge Controller,Solar Power,6,11.33,34.56,207.36,67.98,139.38,Koa,Maker/Hobbyist,Mobile Pay,28
HI053-TX-0016,HI053,Ocean View,Hawaii Island,HI,2026-06-30 15:29:41,MOS-44N,IRFZ44N MOSFET,Semiconductors,38,0.60,2.32,88.16,22.80,65.36,Iolana,Government,Purchase Order,675
HI053-TX-0017,HI053,Ocean View,Hawaii Island,HI,2026-06-30 13:17:17,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.47,6.54,32.70,7.35,25.35,Kaleo,Maker/Hobbyist,Debit Card,399
HI053-TX-0018,HI053,Ocean View,Hawaii Island,HI,2026-06-30 10:52:56,REL-5V,5V Relay Module,Relays,25,0.99,5.63,140.75,24.75,116.00,Ailani,Commercial,Purchase Order,753
