transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI057-TX-0001,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 09:36:58,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,18,0.05,0.20,3.60,0.90,2.70,Mika,Commercial,Purchase Order,347
HI057-TX-0002,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 08:51:08,RES-001,1k Ohm Resistor,Resistors,21,0.03,0.14,2.94,0.63,2.31,Kai,Marine,Cash,784
HI057-TX-0003,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 11:06:25,TOOL-SOL,Soldering Iron Tips,Tools,1,2.07,7.14,7.14,2.07,5.07,Alika,Marine,Cash,412
HI057-TX-0004,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 08:52:55,TOOL-SOL,Soldering Iron Tips,Tools,1,1.87,7.22,7.22,1.87,5.35,Malia,Marine,Credit Card,676
HI057-TX-0005,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 13:55:04,SNS-SOIL,Soil Moisture Sensor,Sensors,38,0.96,4.29,163.02,36.48,126.54,Makana,Retail,Credit Card,285
HI057-TX-0006,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 16:02:41,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,4.02,14.55,116.40,32.16,84.24,Kaleo,Government,ACH,626
HI057-TX-0007,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 10:25:18,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.27,13.00,78.00,25.62,52.38,Noelani,Marine,Credit Card,315
HI057-TX-0008,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 12:12:44,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.80,13.82,82.92,28.80,54.12,Keanu,Retail,Credit Card,49
HI057-TX-0009,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 17:34:20,LED-BLU,5mm Blue LED,LEDs,34,0.06,0.31,10.54,2.04,8.50,Keahi,Maker/Hobbyist,Debit Card,302
HI057-TX-0010,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 16:02:15,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.85,14.11,28.22,7.70,20.52,Makana,Government,Debit Card,295
HI057-TX-0011,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 16:27:40,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,9.70,26.47,211.76,77.60,134.16,Leilani,Retail,Credit Card,433
HI057-TX-0012,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 09:48:30,DIO-4007,1N4007 Diode,Semiconductors,1,0.04,0.19,0.19,0.04,0.15,Nalu,Maker/Hobbyist,Purchase Order,568
HI057-TX-0013,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 08:11:17,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.40,7.45,52.15,16.80,35.35,Pualani,Commercial,Mobile Pay,723
HI057-TX-0014,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 17:18:29,SNS-ULT,Ultrasonic Distance Sensor,Sensors,28,1.32,5.40,151.20,36.96,114.24,Noah,Maker/Hobbyist,ACH,73
HI057-TX-0015,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 17:49:10,SNS-DHT,DHT22 Temperature Sensor,Sensors,8,2.48,7.79,62.32,19.84,42.48,Alika,Education,ACH,585
HI057-TX-0016,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 17:32:53,CON-JMP,Jumper Wire Set,Connectors,16,0.97,3.57,57.12,15.52,41.60,Makana,Maker/Hobbyist,Credit Card,703
HI057-TX-0017,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 13:43:55,BAT-LIPO,LiPo Battery Pack,Batteries,4,5.63,16.72,66.88,22.52,44.36,Koa,Commercial,Debit Card,547
HI057-TX-0018,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 13:29:34,ESP-32,ESP32 Dev Board,Microcontrollers,4,4.24,12.59,50.36,16.96,33.40,Lani,Maker/Hobbyist,Mobile Pay,774
HI057-TX-0019,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 10:32:47,USB-CBO,USB-C Breakout Board,Connectors,40,1.33,5.24,209.60,53.20,156.40,Ikaika,Government,Debit Card,369
HI057-TX-0020,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 09:13:48,LED-BLU,5mm Blue LED,LEDs,11,0.06,0.31,3.41,0.66,2.75,Malia,Maker/Hobbyist,Debit Card,530
HI057-TX-0021,HI057,Kealakekua,Hawaii Island,HI,2026-06-30 12:19:14,SNS-PIR,PIR Motion Sensor,Sensors,4,1.64,6.01,24.04,6.56,17.48,Malia,Government,ACH,321
