transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI058-TX-0001,HI058,Lihue,Kauai,HI,2026-06-30 15:35:53,PWR-5V2,5V 2A Power Supply,Power,4,3.78,10.86,43.44,15.12,28.32,Nalu,Marine,Mobile Pay,369
HI058-TX-0002,HI058,Lihue,Kauai,HI,2026-06-30 14:24:51,DIO-4007,1N4007 Diode,Semiconductors,6,0.04,0.21,1.26,0.24,1.02,Lani,Maker/Hobbyist,Purchase Order,682
HI058-TX-0003,HI058,Lihue,Kauai,HI,2026-06-30 18:00:54,TOOL-SOL,Soldering Iron Tips,Tools,2,1.98,7.61,15.22,3.96,11.26,Noah,Retail,Credit Card,881
HI058-TX-0004,HI058,Lihue,Kauai,HI,2026-06-30 10:24:06,RES-001,1k Ohm Resistor,Resistors,3,0.03,0.14,0.42,0.09,0.33,Kaleo,Retail,Cash,501
HI058-TX-0005,HI058,Lihue,Kauai,HI,2026-06-30 09:19:49,LED-RGB,RGB LED Strip,LEDs,3,5.11,14.16,42.48,15.33,27.15,Pualani,Marine,Purchase Order,59
HI058-TX-0006,HI058,Lihue,Kauai,HI,2026-06-30 08:57:31,PWR-BUCK,Buck Converter Module,Power,18,1.05,5.13,92.34,18.90,73.44,Noelani,Government,Credit Card,102
HI058-TX-0007,HI058,Lihue,Kauai,HI,2026-06-30 15:36:18,PWR-12V,12V 5A Power Supply,Power,4,9.08,24.41,97.64,36.32,61.32,Ikaika,Maker/Hobbyist,Cash,798
HI058-TX-0008,HI058,Lihue,Kauai,HI,2026-06-30 09:14:57,PWR-5V2,5V 2A Power Supply,Power,2,3.44,10.43,20.86,6.88,13.98,Hana,Retail,ACH,867
HI058-TX-0009,HI058,Lihue,Kauai,HI,2026-06-30 09:29:56,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.58,6.62,39.72,9.48,30.24,Nalu,Commercial,Debit Card,609
HI058-TX-0010,HI058,Lihue,Kauai,HI,2026-06-30 11:21:10,MAR-TIN,Tinned Marine Wire,Marine Electronics,2,9.18,26.15,52.30,18.36,33.94,Ailani,Commercial,Cash,76
HI058-TX-0011,HI058,Lihue,Kauai,HI,2026-06-30 13:32:56,SOL-CTRL,Solar Charge Controller,Solar Power,1,10.77,31.59,31.59,10.77,20.82,Koa,Commercial,Purchase Order,205
HI058-TX-0012,HI058,Lihue,Kauai,HI,2026-06-30 14:51:37,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,4.06,13.27,106.16,32.48,73.68,Ikaika,Marine,Credit Card,12
HI058-TX-0013,HI058,Lihue,Kauai,HI,2026-06-30 17:54:49,PWR-12V,12V 5A Power Supply,Power,1,9.54,25.67,25.67,9.54,16.13,Mika,Marine,Mobile Pay,25
