transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI059-TX-0001,HI059,Kapaa,Kauai,HI,2026-06-30 14:29:20,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,37,0.04,0.19,7.03,1.48,5.55,Keahi,Maker/Hobbyist,Debit Card,755
HI059-TX-0002,HI059,Kapaa,Kauai,HI,2026-06-30 09:45:55,LED-RGB,RGB LED Strip,LEDs,7,4.94,13.89,97.23,34.58,62.65,Mika,Retail,Purchase Order,227
HI059-TX-0003,HI059,Kapaa,Kauai,HI,2026-06-30 14:43:50,LED-RGB,RGB LED Strip,LEDs,4,4.91,13.73,54.92,19.64,35.28,Iolana,Marine,ACH,33
HI059-TX-0004,HI059,Kapaa,Kauai,HI,2026-06-30 13:41:56,LED-RED,5mm Red LED,LEDs,7,0.06,0.27,1.89,0.42,1.47,Keanu,Government,Cash,362
HI059-TX-0005,HI059,Kapaa,Kauai,HI,2026-06-30 10:45:58,TOOL-WIRE,Wire Stripper,Tools,4,4.89,15.13,60.52,19.56,40.96,Koa,Marine,Debit Card,289
HI059-TX-0006,HI059,Kapaa,Kauai,HI,2026-06-30 09:35:57,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,4.08,13.32,106.56,32.64,73.92,Noelani,Commercial,ACH,28
HI059-TX-0007,HI059,Kapaa,Kauai,HI,2026-06-30 13:05:35,PWR-5V2,5V 2A Power Supply,Power,2,3.64,10.31,20.62,7.28,13.34,Noelani,Retail,Mobile Pay,476
HI059-TX-0008,HI059,Kapaa,Kauai,HI,2026-06-30 08:18:01,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.49,6.14,30.70,7.45,23.25,Akamu,Tourism/Hospitality,Cash,210
HI059-TX-0009,HI059,Kapaa,Kauai,HI,2026-06-30 17:16:54,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.59,6.70,6.70,1.59,5.11,Alika,Education,Purchase Order,444
HI059-TX-0010,HI059,Kapaa,Kauai,HI,2026-06-30 08:46:31,RES-001,1k Ohm Resistor,Resistors,39,0.03,0.13,5.07,1.17,3.90,Alika,Tourism/Hospitality,Debit Card,858
HI059-TX-0011,HI059,Kapaa,Kauai,HI,2026-06-30 13:02:08,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,8.89,26.12,130.60,44.45,86.15,Noah,Retail,Debit Card,293
HI059-TX-0012,HI059,Kapaa,Kauai,HI,2026-06-30 16:36:02,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,9.17,26.76,214.08,73.36,140.72,Makana,Marine,ACH,260
HI059-TX-0013,HI059,Kapaa,Kauai,HI,2026-06-30 13:40:36,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,4.05,14.98,74.90,20.25,54.65,Hana,Commercial,Cash,583
HI059-TX-0014,HI059,Kapaa,Kauai,HI,2026-06-30 10:33:48,CAP-010,10uF Capacitor,Capacitors,12,0.09,0.40,4.80,1.08,3.72,Mika,Marine,Cash,677
HI059-TX-0015,HI059,Kapaa,Kauai,HI,2026-06-30 10:40:15,IC-555,NE555 Timer IC,Integrated Circuits,28,0.37,1.28,35.84,10.36,25.48,Iolana,Marine,Credit Card,79
HI059-TX-0016,HI059,Kapaa,Kauai,HI,2026-06-30 09:34:49,LED-RED,5mm Red LED,LEDs,31,0.06,0.27,8.37,1.86,6.51,Akamu,Tourism/Hospitality,Mobile Pay,635
HI059-TX-0017,HI059,Kapaa,Kauai,HI,2026-06-30 10:02:22,CON-JMP,Jumper Wire Set,Connectors,12,0.92,3.94,47.28,11.04,36.24,Kaleo,Marine,Cash,381
HI059-TX-0018,HI059,Kapaa,Kauai,HI,2026-06-30 13:58:35,DIO-4007,1N4007 Diode,Semiconductors,20,0.04,0.19,3.80,0.80,3.00,Iolana,Government,Cash,342
HI059-TX-0019,HI059,Kapaa,Kauai,HI,2026-06-30 10:47:20,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,3.95,14.13,70.65,19.75,50.90,Akamu,Education,ACH,422
HI059-TX-0020,HI059,Kapaa,Kauai,HI,2026-06-30 15:28:58,BAT-AAH,AA Battery Holder,Batteries,6,0.51,2.78,16.68,3.06,13.62,Keanu,Education,Debit Card,297
HI059-TX-0021,HI059,Kapaa,Kauai,HI,2026-06-30 13:11:01,DIO-4007,1N4007 Diode,Semiconductors,28,0.05,0.19,5.32,1.40,3.92,Nalu,Education,Purchase Order,229
HI059-TX-0022,HI059,Kapaa,Kauai,HI,2026-06-30 11:32:48,SNS-SOIL,Soil Moisture Sensor,Sensors,18,0.96,4.36,78.48,17.28,61.20,Koa,Government,Cash,729
HI059-TX-0023,HI059,Kapaa,Kauai,HI,2026-06-30 12:49:23,LED-BLU,5mm Blue LED,LEDs,36,0.06,0.32,11.52,2.16,9.36,Nalu,Retail,Debit Card,854
HI059-TX-0024,HI059,Kapaa,Kauai,HI,2026-06-30 08:24:35,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.53,12.90,64.50,22.65,41.85,Ailani,Maker/Hobbyist,Debit Card,50
HI059-TX-0025,HI059,Kapaa,Kauai,HI,2026-06-30 15:10:26,SOL-CTRL,Solar Charge Controller,Solar Power,8,11.26,33.67,269.36,90.08,179.28,Makana,Marine,Cash,837
HI059-TX-0026,HI059,Kapaa,Kauai,HI,2026-06-30 09:09:14,PWR-BUCK,Buck Converter Module,Power,22,1.12,4.97,109.34,24.64,84.70,Keahi,Marine,Cash,573
HI059-TX-0027,HI059,Kapaa,Kauai,HI,2026-06-30 14:03:49,SNS-PIR,PIR Motion Sensor,Sensors,1,1.63,6.35,6.35,1.63,4.72,Hana,Tourism/Hospitality,Purchase Order,20
HI059-TX-0028,HI059,Kapaa,Kauai,HI,2026-06-30 11:15:07,SNS-ULT,Ultrasonic Distance Sensor,Sensors,21,1.35,5.52,115.92,28.35,87.57,Iolana,Retail,Cash,748
HI059-TX-0029,HI059,Kapaa,Kauai,HI,2026-06-30 12:04:05,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.66,15.05,105.35,25.62,79.73,Iolana,Tourism/Hospitality,Mobile Pay,361
HI059-TX-0030,HI059,Kapaa,Kauai,HI,2026-06-30 12:54:17,PWR-BUCK,Buck Converter Module,Power,32,1.02,4.66,149.12,32.64,116.48,Iolana,Retail,ACH,767
HI059-TX-0031,HI059,Kapaa,Kauai,HI,2026-06-30 11:18:35,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,9.11,28.97,173.82,54.66,119.16,Akamu,Government,Mobile Pay,679
HI059-TX-0032,HI059,Kapaa,Kauai,HI,2026-06-30 15:28:21,TR-3904,2N3904 NPN Transistor,Semiconductors,3,0.06,0.23,0.69,0.18,0.51,Nalu,Tourism/Hospitality,Cash,95
HI059-TX-0033,HI059,Kapaa,Kauai,HI,2026-06-30 08:03:56,IC-555,NE555 Timer IC,Integrated Circuits,5,0.34,1.43,7.15,1.70,5.45,Leilani,Government,ACH,452
HI059-TX-0034,HI059,Kapaa,Kauai,HI,2026-06-30 11:55:28,LED-RED,5mm Red LED,LEDs,40,0.06,0.27,10.80,2.40,8.40,Akamu,Tourism/Hospitality,Purchase Order,374
HI059-TX-0035,HI059,Kapaa,Kauai,HI,2026-06-30 09:52:43,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.25,9.14,73.12,26.00,47.12,Iolana,Tourism/Hospitality,Debit Card,403
HI059-TX-0036,HI059,Kapaa,Kauai,HI,2026-06-30 09:17:09,RES-220,220 Ohm Resistor,Resistors,24,0.04,0.14,3.36,0.96,2.40,Noah,Maker/Hobbyist,Cash,732
HI059-TX-0037,HI059,Kapaa,Kauai,HI,2026-06-30 08:39:50,PWR-5V2,5V 2A Power Supply,Power,5,3.46,10.37,51.85,17.30,34.55,Makana,Commercial,Debit Card,406
HI059-TX-0038,HI059,Kapaa,Kauai,HI,2026-06-30 16:20:05,USB-CBO,USB-C Breakout Board,Connectors,19,1.41,5.11,97.09,26.79,70.30,Iolana,Maker/Hobbyist,Debit Card,64
HI059-TX-0039,HI059,Kapaa,Kauai,HI,2026-06-30 17:54:45,USB-CBO,USB-C Breakout Board,Connectors,13,1.37,5.17,67.21,17.81,49.40,Noah,Government,Purchase Order,572
HI059-TX-0040,HI059,Kapaa,Kauai,HI,2026-06-30 12:31:50,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.08,13.28,26.56,8.16,18.40,Koa,Marine,Cash,179
