transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI061-TX-0001,HI061,Koloa,Kauai,HI,2026-06-30 11:56:38,PWR-12V,12V 5A Power Supply,Power,3,9.98,24.51,73.53,29.94,43.59,Ailani,Retail,Purchase Order,812
HI061-TX-0002,HI061,Koloa,Kauai,HI,2026-06-30 15:34:40,RES-001,1k Ohm Resistor,Resistors,34,0.03,0.13,4.42,1.02,3.40,Mika,Commercial,Purchase Order,102
HI061-TX-0003,HI061,Koloa,Kauai,HI,2026-06-30 17:27:38,TOOL-DMM,Digital Multimeter,Tools,1,8.89,26.35,26.35,8.89,17.46,Pualani,Education,ACH,120
HI061-TX-0004,HI061,Koloa,Kauai,HI,2026-06-30 10:28:14,PWR-12V,12V 5A Power Supply,Power,7,9.30,24.52,171.64,65.10,106.54,Iolana,Retail,ACH,253
HI061-TX-0005,HI061,Koloa,Kauai,HI,2026-06-30 16:00:59,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.96,13.31,26.62,7.92,18.70,Ikaika,Government,Credit Card,882
HI061-TX-0006,HI061,Koloa,Kauai,HI,2026-06-30 10:38:52,MAR-TIN,Tinned Marine Wire,Marine Electronics,2,9.09,25.71,51.42,18.18,33.24,Leilani,Tourism/Hospitality,Cash,126
HI061-TX-0007,HI061,Koloa,Kauai,HI,2026-06-30 15:15:07,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,7.79,20.91,41.82,15.58,26.24,Malia,Maker/Hobbyist,Credit Card,238
HI061-TX-0008,HI061,Koloa,Kauai,HI,2026-06-30 10:10:17,PWR-5V2,5V 2A Power Supply,Power,4,3.78,11.14,44.56,15.12,29.44,Ailani,Commercial,Purchase Order,783
HI061-TX-0009,HI061,Koloa,Kauai,HI,2026-06-30 09:44:53,CAP-010,10uF Capacitor,Capacitors,15,0.09,0.38,5.70,1.35,4.35,Akamu,Education,Mobile Pay,192
HI061-TX-0010,HI061,Koloa,Kauai,HI,2026-06-30 16:10:46,SNS-SOIL,Soil Moisture Sensor,Sensors,15,1.00,4.24,63.60,15.00,48.60,Iolana,Maker/Hobbyist,Purchase Order,267
HI061-TX-0011,HI061,Koloa,Kauai,HI,2026-06-30 14:42:23,TOOL-WIRE,Wire Stripper,Tools,4,5.17,15.16,60.64,20.68,39.96,Keanu,Government,ACH,108
HI061-TX-0012,HI061,Koloa,Kauai,HI,2026-06-30 13:12:04,PWR-BUCK,Buck Converter Module,Power,13,1.06,4.59,59.67,13.78,45.89,Pualani,Retail,Credit Card,483
HI061-TX-0013,HI061,Koloa,Kauai,HI,2026-06-30 09:41:32,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.79,13.43,94.01,26.53,67.48,Koa,Maker/Hobbyist,ACH,152
HI061-TX-0014,HI061,Koloa,Kauai,HI,2026-06-30 09:02:34,SNS-DHT,DHT22 Temperature Sensor,Sensors,3,2.42,7.52,22.56,7.26,15.30,Noah,Maker/Hobbyist,Mobile Pay,822
HI061-TX-0015,HI061,Koloa,Kauai,HI,2026-06-30 13:58:51,CON-JMP,Jumper Wire Set,Connectors,33,0.95,3.93,129.69,31.35,98.34,Ailani,Government,Cash,441
HI061-TX-0016,HI061,Koloa,Kauai,HI,2026-06-30 17:18:15,MOS-44N,IRFZ44N MOSFET,Semiconductors,35,0.60,2.36,82.60,21.00,61.60,Iolana,Commercial,Cash,4
HI061-TX-0017,HI061,Koloa,Kauai,HI,2026-06-30 09:26:14,PWR-12V,12V 5A Power Supply,Power,6,9.60,25.08,150.48,57.60,92.88,Makana,Commercial,Credit Card,51
HI061-TX-0018,HI061,Koloa,Kauai,HI,2026-06-30 13:39:00,SNS-DHT,DHT22 Temperature Sensor,Sensors,2,2.38,7.32,14.64,4.76,9.88,Kaleo,Maker/Hobbyist,Purchase Order,278
HI061-TX-0019,HI061,Koloa,Kauai,HI,2026-06-30 14:31:59,PWR-5V2,5V 2A Power Supply,Power,7,3.60,10.99,76.93,25.20,51.73,Iolana,Marine,Debit Card,743
HI061-TX-0020,HI061,Koloa,Kauai,HI,2026-06-30 14:27:41,MOS-44N,IRFZ44N MOSFET,Semiconductors,6,0.57,2.43,14.58,3.42,11.16,Keahi,Commercial,ACH,655
HI061-TX-0021,HI061,Koloa,Kauai,HI,2026-06-30 15:00:29,PWR-5V2,5V 2A Power Supply,Power,7,3.56,10.41,72.87,24.92,47.95,Keanu,Education,ACH,859
HI061-TX-0022,HI061,Koloa,Kauai,HI,2026-06-30 16:18:19,SNS-SOIL,Soil Moisture Sensor,Sensors,33,0.97,4.36,143.88,32.01,111.87,Iolana,Marine,Credit Card,189
HI061-TX-0023,HI061,Koloa,Kauai,HI,2026-06-30 16:04:18,CAP-100,100uF Capacitor,Capacitors,39,0.18,0.64,24.96,7.02,17.94,Koa,Education,Mobile Pay,898
HI061-TX-0024,HI061,Koloa,Kauai,HI,2026-06-30 16:23:44,DIO-4007,1N4007 Diode,Semiconductors,23,0.04,0.19,4.37,0.92,3.45,Ikaika,Government,Debit Card,597
HI061-TX-0025,HI061,Koloa,Kauai,HI,2026-06-30 12:36:39,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.23,9.18,27.54,9.69,17.85,Koa,Retail,Mobile Pay,222
HI061-TX-0026,HI061,Koloa,Kauai,HI,2026-06-30 16:05:43,TOOL-DMM,Digital Multimeter,Tools,1,8.67,28.08,28.08,8.67,19.41,Kaleo,Education,Mobile Pay,183
HI061-TX-0027,HI061,Koloa,Kauai,HI,2026-06-30 16:21:06,RES-001,1k Ohm Resistor,Resistors,31,0.03,0.12,3.72,0.93,2.79,Ailani,Commercial,Credit Card,365
HI061-TX-0028,HI061,Koloa,Kauai,HI,2026-06-30 16:00:50,CAP-010,10uF Capacitor,Capacitors,36,0.09,0.37,13.32,3.24,10.08,Mika,Government,ACH,768
HI061-TX-0029,HI061,Koloa,Kauai,HI,2026-06-30 10:11:13,CON-JMP,Jumper Wire Set,Connectors,33,0.91,3.76,124.08,30.03,94.05,Leilani,Education,Credit Card,320
HI061-TX-0030,HI061,Koloa,Kauai,HI,2026-06-30 12:37:37,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.77,14.27,99.89,26.39,73.50,Leilani,Education,ACH,30
HI061-TX-0031,HI061,Koloa,Kauai,HI,2026-06-30 13:03:45,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.30,8.40,33.60,13.20,20.40,Akamu,Government,ACH,467
HI061-TX-0032,HI061,Koloa,Kauai,HI,2026-06-30 12:33:28,REL-5V,5V Relay Module,Relays,39,0.93,5.32,207.48,36.27,171.21,Keanu,Marine,Credit Card,147
HI061-TX-0033,HI061,Koloa,Kauai,HI,2026-06-30 08:20:49,PWR-12V,12V 5A Power Supply,Power,2,8.85,26.51,53.02,17.70,35.32,Kai,Government,Purchase Order,296
HI061-TX-0034,HI061,Koloa,Kauai,HI,2026-06-30 11:10:29,PWR-5V2,5V 2A Power Supply,Power,2,3.52,11.39,22.78,7.04,15.74,Nalu,Maker/Hobbyist,Debit Card,513
HI061-TX-0035,HI061,Koloa,Kauai,HI,2026-06-30 17:25:58,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,9.50,27.43,137.15,47.50,89.65,Kaleo,Tourism/Hospitality,Debit Card,165
HI061-TX-0036,HI061,Koloa,Kauai,HI,2026-06-30 12:47:10,PWR-12V,12V 5A Power Supply,Power,8,9.15,24.95,199.60,73.20,126.40,Lani,Tourism/Hospitality,ACH,441
HI061-TX-0037,HI061,Koloa,Kauai,HI,2026-06-30 08:14:16,PWR-BUCK,Buck Converter Module,Power,11,0.99,4.80,52.80,10.89,41.91,Kai,Commercial,Debit Card,418
