transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI062-TX-0001,HI062,Princeville,Kauai,HI,2026-06-30 16:47:39,MOS-44N,IRFZ44N MOSFET,Semiconductors,37,0.58,2.38,88.06,21.46,66.60,Noelani,Marine,Mobile Pay,566
HI062-TX-0002,HI062,Princeville,Kauai,HI,2026-06-30 14:56:28,MAR-ANT,Marine Antenna Connector,Marine Electronics,6,4.02,14.34,86.04,24.12,61.92,Keanu,Marine,ACH,456
HI062-TX-0003,HI062,Princeville,Kauai,HI,2026-06-30 12:36:10,RES-010,10k Ohm Resistor,Resistors,16,0.03,0.12,1.92,0.48,1.44,Makana,Commercial,Purchase Order,272
HI062-TX-0004,HI062,Princeville,Kauai,HI,2026-06-30 12:33:28,IC-358,LM358 Op Amp,Integrated Circuits,28,0.32,1.14,31.92,8.96,22.96,Kaleo,Government,Debit Card,679
HI062-TX-0005,HI062,Princeville,Kauai,HI,2026-06-30 16:06:16,USB-CBO,USB-C Breakout Board,Connectors,7,1.34,5.43,38.01,9.38,28.63,Koa,Government,ACH,722
HI062-TX-0006,HI062,Princeville,Kauai,HI,2026-06-30 12:48:24,MAR-ANT,Marine Antenna Connector,Marine Electronics,6,3.70,14.48,86.88,22.20,64.68,Kai,Marine,Credit Card,597
HI062-TX-0007,HI062,Princeville,Kauai,HI,2026-06-30 16:15:40,PWR-BUCK,Buck Converter Module,Power,34,1.09,5.00,170.00,37.06,132.94,Pualani,Maker/Hobbyist,Purchase Order,348
HI062-TX-0008,HI062,Princeville,Kauai,HI,2026-06-30 11:08:13,ESP-32,ESP32 Dev Board,Microcontrollers,7,4.31,13.05,91.35,30.17,61.18,Lani,Tourism/Hospitality,Cash,392
HI062-TX-0009,HI062,Princeville,Kauai,HI,2026-06-30 14:06:59,IC-REG,7805 Voltage Regulator,Integrated Circuits,35,0.19,0.96,33.60,6.65,26.95,Kaleo,Retail,Cash,69
HI062-TX-0010,HI062,Princeville,Kauai,HI,2026-06-30 14:06:19,TOOL-DMM,Digital Multimeter,Tools,3,9.41,28.75,86.25,28.23,58.02,Nalu,Retail,Cash,892
HI062-TX-0011,HI062,Princeville,Kauai,HI,2026-06-30 18:00:50,REL-5V,5V Relay Module,Relays,26,0.92,5.64,146.64,23.92,122.72,Nalu,Tourism/Hospitality,Credit Card,524
HI062-TX-0012,HI062,Princeville,Kauai,HI,2026-06-30 13:26:04,PWR-BUCK,Buck Converter Module,Power,39,1.01,5.20,202.80,39.39,163.41,Alika,Marine,Mobile Pay,756
HI062-TX-0013,HI062,Princeville,Kauai,HI,2026-06-30 15:30:19,SOL-CTRL,Solar Charge Controller,Solar Power,5,11.05,33.64,168.20,55.25,112.95,Keahi,Government,Debit Card,35
HI062-TX-0014,HI062,Princeville,Kauai,HI,2026-06-30 09:54:45,TOOL-DMM,Digital Multimeter,Tools,5,8.48,25.79,128.95,42.40,86.55,Hana,Retail,Debit Card,175
HI062-TX-0015,HI062,Princeville,Kauai,HI,2026-06-30 17:09:12,PWR-BUCK,Buck Converter Module,Power,17,1.00,4.88,82.96,17.00,65.96,Hana,Retail,Purchase Order,533
HI062-TX-0016,HI062,Princeville,Kauai,HI,2026-06-30 16:31:35,LED-BLU,5mm Blue LED,LEDs,7,0.07,0.31,2.17,0.49,1.68,Ikaika,Government,Debit Card,186
HI062-TX-0017,HI062,Princeville,Kauai,HI,2026-06-30 10:22:52,PWR-5V2,5V 2A Power Supply,Power,5,3.64,11.47,57.35,18.20,39.15,Makana,Maker/Hobbyist,Purchase Order,322
HI062-TX-0018,HI062,Princeville,Kauai,HI,2026-06-30 16:10:07,TOOL-DMM,Digital Multimeter,Tools,2,9.27,26.57,53.14,18.54,34.60,Iolana,Tourism/Hospitality,Mobile Pay,882
HI062-TX-0019,HI062,Princeville,Kauai,HI,2026-06-30 10:32:45,PWR-12V,12V 5A Power Supply,Power,3,9.36,25.38,76.14,28.08,48.06,Lani,Tourism/Hospitality,Purchase Order,97
