transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI063-TX-0001,HI063,Waimea Kauai,Kauai,HI,2026-06-30 11:20:28,PWR-BUCK,Buck Converter Module,Power,9,1.11,5.13,46.17,9.99,36.18,Hana,Government,Cash,185
HI063-TX-0002,HI063,Waimea Kauai,Kauai,HI,2026-06-30 08:38:10,BAT-LIPO,LiPo Battery Pack,Batteries,7,5.09,15.93,111.51,35.63,75.88,Keahi,Government,Credit Card,876
HI063-TX-0003,HI063,Waimea Kauai,Kauai,HI,2026-06-30 13:40:09,TOOL-SOL,Soldering Iron Tips,Tools,4,1.86,7.41,29.64,7.44,22.20,Kaleo,Maker/Hobbyist,Credit Card,763
HI063-TX-0004,HI063,Waimea Kauai,Kauai,HI,2026-06-30 16:54:13,IC-555,NE555 Timer IC,Integrated Circuits,26,0.34,1.41,36.66,8.84,27.82,Makana,Retail,Purchase Order,827
HI063-TX-0005,HI063,Waimea Kauai,Kauai,HI,2026-06-30 08:50:58,LED-RGB,RGB LED Strip,LEDs,7,4.67,14.16,99.12,32.69,66.43,Nalu,Retail,ACH,8
HI063-TX-0006,HI063,Waimea Kauai,Kauai,HI,2026-06-30 10:51:37,DIO-4007,1N4007 Diode,Semiconductors,26,0.05,0.20,5.20,1.30,3.90,Keanu,Commercial,ACH,188
HI063-TX-0007,HI063,Waimea Kauai,Kauai,HI,2026-06-30 11:25:03,DIO-4007,1N4007 Diode,Semiconductors,31,0.05,0.20,6.20,1.55,4.65,Makana,Tourism/Hospitality,Debit Card,18
HI063-TX-0008,HI063,Waimea Kauai,Kauai,HI,2026-06-30 17:48:25,USB-CBO,USB-C Breakout Board,Connectors,15,1.38,5.52,82.80,20.70,62.10,Nalu,Commercial,Mobile Pay,145
HI063-TX-0009,HI063,Waimea Kauai,Kauai,HI,2026-06-30 12:33:20,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,9.70,27.56,192.92,67.90,125.02,Noelani,Commercial,Mobile Pay,493
HI063-TX-0010,HI063,Waimea Kauai,Kauai,HI,2026-06-30 14:09:37,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.63,31.46,125.84,42.52,83.32,Makana,Commercial,Cash,124
HI063-TX-0011,HI063,Waimea Kauai,Kauai,HI,2026-06-30 16:22:15,PWR-BUCK,Buck Converter Module,Power,11,1.00,4.65,51.15,11.00,40.15,Noelani,Maker/Hobbyist,Debit Card,575
HI063-TX-0012,HI063,Waimea Kauai,Kauai,HI,2026-06-30 14:45:35,SNS-PIR,PIR Motion Sensor,Sensors,4,1.60,6.11,24.44,6.40,18.04,Alika,Tourism/Hospitality,Debit Card,126
HI063-TX-0013,HI063,Waimea Kauai,Kauai,HI,2026-06-30 16:07:49,PWR-12V,12V 5A Power Supply,Power,4,9.07,26.20,104.80,36.28,68.52,Keahi,Maker/Hobbyist,Debit Card,105
HI063-TX-0014,HI063,Waimea Kauai,Kauai,HI,2026-06-30 14:06:51,DIO-4007,1N4007 Diode,Semiconductors,2,0.04,0.20,0.40,0.08,0.32,Hana,Retail,ACH,178
HI063-TX-0015,HI063,Waimea Kauai,Kauai,HI,2026-06-30 10:37:10,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.85,13.61,95.27,26.95,68.32,Ailani,Marine,Purchase Order,817
HI063-TX-0016,HI063,Waimea Kauai,Kauai,HI,2026-06-30 11:15:47,PICO-RP,Raspberry Pi Pico,Microcontrollers,2,3.38,8.65,17.30,6.76,10.54,Ikaika,Retail,Credit Card,175
HI063-TX-0017,HI063,Waimea Kauai,Kauai,HI,2026-06-30 15:06:38,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,4.09,13.37,26.74,8.18,18.56,Malia,Retail,Purchase Order,557
HI063-TX-0018,HI063,Waimea Kauai,Kauai,HI,2026-06-30 10:39:22,PWR-12V,12V 5A Power Supply,Power,5,9.53,23.99,119.95,47.65,72.30,Makana,Retail,Credit Card,211
HI063-TX-0019,HI063,Waimea Kauai,Kauai,HI,2026-06-30 15:20:19,PWR-BUCK,Buck Converter Module,Power,12,1.06,4.82,57.84,12.72,45.12,Makana,Retail,Credit Card,76
HI063-TX-0020,HI063,Waimea Kauai,Kauai,HI,2026-06-30 16:22:18,MAR-TIN,Tinned Marine Wire,Marine Electronics,2,8.78,25.67,51.34,17.56,33.78,Ailani,Commercial,Cash,62
HI063-TX-0021,HI063,Waimea Kauai,Kauai,HI,2026-06-30 14:14:43,PWR-5V2,5V 2A Power Supply,Power,4,3.60,11.40,45.60,14.40,31.20,Ailani,Retail,Credit Card,275
HI063-TX-0022,HI063,Waimea Kauai,Kauai,HI,2026-06-30 09:41:44,RES-010,10k Ohm Resistor,Resistors,33,0.03,0.14,4.62,0.99,3.63,Mika,Commercial,Cash,760
HI063-TX-0023,HI063,Waimea Kauai,Kauai,HI,2026-06-30 10:05:50,PWR-5V2,5V 2A Power Supply,Power,2,3.53,10.83,21.66,7.06,14.60,Kaleo,Retail,Purchase Order,840
HI063-TX-0024,HI063,Waimea Kauai,Kauai,HI,2026-06-30 10:57:33,PWR-5V2,5V 2A Power Supply,Power,3,3.49,10.65,31.95,10.47,21.48,Ailani,Commercial,Debit Card,162
HI063-TX-0025,HI063,Waimea Kauai,Kauai,HI,2026-06-30 10:49:05,BAT-AAH,AA Battery Holder,Batteries,22,0.51,2.71,59.62,11.22,48.40,Ikaika,Tourism/Hospitality,Purchase Order,611
HI063-TX-0026,HI063,Waimea Kauai,Kauai,HI,2026-06-30 14:19:01,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,22,0.04,0.19,4.18,0.88,3.30,Hana,Education,Cash,731
HI063-TX-0027,HI063,Waimea Kauai,Kauai,HI,2026-06-30 11:46:41,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,7.73,21.91,109.55,38.65,70.90,Leilani,Maker/Hobbyist,Credit Card,844
HI063-TX-0028,HI063,Waimea Kauai,Kauai,HI,2026-06-30 15:21:14,IC-555,NE555 Timer IC,Integrated Circuits,9,0.36,1.39,12.51,3.24,9.27,Kai,Commercial,Credit Card,732
HI063-TX-0029,HI063,Waimea Kauai,Kauai,HI,2026-06-30 13:56:44,PWR-BUCK,Buck Converter Module,Power,23,1.04,4.79,110.17,23.92,86.25,Makana,Maker/Hobbyist,ACH,403
