transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI065-TX-0001,HI065,Kalaheo,Kauai,HI,2026-06-30 17:09:13,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,7,0.04,0.20,1.40,0.28,1.12,Mika,Tourism/Hospitality,Cash,792
HI065-TX-0002,HI065,Kalaheo,Kauai,HI,2026-06-30 14:07:43,SNS-ULT,Ultrasonic Distance Sensor,Sensors,17,1.23,5.61,95.37,20.91,74.46,Akamu,Marine,ACH,158
HI065-TX-0003,HI065,Kalaheo,Kauai,HI,2026-06-30 11:17:22,PWR-BUCK,Buck Converter Module,Power,26,1.10,4.61,119.86,28.60,91.26,Makana,Tourism/Hospitality,Purchase Order,712
HI065-TX-0004,HI065,Kalaheo,Kauai,HI,2026-06-30 10:11:47,PWR-12V,12V 5A Power Supply,Power,4,9.27,23.74,94.96,37.08,57.88,Nalu,Maker/Hobbyist,Mobile Pay,302
HI065-TX-0005,HI065,Kalaheo,Kauai,HI,2026-06-30 17:52:50,LED-BLU,5mm Blue LED,LEDs,34,0.07,0.34,11.56,2.38,9.18,Malia,Tourism/Hospitality,ACH,653
HI065-TX-0006,HI065,Kalaheo,Kauai,HI,2026-06-30 16:06:44,CON-JMP,Jumper Wire Set,Connectors,19,0.90,3.96,75.24,17.10,58.14,Nalu,Commercial,Mobile Pay,681
HI065-TX-0007,HI065,Kalaheo,Kauai,HI,2026-06-30 14:44:11,BAT-LIPO,LiPo Battery Pack,Batteries,2,5.56,17.29,34.58,11.12,23.46,Pualani,Commercial,Mobile Pay,13
HI065-TX-0008,HI065,Kalaheo,Kauai,HI,2026-06-30 12:13:42,PWR-12V,12V 5A Power Supply,Power,3,9.72,25.31,75.93,29.16,46.77,Ailani,Government,Debit Card,496
HI065-TX-0009,HI065,Kalaheo,Kauai,HI,2026-06-30 13:40:23,TR-3904,2N3904 NPN Transistor,Semiconductors,34,0.06,0.23,7.82,2.04,5.78,Alika,Marine,Cash,839
HI065-TX-0010,HI065,Kalaheo,Kauai,HI,2026-06-30 08:58:22,TOOL-DMM,Digital Multimeter,Tools,6,9.35,25.87,155.22,56.10,99.12,Akamu,Marine,Debit Card,322
