transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI066-TX-0001,HI066,Poipu,Kauai,HI,2026-06-30 12:33:48,PWR-12V,12V 5A Power Supply,Power,5,9.47,24.00,120.00,47.35,72.65,Keahi,Commercial,ACH,343
HI066-TX-0002,HI066,Poipu,Kauai,HI,2026-06-30 16:30:48,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,8.78,28.02,196.14,61.46,134.68,Keanu,Retail,Mobile Pay,779
HI066-TX-0003,HI066,Poipu,Kauai,HI,2026-06-30 08:56:45,PWR-5V2,5V 2A Power Supply,Power,7,3.51,11.54,80.78,24.57,56.21,Ailani,Tourism/Hospitality,Credit Card,71
HI066-TX-0004,HI066,Poipu,Kauai,HI,2026-06-30 16:59:07,IC-555,NE555 Timer IC,Integrated Circuits,25,0.33,1.42,35.50,8.25,27.25,Noelani,Retail,Debit Card,489
HI066-TX-0005,HI066,Poipu,Kauai,HI,2026-06-30 11:30:21,REL-5V,5V Relay Module,Relays,3,0.89,5.24,15.72,2.67,13.05,Akamu,Government,Credit Card,705
HI066-TX-0006,HI066,Poipu,Kauai,HI,2026-06-30 08:10:52,PWR-12V,12V 5A Power Supply,Power,6,9.90,23.93,143.58,59.40,84.18,Kai,Retail,Mobile Pay,78
HI066-TX-0007,HI066,Poipu,Kauai,HI,2026-06-30 13:45:27,PWR-BUCK,Buck Converter Module,Power,14,1.07,5.05,70.70,14.98,55.72,Noah,Marine,Credit Card,559
HI066-TX-0008,HI066,Poipu,Kauai,HI,2026-06-30 08:54:48,MAR-TIN,Tinned Marine Wire,Marine Electronics,4,8.59,27.81,111.24,34.36,76.88,Leilani,Marine,ACH,789
HI066-TX-0009,HI066,Poipu,Kauai,HI,2026-06-30 11:00:10,TOOL-DMM,Digital Multimeter,Tools,4,9.05,27.27,109.08,36.20,72.88,Kaleo,Commercial,ACH,31
HI066-TX-0010,HI066,Poipu,Kauai,HI,2026-06-30 11:12:52,RES-220,220 Ohm Resistor,Resistors,36,0.03,0.12,4.32,1.08,3.24,Kaleo,Commercial,Cash,810
HI066-TX-0011,HI066,Poipu,Kauai,HI,2026-06-30 11:33:03,TOOL-DMM,Digital Multimeter,Tools,8,8.50,28.96,231.68,68.00,163.68,Nalu,Maker/Hobbyist,Debit Card,298
HI066-TX-0012,HI066,Poipu,Kauai,HI,2026-06-30 17:10:08,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,8.87,28.77,201.39,62.09,139.30,Koa,Education,ACH,147
HI066-TX-0013,HI066,Poipu,Kauai,HI,2026-06-30 10:41:10,SOL-CTRL,Solar Charge Controller,Solar Power,2,10.70,34.73,69.46,21.40,48.06,Mika,Education,Credit Card,349
HI066-TX-0014,HI066,Poipu,Kauai,HI,2026-06-30 15:38:11,PWR-12V,12V 5A Power Supply,Power,4,8.85,26.67,106.68,35.40,71.28,Iolana,Retail,Cash,566
HI066-TX-0015,HI066,Poipu,Kauai,HI,2026-06-30 15:10:12,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.52,6.55,52.40,12.16,40.24,Noah,Government,Mobile Pay,18
HI066-TX-0016,HI066,Poipu,Kauai,HI,2026-06-30 16:52:39,IC-555,NE555 Timer IC,Integrated Circuits,1,0.37,1.38,1.38,0.37,1.01,Ikaika,Government,ACH,721
HI066-TX-0017,HI066,Poipu,Kauai,HI,2026-06-30 15:45:39,DIO-4007,1N4007 Diode,Semiconductors,39,0.05,0.21,8.19,1.95,6.24,Pualani,Marine,Purchase Order,798
HI066-TX-0018,HI066,Poipu,Kauai,HI,2026-06-30 10:53:34,TR-3904,2N3904 NPN Transistor,Semiconductors,35,0.05,0.25,8.75,1.75,7.00,Leilani,Tourism/Hospitality,Debit Card,678
HI066-TX-0019,HI066,Poipu,Kauai,HI,2026-06-30 10:23:11,PWR-BUCK,Buck Converter Module,Power,26,1.08,4.91,127.66,28.08,99.58,Makana,Marine,Credit Card,295
HI066-TX-0020,HI066,Poipu,Kauai,HI,2026-06-30 16:25:35,BAT-AAH,AA Battery Holder,Batteries,37,0.53,2.71,100.27,19.61,80.66,Noah,Maker/Hobbyist,Mobile Pay,386
