transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI067-TX-0001,HI067,Anahola,Kauai,HI,2026-06-30 08:03:24,PWR-BUCK,Buck Converter Module,Power,8,1.09,4.76,38.08,8.72,29.36,Malia,Education,Purchase Order,665
HI067-TX-0002,HI067,Anahola,Kauai,HI,2026-06-30 09:45:34,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,38,0.05,0.20,7.60,1.90,5.70,Pualani,Maker/Hobbyist,Purchase Order,572
HI067-TX-0003,HI067,Anahola,Kauai,HI,2026-06-30 11:17:20,IC-555,NE555 Timer IC,Integrated Circuits,22,0.37,1.28,28.16,8.14,20.02,Koa,Commercial,Mobile Pay,562
HI067-TX-0004,HI067,Anahola,Kauai,HI,2026-06-30 13:18:58,PWR-BUCK,Buck Converter Module,Power,20,1.09,4.64,92.80,21.80,71.00,Keahi,Education,Cash,216
HI067-TX-0005,HI067,Anahola,Kauai,HI,2026-06-30 09:41:16,TR-3904,2N3904 NPN Transistor,Semiconductors,13,0.06,0.24,3.12,0.78,2.34,Lani,Government,Credit Card,53
HI067-TX-0006,HI067,Anahola,Kauai,HI,2026-06-30 12:35:39,PWR-BUCK,Buck Converter Module,Power,3,0.98,4.78,14.34,2.94,11.40,Ikaika,Tourism/Hospitality,Mobile Pay,208
HI067-TX-0007,HI067,Anahola,Kauai,HI,2026-06-30 11:32:17,PWR-BUCK,Buck Converter Module,Power,24,1.07,4.78,114.72,25.68,89.04,Pualani,Maker/Hobbyist,Mobile Pay,602
HI067-TX-0008,HI067,Anahola,Kauai,HI,2026-06-30 11:07:29,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,3.97,14.77,118.16,31.76,86.40,Malia,Maker/Hobbyist,Debit Card,87
HI067-TX-0009,HI067,Anahola,Kauai,HI,2026-06-30 13:51:30,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.87,14.57,116.56,38.96,77.60,Mika,Maker/Hobbyist,Mobile Pay,773
HI067-TX-0010,HI067,Anahola,Kauai,HI,2026-06-30 16:33:37,PWR-BUCK,Buck Converter Module,Power,38,1.06,4.61,175.18,40.28,134.90,Ikaika,Marine,Mobile Pay,504
HI067-TX-0011,HI067,Anahola,Kauai,HI,2026-06-30 17:37:32,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.47,21.44,150.08,59.29,90.79,Iolana,Commercial,Credit Card,158
HI067-TX-0012,HI067,Anahola,Kauai,HI,2026-06-30 12:43:49,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,40,0.04,0.20,8.00,1.60,6.40,Kai,Marine,Mobile Pay,167
HI067-TX-0013,HI067,Anahola,Kauai,HI,2026-06-30 10:34:20,MAR-ANT,Marine Antenna Connector,Marine Electronics,3,3.70,13.50,40.50,11.10,29.40,Noah,Government,Purchase Order,835
HI067-TX-0014,HI067,Anahola,Kauai,HI,2026-06-30 09:47:47,SNS-SOIL,Soil Moisture Sensor,Sensors,34,0.90,4.54,154.36,30.60,123.76,Noelani,Government,Debit Card,684
HI067-TX-0015,HI067,Anahola,Kauai,HI,2026-06-30 14:07:40,BAT-AAH,AA Battery Holder,Batteries,36,0.49,2.80,100.80,17.64,83.16,Ikaika,Education,Debit Card,575
HI067-TX-0016,HI067,Anahola,Kauai,HI,2026-06-30 13:32:06,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.70,22.17,22.17,8.70,13.47,Lani,Government,Cash,631
HI067-TX-0017,HI067,Anahola,Kauai,HI,2026-06-30 14:57:16,LED-BLU,5mm Blue LED,LEDs,10,0.07,0.31,3.10,0.70,2.40,Kaleo,Retail,ACH,863
HI067-TX-0018,HI067,Anahola,Kauai,HI,2026-06-30 11:25:48,RES-010,10k Ohm Resistor,Resistors,32,0.03,0.13,4.16,0.96,3.20,Malia,Commercial,ACH,616
HI067-TX-0019,HI067,Anahola,Kauai,HI,2026-06-30 15:10:07,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.42,14.61,116.88,35.36,81.52,Keahi,Tourism/Hospitality,Mobile Pay,483
HI067-TX-0020,HI067,Anahola,Kauai,HI,2026-06-30 15:10:28,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.81,14.51,101.57,26.67,74.90,Keanu,Retail,Cash,198
HI067-TX-0021,HI067,Anahola,Kauai,HI,2026-06-30 11:54:11,PICO-RP,Raspberry Pi Pico,Microcontrollers,7,3.26,9.10,63.70,22.82,40.88,Pualani,Marine,Credit Card,5
HI067-TX-0022,HI067,Anahola,Kauai,HI,2026-06-30 11:32:48,SNS-PIR,PIR Motion Sensor,Sensors,8,1.49,6.27,50.16,11.92,38.24,Keahi,Retail,Mobile Pay,124
HI067-TX-0023,HI067,Anahola,Kauai,HI,2026-06-30 09:19:40,IC-555,NE555 Timer IC,Integrated Circuits,3,0.33,1.28,3.84,0.99,2.85,Keahi,Marine,Purchase Order,102
HI067-TX-0024,HI067,Anahola,Kauai,HI,2026-06-30 16:23:53,RES-010,10k Ohm Resistor,Resistors,18,0.03,0.14,2.52,0.54,1.98,Mika,Marine,Purchase Order,319
HI067-TX-0025,HI067,Anahola,Kauai,HI,2026-06-30 17:39:03,SOL-CTRL,Solar Charge Controller,Solar Power,6,10.52,31.19,187.14,63.12,124.02,Ikaika,Commercial,ACH,40
HI067-TX-0026,HI067,Anahola,Kauai,HI,2026-06-30 12:35:50,SOL-CTRL,Solar Charge Controller,Solar Power,8,10.21,33.77,270.16,81.68,188.48,Koa,Government,Debit Card,331
HI067-TX-0027,HI067,Anahola,Kauai,HI,2026-06-30 11:24:22,USB-CBO,USB-C Breakout Board,Connectors,13,1.43,5.19,67.47,18.59,48.88,Kai,Maker/Hobbyist,Cash,631
HI067-TX-0028,HI067,Anahola,Kauai,HI,2026-06-30 16:41:20,TOOL-SOL,Soldering Iron Tips,Tools,4,2.11,7.18,28.72,8.44,20.28,Alika,Maker/Hobbyist,Debit Card,875
HI067-TX-0029,HI067,Anahola,Kauai,HI,2026-06-30 14:46:21,MAR-ANT,Marine Antenna Connector,Marine Electronics,1,3.67,14.97,14.97,3.67,11.30,Ikaika,Maker/Hobbyist,Credit Card,80
HI067-TX-0030,HI067,Anahola,Kauai,HI,2026-06-30 12:49:50,PWR-5V2,5V 2A Power Supply,Power,5,3.78,11.19,55.95,18.90,37.05,Hana,Marine,Debit Card,212
