transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI069-TX-0001,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:59:21,RES-001,1k Ohm Resistor,Resistors,31,0.04,0.14,4.34,1.24,3.10,Akamu,Tourism/Hospitality,ACH,61
HI069-TX-0002,HI069,Kaunakakai,Molokai,HI,2026-06-30 12:19:10,LED-RED,5mm Red LED,LEDs,12,0.06,0.28,3.36,0.72,2.64,Mika,Government,Debit Card,380
HI069-TX-0003,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:44:55,TOOL-DMM,Digital Multimeter,Tools,1,9.24,28.62,28.62,9.24,19.38,Malia,Marine,Mobile Pay,323
HI069-TX-0004,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:27:56,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,20,0.04,0.19,3.80,0.80,3.00,Mika,Commercial,Debit Card,609
HI069-TX-0005,HI069,Kaunakakai,Molokai,HI,2026-06-30 15:24:12,PWR-12V,12V 5A Power Supply,Power,8,9.88,25.83,206.64,79.04,127.60,Alika,Education,Purchase Order,199
HI069-TX-0006,HI069,Kaunakakai,Molokai,HI,2026-06-30 15:35:54,PWR-5V2,5V 2A Power Supply,Power,4,3.43,10.85,43.40,13.72,29.68,Iolana,Marine,Purchase Order,403
HI069-TX-0007,HI069,Kaunakakai,Molokai,HI,2026-06-30 08:03:06,DIO-4007,1N4007 Diode,Semiconductors,32,0.05,0.21,6.72,1.60,5.12,Koa,Education,ACH,95
HI069-TX-0008,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:03:00,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,9.33,26.57,132.85,46.65,86.20,Makana,Tourism/Hospitality,Cash,89
HI069-TX-0009,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:40:36,DIO-4007,1N4007 Diode,Semiconductors,19,0.04,0.19,3.61,0.76,2.85,Koa,Retail,ACH,565
HI069-TX-0010,HI069,Kaunakakai,Molokai,HI,2026-06-30 15:45:47,PWR-BUCK,Buck Converter Module,Power,24,1.07,4.72,113.28,25.68,87.60,Iolana,Maker/Hobbyist,Cash,337
HI069-TX-0011,HI069,Kaunakakai,Molokai,HI,2026-06-30 17:32:05,PWR-BUCK,Buck Converter Module,Power,18,1.01,5.10,91.80,18.18,73.62,Koa,Maker/Hobbyist,ACH,594
HI069-TX-0012,HI069,Kaunakakai,Molokai,HI,2026-06-30 16:53:13,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.51,8.07,56.49,17.57,38.92,Malia,Retail,Purchase Order,852
HI069-TX-0013,HI069,Kaunakakai,Molokai,HI,2026-06-30 13:11:24,USB-CBO,USB-C Breakout Board,Connectors,10,1.44,5.31,53.10,14.40,38.70,Noelani,Commercial,Purchase Order,384
HI069-TX-0014,HI069,Kaunakakai,Molokai,HI,2026-06-30 17:39:36,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,9.53,28.66,229.28,76.24,153.04,Kai,Commercial,Mobile Pay,235
HI069-TX-0015,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:22:09,SOL-CTRL,Solar Charge Controller,Solar Power,2,10.09,31.27,62.54,20.18,42.36,Koa,Education,Debit Card,633
HI069-TX-0016,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:31:45,CAP-100,100uF Capacitor,Capacitors,39,0.16,0.58,22.62,6.24,16.38,Ikaika,Education,Mobile Pay,544
HI069-TX-0017,HI069,Kaunakakai,Molokai,HI,2026-06-30 13:14:16,TOOL-DMM,Digital Multimeter,Tools,1,9.15,27.03,27.03,9.15,17.88,Iolana,Commercial,Mobile Pay,311
HI069-TX-0018,HI069,Kaunakakai,Molokai,HI,2026-06-30 13:22:47,SOL-CTRL,Solar Charge Controller,Solar Power,5,11.28,32.89,164.45,56.40,108.05,Leilani,Tourism/Hospitality,ACH,514
HI069-TX-0019,HI069,Kaunakakai,Molokai,HI,2026-06-30 09:48:35,PWR-5V2,5V 2A Power Supply,Power,8,3.63,10.53,84.24,29.04,55.20,Pualani,Commercial,Purchase Order,585
HI069-TX-0020,HI069,Kaunakakai,Molokai,HI,2026-06-30 14:38:46,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.64,7.37,51.59,18.48,33.11,Kai,Commercial,Cash,35
HI069-TX-0021,HI069,Kaunakakai,Molokai,HI,2026-06-30 12:58:21,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,12,0.05,0.19,2.28,0.60,1.68,Pualani,Marine,Purchase Order,622
HI069-TX-0022,HI069,Kaunakakai,Molokai,HI,2026-06-30 10:28:30,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.25,20.81,145.67,57.75,87.92,Hana,Commercial,Mobile Pay,619
HI069-TX-0023,HI069,Kaunakakai,Molokai,HI,2026-06-30 08:40:13,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,3.82,14.89,119.12,30.56,88.56,Mika,Retail,Debit Card,726
HI069-TX-0024,HI069,Kaunakakai,Molokai,HI,2026-06-30 16:22:32,MAR-ANT,Marine Antenna Connector,Marine Electronics,7,3.73,14.44,101.08,26.11,74.97,Noah,Tourism/Hospitality,Cash,648
HI069-TX-0025,HI069,Kaunakakai,Molokai,HI,2026-06-30 08:49:51,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.53,6.12,48.96,12.24,36.72,Malia,Commercial,Credit Card,508
