transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI070-TX-0001,HI070,Kualapuu,Molokai,HI,2026-06-30 12:46:59,IC-555,NE555 Timer IC,Integrated Circuits,17,0.34,1.28,21.76,5.78,15.98,Akamu,Tourism/Hospitality,ACH,611
HI070-TX-0002,HI070,Kualapuu,Molokai,HI,2026-06-30 11:32:38,PWR-5V2,5V 2A Power Supply,Power,3,3.76,11.48,34.44,11.28,23.16,Leilani,Maker/Hobbyist,Purchase Order,790
HI070-TX-0003,HI070,Kualapuu,Molokai,HI,2026-06-30 11:09:02,BAT-AAH,AA Battery Holder,Batteries,25,0.48,2.76,69.00,12.00,57.00,Leilani,Commercial,Mobile Pay,681
HI070-TX-0004,HI070,Kualapuu,Molokai,HI,2026-06-30 12:29:11,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,8.98,27.22,217.76,71.84,145.92,Noah,Commercial,Mobile Pay,490
HI070-TX-0005,HI070,Kualapuu,Molokai,HI,2026-06-30 10:31:24,ARD-NANO,Arduino Nano Compatible,Microcontrollers,1,4.84,14.99,14.99,4.84,10.15,Hana,Commercial,Cash,496
HI070-TX-0006,HI070,Kualapuu,Molokai,HI,2026-06-30 11:52:37,CAP-100,100uF Capacitor,Capacitors,11,0.17,0.60,6.60,1.87,4.73,Keanu,Education,Mobile Pay,242
HI070-TX-0007,HI070,Kualapuu,Molokai,HI,2026-06-30 13:09:53,PWR-5V2,5V 2A Power Supply,Power,1,3.80,11.17,11.17,3.80,7.37,Lani,Commercial,Mobile Pay,1
HI070-TX-0008,HI070,Kualapuu,Molokai,HI,2026-06-30 10:48:50,PWR-12V,12V 5A Power Supply,Power,2,9.47,25.93,51.86,18.94,32.92,Makana,Marine,Credit Card,446
HI070-TX-0009,HI070,Kualapuu,Molokai,HI,2026-06-30 12:38:53,RES-010,10k Ohm Resistor,Resistors,18,0.03,0.13,2.34,0.54,1.80,Akamu,Tourism/Hospitality,Mobile Pay,65
HI070-TX-0010,HI070,Kualapuu,Molokai,HI,2026-06-30 12:15:16,IC-555,NE555 Timer IC,Integrated Circuits,5,0.37,1.33,6.65,1.85,4.80,Makana,Tourism/Hospitality,ACH,175
HI070-TX-0011,HI070,Kualapuu,Molokai,HI,2026-06-30 09:47:38,DIO-4007,1N4007 Diode,Semiconductors,18,0.04,0.19,3.42,0.72,2.70,Lani,Education,Credit Card,143
