transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI072-TX-0001,HI072,Pukoo,Molokai,HI,2026-06-30 17:13:00,ESP-32,ESP32 Dev Board,Microcontrollers,7,4.38,12.81,89.67,30.66,59.01,Iolana,Education,Mobile Pay,621
HI072-TX-0002,HI072,Pukoo,Molokai,HI,2026-06-30 08:18:20,SOL-CTRL,Solar Charge Controller,Solar Power,5,11.19,31.12,155.60,55.95,99.65,Keahi,Retail,Purchase Order,833
HI072-TX-0003,HI072,Pukoo,Molokai,HI,2026-06-30 10:30:48,TOOL-WIRE,Wire Stripper,Tools,5,4.76,15.74,78.70,23.80,54.90,Pualani,Retail,Purchase Order,575
HI072-TX-0004,HI072,Pukoo,Molokai,HI,2026-06-30 12:35:53,PWR-BUCK,Buck Converter Module,Power,15,1.09,5.17,77.55,16.35,61.20,Kaleo,Maker/Hobbyist,Purchase Order,381
HI072-TX-0005,HI072,Pukoo,Molokai,HI,2026-06-30 14:42:33,CON-JMP,Jumper Wire Set,Connectors,24,0.90,4.05,97.20,21.60,75.60,Alika,Commercial,ACH,521
HI072-TX-0006,HI072,Pukoo,Molokai,HI,2026-06-30 11:39:59,PWR-5V2,5V 2A Power Supply,Power,2,3.40,10.86,21.72,6.80,14.92,Iolana,Government,Mobile Pay,44
HI072-TX-0007,HI072,Pukoo,Molokai,HI,2026-06-30 09:56:09,ESP-32,ESP32 Dev Board,Microcontrollers,1,4.01,13.71,13.71,4.01,9.70,Mika,Retail,Cash,555
HI072-TX-0008,HI072,Pukoo,Molokai,HI,2026-06-30 11:19:26,TR-3904,2N3904 NPN Transistor,Semiconductors,39,0.05,0.25,9.75,1.95,7.80,Iolana,Marine,Credit Card,656
HI072-TX-0009,HI072,Pukoo,Molokai,HI,2026-06-30 14:02:29,DIO-4007,1N4007 Diode,Semiconductors,11,0.04,0.19,2.09,0.44,1.65,Keahi,Maker/Hobbyist,Purchase Order,662
HI072-TX-0010,HI072,Pukoo,Molokai,HI,2026-06-30 16:40:04,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.62,6.49,6.49,1.62,4.87,Keanu,Government,ACH,427
HI072-TX-0011,HI072,Pukoo,Molokai,HI,2026-06-30 11:11:02,DIO-4007,1N4007 Diode,Semiconductors,1,0.04,0.20,0.20,0.04,0.16,Iolana,Tourism/Hospitality,Debit Card,381
HI072-TX-0012,HI072,Pukoo,Molokai,HI,2026-06-30 17:27:16,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.56,6.69,40.14,9.36,30.78,Lani,Government,Debit Card,899
HI072-TX-0013,HI072,Pukoo,Molokai,HI,2026-06-30 08:36:08,SOL-CTRL,Solar Charge Controller,Solar Power,3,11.09,31.48,94.44,33.27,61.17,Noelani,Maker/Hobbyist,Mobile Pay,890
