transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI073-TX-0001,HI073,Lanai City,Lanai,HI,2026-06-30 15:31:10,DIO-4007,1N4007 Diode,Semiconductors,18,0.04,0.20,3.60,0.72,2.88,Keanu,Government,Mobile Pay,332
HI073-TX-0002,HI073,Lanai City,Lanai,HI,2026-06-30 17:20:35,RES-010,10k Ohm Resistor,Resistors,20,0.03,0.13,2.60,0.60,2.00,Kaleo,Tourism/Hospitality,ACH,890
HI073-TX-0003,HI073,Lanai City,Lanai,HI,2026-06-30 16:23:29,RES-010,10k Ohm Resistor,Resistors,2,0.03,0.12,0.24,0.06,0.18,Akamu,Marine,Credit Card,239
HI073-TX-0004,HI073,Lanai City,Lanai,HI,2026-06-30 15:55:33,MAR-TIN,Tinned Marine Wire,Marine Electronics,4,9.24,26.22,104.88,36.96,67.92,Kaleo,Marine,Credit Card,867
HI073-TX-0005,HI073,Lanai City,Lanai,HI,2026-06-30 08:08:13,PWR-5V2,5V 2A Power Supply,Power,7,3.66,11.01,77.07,25.62,51.45,Ailani,Education,Credit Card,130
HI073-TX-0006,HI073,Lanai City,Lanai,HI,2026-06-30 09:11:16,SNS-DHT,DHT22 Temperature Sensor,Sensors,1,2.43,7.37,7.37,2.43,4.94,Noah,Tourism/Hospitality,Cash,34
HI073-TX-0007,HI073,Lanai City,Lanai,HI,2026-06-30 11:39:32,IC-REG,7805 Voltage Regulator,Integrated Circuits,7,0.19,0.94,6.58,1.33,5.25,Kaleo,Tourism/Hospitality,Credit Card,230
HI073-TX-0008,HI073,Lanai City,Lanai,HI,2026-06-30 17:07:23,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.41,7.48,52.36,16.87,35.49,Mika,Education,ACH,35
HI073-TX-0009,HI073,Lanai City,Lanai,HI,2026-06-30 11:24:30,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.33,31.10,124.40,41.32,83.08,Ailani,Education,Credit Card,374
HI073-TX-0010,HI073,Lanai City,Lanai,HI,2026-06-30 10:57:12,IC-REG,7805 Voltage Regulator,Integrated Circuits,22,0.20,0.88,19.36,4.40,14.96,Iolana,Retail,Credit Card,313
HI073-TX-0011,HI073,Lanai City,Lanai,HI,2026-06-30 08:58:01,RES-001,1k Ohm Resistor,Resistors,30,0.03,0.13,3.90,0.90,3.00,Noelani,Tourism/Hospitality,Debit Card,220
