transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI074-TX-0001,HI074,Manele,Lanai,HI,2026-06-30 15:41:43,MOS-44N,IRFZ44N MOSFET,Semiconductors,12,0.58,2.37,28.44,6.96,21.48,Makana,Maker/Hobbyist,ACH,505
HI074-TX-0002,HI074,Manele,Lanai,HI,2026-06-30 13:20:13,BAT-LIPO,LiPo Battery Pack,Batteries,4,5.12,16.01,64.04,20.48,43.56,Ikaika,Retail,Debit Card,555
HI074-TX-0003,HI074,Manele,Lanai,HI,2026-06-30 08:59:47,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.77,14.56,29.12,7.54,21.58,Noah,Tourism/Hospitality,Mobile Pay,866
HI074-TX-0004,HI074,Manele,Lanai,HI,2026-06-30 13:52:45,MAR-ANT,Marine Antenna Connector,Marine Electronics,6,4.09,13.82,82.92,24.54,58.38,Ailani,Maker/Hobbyist,Cash,97
HI074-TX-0005,HI074,Manele,Lanai,HI,2026-06-30 16:40:24,IC-REG,7805 Voltage Regulator,Integrated Circuits,22,0.21,0.95,20.90,4.62,16.28,Iolana,Government,Debit Card,42
HI074-TX-0006,HI074,Manele,Lanai,HI,2026-06-30 09:28:50,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,3.67,13.36,66.80,18.35,48.45,Makana,Education,Purchase Order,55
HI074-TX-0007,HI074,Manele,Lanai,HI,2026-06-30 10:54:38,CON-JMP,Jumper Wire Set,Connectors,15,1.00,3.65,54.75,15.00,39.75,Koa,Marine,ACH,105
HI074-TX-0008,HI074,Manele,Lanai,HI,2026-06-30 08:48:36,PWR-5V2,5V 2A Power Supply,Power,8,3.61,10.85,86.80,28.88,57.92,Mika,Tourism/Hospitality,Cash,621
HI074-TX-0009,HI074,Manele,Lanai,HI,2026-06-30 15:44:17,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.64,14.60,29.20,7.28,21.92,Ikaika,Education,Cash,707
HI074-TX-0010,HI074,Manele,Lanai,HI,2026-06-30 10:12:44,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.79,14.08,70.40,23.95,46.45,Alika,Government,Debit Card,22
HI074-TX-0011,HI074,Manele,Lanai,HI,2026-06-30 16:53:30,IC-555,NE555 Timer IC,Integrated Circuits,19,0.35,1.37,26.03,6.65,19.38,Keahi,Marine,Credit Card,166
