transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI075-TX-0001,HI075,Maunalei,Lanai,HI,2026-06-30 14:36:25,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,3.73,13.36,106.88,29.84,77.04,Lani,Marine,Mobile Pay,704
HI075-TX-0002,HI075,Maunalei,Lanai,HI,2026-06-30 17:35:32,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,9.39,26.12,156.72,56.34,100.38,Akamu,Government,Purchase Order,634
HI075-TX-0003,HI075,Maunalei,Lanai,HI,2026-06-30 12:21:52,PWR-12V,12V 5A Power Supply,Power,2,9.05,24.26,48.52,18.10,30.42,Hana,Maker/Hobbyist,Mobile Pay,301
HI075-TX-0004,HI075,Maunalei,Lanai,HI,2026-06-30 08:36:49,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,8.77,28.31,84.93,26.31,58.62,Pualani,Maker/Hobbyist,Credit Card,863
HI075-TX-0005,HI075,Maunalei,Lanai,HI,2026-06-30 10:00:15,PWR-5V2,5V 2A Power Supply,Power,7,3.42,10.36,72.52,23.94,48.58,Makana,Tourism/Hospitality,Cash,493
HI075-TX-0006,HI075,Maunalei,Lanai,HI,2026-06-30 15:01:08,SNS-PIR,PIR Motion Sensor,Sensors,6,1.58,5.91,35.46,9.48,25.98,Noah,Education,ACH,840
HI075-TX-0007,HI075,Maunalei,Lanai,HI,2026-06-30 16:50:37,RES-220,220 Ohm Resistor,Resistors,21,0.03,0.13,2.73,0.63,2.10,Nalu,Education,Mobile Pay,392
HI075-TX-0008,HI075,Maunalei,Lanai,HI,2026-06-30 09:47:01,REL-5V,5V Relay Module,Relays,21,0.90,5.20,109.20,18.90,90.30,Lani,Commercial,Credit Card,691
HI075-TX-0009,HI075,Maunalei,Lanai,HI,2026-06-30 10:09:15,PWR-12V,12V 5A Power Supply,Power,4,8.90,23.67,94.68,35.60,59.08,Kaleo,Marine,Purchase Order,885
HI075-TX-0010,HI075,Maunalei,Lanai,HI,2026-06-30 13:03:43,PWR-12V,12V 5A Power Supply,Power,3,9.33,26.39,79.17,27.99,51.18,Kaleo,Retail,Mobile Pay,668
HI075-TX-0011,HI075,Maunalei,Lanai,HI,2026-06-30 13:32:55,TOOL-DMM,Digital Multimeter,Tools,6,8.24,25.91,155.46,49.44,106.02,Leilani,Maker/Hobbyist,Credit Card,777
HI075-TX-0012,HI075,Maunalei,Lanai,HI,2026-06-30 13:09:05,SNS-ULT,Ultrasonic Distance Sensor,Sensors,31,1.28,5.65,175.15,39.68,135.47,Pualani,Commercial,Credit Card,588
HI075-TX-0013,HI075,Maunalei,Lanai,HI,2026-06-30 15:36:44,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,19,0.04,0.21,3.99,0.76,3.23,Noelani,Tourism/Hospitality,Debit Card,294
HI075-TX-0014,HI075,Maunalei,Lanai,HI,2026-06-30 09:33:06,PWR-BUCK,Buck Converter Module,Power,23,1.08,4.95,113.85,24.84,89.01,Mika,Education,Debit Card,801
HI075-TX-0015,HI075,Maunalei,Lanai,HI,2026-06-30 09:07:40,IC-REG,7805 Voltage Regulator,Integrated Circuits,22,0.21,0.89,19.58,4.62,14.96,Lani,Government,Mobile Pay,2
HI075-TX-0016,HI075,Maunalei,Lanai,HI,2026-06-30 11:18:39,PWR-5V2,5V 2A Power Supply,Power,3,3.42,10.39,31.17,10.26,20.91,Iolana,Tourism/Hospitality,Cash,443
HI075-TX-0017,HI075,Maunalei,Lanai,HI,2026-06-30 15:29:45,LED-RED,5mm Red LED,LEDs,30,0.05,0.27,8.10,1.50,6.60,Malia,Maker/Hobbyist,Mobile Pay,415
HI075-TX-0018,HI075,Maunalei,Lanai,HI,2026-06-30 17:43:57,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.80,22.18,66.54,26.40,40.14,Keanu,Government,Debit Card,415
HI075-TX-0019,HI075,Maunalei,Lanai,HI,2026-06-30 11:36:32,BAT-LIPO,LiPo Battery Pack,Batteries,3,5.29,16.34,49.02,15.87,33.15,Koa,Education,Cash,516
