transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI077-TX-0001,HI077,Ala Moana,Oahu,HI,2026-06-30 09:39:06,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,8.64,28.16,84.48,25.92,58.56,Kai,Commercial,Mobile Pay,390
HI077-TX-0002,HI077,Ala Moana,Oahu,HI,2026-06-30 09:19:55,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.71,14.70,88.20,28.26,59.94,Akamu,Education,Purchase Order,288
HI077-TX-0003,HI077,Ala Moana,Oahu,HI,2026-06-30 16:58:00,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.62,6.32,31.60,8.10,23.50,Ikaika,Retail,Cash,407
HI077-TX-0004,HI077,Ala Moana,Oahu,HI,2026-06-30 12:02:52,PICO-RP,Raspberry Pi Pico,Microcontrollers,7,3.20,8.89,62.23,22.40,39.83,Noelani,Tourism/Hospitality,ACH,698
HI077-TX-0005,HI077,Ala Moana,Oahu,HI,2026-06-30 17:20:36,CON-JMP,Jumper Wire Set,Connectors,6,0.88,3.81,22.86,5.28,17.58,Keahi,Government,ACH,374
HI077-TX-0006,HI077,Ala Moana,Oahu,HI,2026-06-30 08:20:02,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,8.70,28.61,85.83,26.10,59.73,Lani,Commercial,ACH,58
HI077-TX-0007,HI077,Ala Moana,Oahu,HI,2026-06-30 15:32:45,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.43,22.04,44.08,16.86,27.22,Nalu,Marine,Credit Card,278
HI077-TX-0008,HI077,Ala Moana,Oahu,HI,2026-06-30 08:46:54,LED-BLU,5mm Blue LED,LEDs,30,0.07,0.34,10.20,2.10,8.10,Pualani,Tourism/Hospitality,Cash,525
HI077-TX-0009,HI077,Ala Moana,Oahu,HI,2026-06-30 16:04:31,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.32,22.66,181.28,66.56,114.72,Noah,Marine,Mobile Pay,727
HI077-TX-0010,HI077,Ala Moana,Oahu,HI,2026-06-30 08:12:21,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.50,13.94,69.70,22.50,47.20,Mika,Education,Credit Card,748
HI077-TX-0011,HI077,Ala Moana,Oahu,HI,2026-06-30 13:15:47,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,4.05,14.64,73.20,20.25,52.95,Mika,Marine,Credit Card,666
HI077-TX-0012,HI077,Ala Moana,Oahu,HI,2026-06-30 15:25:30,DIO-4007,1N4007 Diode,Semiconductors,14,0.04,0.19,2.66,0.56,2.10,Akamu,Education,Credit Card,734
HI077-TX-0013,HI077,Ala Moana,Oahu,HI,2026-06-30 14:58:42,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.46,9.19,45.95,17.30,28.65,Kai,Retail,Debit Card,629
HI077-TX-0014,HI077,Ala Moana,Oahu,HI,2026-06-30 11:27:21,REL-5V,5V Relay Module,Relays,20,0.97,5.78,115.60,19.40,96.20,Akamu,Education,Purchase Order,638
HI077-TX-0015,HI077,Ala Moana,Oahu,HI,2026-06-30 09:25:27,CON-JMP,Jumper Wire Set,Connectors,25,0.91,3.71,92.75,22.75,70.00,Kai,Marine,Purchase Order,547
HI077-TX-0016,HI077,Ala Moana,Oahu,HI,2026-06-30 17:21:40,IC-555,NE555 Timer IC,Integrated Circuits,29,0.37,1.45,42.05,10.73,31.32,Ikaika,Education,ACH,652
HI077-TX-0017,HI077,Ala Moana,Oahu,HI,2026-06-30 11:11:47,TOOL-SOL,Soldering Iron Tips,Tools,8,1.89,7.65,61.20,15.12,46.08,Hana,Government,Cash,374
HI077-TX-0018,HI077,Ala Moana,Oahu,HI,2026-06-30 16:46:24,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.48,6.23,24.92,5.92,19.00,Malia,Marine,Cash,428
HI077-TX-0019,HI077,Ala Moana,Oahu,HI,2026-06-30 09:09:42,LED-RED,5mm Red LED,LEDs,30,0.06,0.28,8.40,1.80,6.60,Iolana,Commercial,Credit Card,443
HI077-TX-0020,HI077,Ala Moana,Oahu,HI,2026-06-30 11:11:00,IC-555,NE555 Timer IC,Integrated Circuits,8,0.37,1.42,11.36,2.96,8.40,Alika,Marine,Debit Card,548
HI077-TX-0021,HI077,Ala Moana,Oahu,HI,2026-06-30 17:33:07,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.47,6.18,37.08,8.82,28.26,Noah,Tourism/Hospitality,Mobile Pay,360
HI077-TX-0022,HI077,Ala Moana,Oahu,HI,2026-06-30 13:48:30,PICO-RP,Raspberry Pi Pico,Microcontrollers,2,3.07,9.03,18.06,6.14,11.92,Ikaika,Government,Mobile Pay,277
HI077-TX-0023,HI077,Ala Moana,Oahu,HI,2026-06-30 09:22:41,SNS-SOIL,Soil Moisture Sensor,Sensors,4,0.92,4.27,17.08,3.68,13.40,Pualani,Retail,Mobile Pay,296
HI077-TX-0024,HI077,Ala Moana,Oahu,HI,2026-06-30 08:01:10,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,39,0.04,0.19,7.41,1.56,5.85,Koa,Marine,ACH,472
HI077-TX-0025,HI077,Ala Moana,Oahu,HI,2026-06-30 09:54:56,PWR-12V,12V 5A Power Supply,Power,7,9.95,24.69,172.83,69.65,103.18,Malia,Retail,Credit Card,815
HI077-TX-0026,HI077,Ala Moana,Oahu,HI,2026-06-30 16:21:56,REL-5V,5V Relay Module,Relays,31,0.96,5.74,177.94,29.76,148.18,Makana,Marine,Mobile Pay,888
HI077-TX-0027,HI077,Ala Moana,Oahu,HI,2026-06-30 08:23:55,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.28,9.08,36.32,13.12,23.20,Keanu,Commercial,Cash,172
HI077-TX-0028,HI077,Ala Moana,Oahu,HI,2026-06-30 08:27:56,IC-358,LM358 Op Amp,Integrated Circuits,28,0.31,1.15,32.20,8.68,23.52,Makana,Commercial,ACH,71
HI077-TX-0029,HI077,Ala Moana,Oahu,HI,2026-06-30 09:20:36,USB-CBO,USB-C Breakout Board,Connectors,27,1.39,5.47,147.69,37.53,110.16,Akamu,Government,Cash,478
HI077-TX-0030,HI077,Ala Moana,Oahu,HI,2026-06-30 12:30:31,CON-JMP,Jumper Wire Set,Connectors,11,0.99,3.97,43.67,10.89,32.78,Ailani,Government,Purchase Order,747
HI077-TX-0031,HI077,Ala Moana,Oahu,HI,2026-06-30 12:22:05,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.35,8.19,8.19,3.35,4.84,Akamu,Maker/Hobbyist,Credit Card,617
HI077-TX-0032,HI077,Ala Moana,Oahu,HI,2026-06-30 16:23:29,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.46,13.64,40.92,13.38,27.54,Kai,Tourism/Hospitality,Debit Card,804
HI077-TX-0033,HI077,Ala Moana,Oahu,HI,2026-06-30 08:14:27,USB-CBO,USB-C Breakout Board,Connectors,38,1.31,5.57,211.66,49.78,161.88,Kai,Maker/Hobbyist,Mobile Pay,386
HI077-TX-0034,HI077,Ala Moana,Oahu,HI,2026-06-30 11:08:15,LED-RGB,RGB LED Strip,LEDs,8,5.02,13.55,108.40,40.16,68.24,Malia,Government,Cash,712
HI077-TX-0035,HI077,Ala Moana,Oahu,HI,2026-06-30 12:32:55,IC-REG,7805 Voltage Regulator,Integrated Circuits,28,0.21,0.97,27.16,5.88,21.28,Iolana,Commercial,Cash,137
HI077-TX-0036,HI077,Ala Moana,Oahu,HI,2026-06-30 09:19:01,IC-555,NE555 Timer IC,Integrated Circuits,1,0.35,1.45,1.45,0.35,1.10,Koa,Government,Purchase Order,329
HI077-TX-0037,HI077,Ala Moana,Oahu,HI,2026-06-30 08:51:07,TR-3904,2N3904 NPN Transistor,Semiconductors,3,0.05,0.23,0.69,0.15,0.54,Malia,Government,Credit Card,323
HI077-TX-0038,HI077,Ala Moana,Oahu,HI,2026-06-30 11:16:44,MOS-44N,IRFZ44N MOSFET,Semiconductors,19,0.60,2.55,48.45,11.40,37.05,Ikaika,Tourism/Hospitality,ACH,399
HI077-TX-0039,HI077,Ala Moana,Oahu,HI,2026-06-30 12:52:24,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.10,9.01,45.05,15.50,29.55,Kaleo,Tourism/Hospitality,ACH,421
HI077-TX-0040,HI077,Ala Moana,Oahu,HI,2026-06-30 09:59:07,RES-220,220 Ohm Resistor,Resistors,18,0.03,0.14,2.52,0.54,1.98,Kai,Education,Credit Card,828
HI077-TX-0041,HI077,Ala Moana,Oahu,HI,2026-06-30 09:56:12,PWR-BUCK,Buck Converter Module,Power,36,1.05,4.77,171.72,37.80,133.92,Hana,Education,Mobile Pay,513
HI077-TX-0042,HI077,Ala Moana,Oahu,HI,2026-06-30 15:10:16,TOOL-DMM,Digital Multimeter,Tools,4,8.76,27.30,109.20,35.04,74.16,Noah,Commercial,Purchase Order,734
HI077-TX-0043,HI077,Ala Moana,Oahu,HI,2026-06-30 10:37:32,SOL-CTRL,Solar Charge Controller,Solar Power,3,11.33,32.96,98.88,33.99,64.89,Makana,Tourism/Hospitality,Purchase Order,348
HI077-TX-0044,HI077,Ala Moana,Oahu,HI,2026-06-30 14:34:58,BRD-830,Breadboard 830 Tie Points,Connectors,7,1.58,6.28,43.96,11.06,32.90,Noelani,Government,Purchase Order,634
HI077-TX-0045,HI077,Ala Moana,Oahu,HI,2026-06-30 09:14:40,USB-CBO,USB-C Breakout Board,Connectors,7,1.37,5.38,37.66,9.59,28.07,Lani,Commercial,Mobile Pay,288
HI077-TX-0046,HI077,Ala Moana,Oahu,HI,2026-06-30 15:19:42,CAP-100,100uF Capacitor,Capacitors,40,0.16,0.61,24.40,6.40,18.00,Pualani,Maker/Hobbyist,ACH,270
HI077-TX-0047,HI077,Ala Moana,Oahu,HI,2026-06-30 13:40:20,IC-REG,7805 Voltage Regulator,Integrated Circuits,26,0.21,0.93,24.18,5.46,18.72,Ikaika,Maker/Hobbyist,Purchase Order,728
HI077-TX-0048,HI077,Ala Moana,Oahu,HI,2026-06-30 16:18:14,IC-358,LM358 Op Amp,Integrated Circuits,14,0.33,1.21,16.94,4.62,12.32,Kai,Education,ACH,142
HI077-TX-0049,HI077,Ala Moana,Oahu,HI,2026-06-30 15:48:23,IC-555,NE555 Timer IC,Integrated Circuits,20,0.34,1.36,27.20,6.80,20.40,Hana,Maker/Hobbyist,Purchase Order,757
HI077-TX-0050,HI077,Ala Moana,Oahu,HI,2026-06-30 10:15:37,IC-358,LM358 Op Amp,Integrated Circuits,10,0.29,1.23,12.30,2.90,9.40,Noah,Education,Credit Card,279
HI077-TX-0051,HI077,Ala Moana,Oahu,HI,2026-06-30 11:33:50,PICO-RP,Raspberry Pi Pico,Microcontrollers,7,3.09,8.28,57.96,21.63,36.33,Lani,Government,Purchase Order,410
HI077-TX-0052,HI077,Ala Moana,Oahu,HI,2026-06-30 14:22:15,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.53,14.39,115.12,36.24,78.88,Leilani,Tourism/Hospitality,Debit Card,686
HI077-TX-0053,HI077,Ala Moana,Oahu,HI,2026-06-30 11:26:21,TR-3904,2N3904 NPN Transistor,Semiconductors,14,0.05,0.23,3.22,0.70,2.52,Malia,Marine,Mobile Pay,874
HI077-TX-0054,HI077,Ala Moana,Oahu,HI,2026-06-30 11:32:26,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,7.76,20.61,164.88,62.08,102.80,Keanu,Commercial,Mobile Pay,480
HI077-TX-0055,HI077,Ala Moana,Oahu,HI,2026-06-30 17:28:25,LED-BLU,5mm Blue LED,LEDs,13,0.07,0.32,4.16,0.91,3.25,Mika,Marine,Purchase Order,498
HI077-TX-0056,HI077,Ala Moana,Oahu,HI,2026-06-30 09:43:15,PICO-RP,Raspberry Pi Pico,Microcontrollers,6,3.25,9.11,54.66,19.50,35.16,Hana,Tourism/Hospitality,ACH,405
HI077-TX-0057,HI077,Ala Moana,Oahu,HI,2026-06-30 12:03:28,IC-555,NE555 Timer IC,Integrated Circuits,7,0.35,1.39,9.73,2.45,7.28,Ailani,Retail,Mobile Pay,804
HI077-TX-0058,HI077,Ala Moana,Oahu,HI,2026-06-30 16:45:11,CON-JMP,Jumper Wire Set,Connectors,6,0.94,3.71,22.26,5.64,16.62,Nalu,Marine,Mobile Pay,284
HI077-TX-0059,HI077,Ala Moana,Oahu,HI,2026-06-30 17:26:36,LED-RED,5mm Red LED,LEDs,4,0.06,0.28,1.12,0.24,0.88,Noah,Commercial,Credit Card,653
HI077-TX-0060,HI077,Ala Moana,Oahu,HI,2026-06-30 08:39:48,SOL-CTRL,Solar Charge Controller,Solar Power,6,10.64,31.76,190.56,63.84,126.72,Ikaika,Education,ACH,295
HI077-TX-0061,HI077,Ala Moana,Oahu,HI,2026-06-30 12:24:35,IC-358,LM358 Op Amp,Integrated Circuits,16,0.32,1.19,19.04,5.12,13.92,Hana,Commercial,Cash,729
HI077-TX-0062,HI077,Ala Moana,Oahu,HI,2026-06-30 16:05:20,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,8.20,21.85,87.40,32.80,54.60,Noah,Maker/Hobbyist,Cash,45
HI077-TX-0063,HI077,Ala Moana,Oahu,HI,2026-06-30 09:15:00,RES-010,10k Ohm Resistor,Resistors,34,0.03,0.13,4.42,1.02,3.40,Noelani,Education,Purchase Order,769
HI077-TX-0064,HI077,Ala Moana,Oahu,HI,2026-06-30 10:48:55,IC-555,NE555 Timer IC,Integrated Circuits,12,0.33,1.34,16.08,3.96,12.12,Malia,Retail,ACH,353
HI077-TX-0065,HI077,Ala Moana,Oahu,HI,2026-06-30 12:46:40,PWR-BUCK,Buck Converter Module,Power,35,1.01,4.93,172.55,35.35,137.20,Leilani,Marine,Debit Card,861
HI077-TX-0066,HI077,Ala Moana,Oahu,HI,2026-06-30 11:01:03,MAR-ANT,Marine Antenna Connector,Marine Electronics,8,3.80,14.93,119.44,30.40,89.04,Akamu,Government,Mobile Pay,720
