transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI081-TX-0001,HI081,Upper Pearl City,Oahu,HI,2026-06-30 08:30:11,LED-RGB,RGB LED Strip,LEDs,8,5.06,14.96,119.68,40.48,79.20,Koa,Maker/Hobbyist,Cash,490
HI081-TX-0002,HI081,Upper Pearl City,Oahu,HI,2026-06-30 11:59:39,USB-CBO,USB-C Breakout Board,Connectors,9,1.29,5.60,50.40,11.61,38.79,Noelani,Tourism/Hospitality,Debit Card,294
HI081-TX-0003,HI081,Upper Pearl City,Oahu,HI,2026-06-30 15:59:02,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.63,6.60,39.60,9.78,29.82,Makana,Education,Mobile Pay,421
HI081-TX-0004,HI081,Upper Pearl City,Oahu,HI,2026-06-30 09:46:02,TOOL-SOL,Soldering Iron Tips,Tools,8,1.99,7.65,61.20,15.92,45.28,Keanu,Maker/Hobbyist,Cash,22
HI081-TX-0005,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:21:06,CAP-010,10uF Capacitor,Capacitors,3,0.09,0.38,1.14,0.27,0.87,Ailani,Tourism/Hospitality,Purchase Order,686
HI081-TX-0006,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:14:45,TOOL-SOL,Soldering Iron Tips,Tools,4,1.88,7.20,28.80,7.52,21.28,Lani,Government,ACH,259
HI081-TX-0007,HI081,Upper Pearl City,Oahu,HI,2026-06-30 17:26:36,SNS-DHT,DHT22 Temperature Sensor,Sensors,3,2.55,7.99,23.97,7.65,16.32,Ikaika,Tourism/Hospitality,Mobile Pay,190
HI081-TX-0008,HI081,Upper Pearl City,Oahu,HI,2026-06-30 15:03:21,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.22,8.33,8.33,3.22,5.11,Makana,Retail,Debit Card,356
HI081-TX-0009,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:17:23,IC-555,NE555 Timer IC,Integrated Circuits,11,0.35,1.33,14.63,3.85,10.78,Ailani,Marine,Credit Card,129
HI081-TX-0010,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:15:07,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.31,8.40,25.20,9.93,15.27,Akamu,Tourism/Hospitality,Purchase Order,181
HI081-TX-0011,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:36:15,IC-REG,7805 Voltage Regulator,Integrated Circuits,37,0.19,0.92,34.04,7.03,27.01,Noah,Maker/Hobbyist,ACH,862
HI081-TX-0012,HI081,Upper Pearl City,Oahu,HI,2026-06-30 08:14:45,IC-358,LM358 Op Amp,Integrated Circuits,11,0.31,1.23,13.53,3.41,10.12,Pualani,Commercial,Mobile Pay,272
HI081-TX-0013,HI081,Upper Pearl City,Oahu,HI,2026-06-30 14:14:07,PWR-12V,12V 5A Power Supply,Power,8,10.00,23.96,191.68,80.00,111.68,Hana,Tourism/Hospitality,Purchase Order,393
HI081-TX-0014,HI081,Upper Pearl City,Oahu,HI,2026-06-30 09:01:35,BAT-AAH,AA Battery Holder,Batteries,24,0.49,2.74,65.76,11.76,54.00,Nalu,Tourism/Hospitality,ACH,123
HI081-TX-0015,HI081,Upper Pearl City,Oahu,HI,2026-06-30 11:05:26,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.95,15.06,90.36,29.70,60.66,Alika,Tourism/Hospitality,Credit Card,449
HI081-TX-0016,HI081,Upper Pearl City,Oahu,HI,2026-06-30 08:59:15,RES-001,1k Ohm Resistor,Resistors,21,0.03,0.13,2.73,0.63,2.10,Alika,Maker/Hobbyist,Mobile Pay,34
HI081-TX-0017,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:46:33,TR-3904,2N3904 NPN Transistor,Semiconductors,20,0.05,0.23,4.60,1.00,3.60,Iolana,Commercial,Credit Card,847
HI081-TX-0018,HI081,Upper Pearl City,Oahu,HI,2026-06-30 17:08:25,IC-555,NE555 Timer IC,Integrated Circuits,9,0.37,1.30,11.70,3.33,8.37,Ailani,Commercial,ACH,444
HI081-TX-0019,HI081,Upper Pearl City,Oahu,HI,2026-06-30 15:26:10,IC-358,LM358 Op Amp,Integrated Circuits,39,0.32,1.25,48.75,12.48,36.27,Akamu,Marine,Mobile Pay,708
HI081-TX-0020,HI081,Upper Pearl City,Oahu,HI,2026-06-30 08:34:26,TOOL-DMM,Digital Multimeter,Tools,2,8.46,27.14,54.28,16.92,37.36,Makana,Education,Mobile Pay,274
HI081-TX-0021,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:51:00,IC-358,LM358 Op Amp,Integrated Circuits,36,0.29,1.20,43.20,10.44,32.76,Malia,Marine,Credit Card,355
HI081-TX-0022,HI081,Upper Pearl City,Oahu,HI,2026-06-30 18:00:24,IC-555,NE555 Timer IC,Integrated Circuits,14,0.36,1.43,20.02,5.04,14.98,Ikaika,Commercial,Credit Card,599
HI081-TX-0023,HI081,Upper Pearl City,Oahu,HI,2026-06-30 14:42:07,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.07,21.07,42.14,16.14,26.00,Lani,Commercial,Purchase Order,83
HI081-TX-0024,HI081,Upper Pearl City,Oahu,HI,2026-06-30 11:30:50,TOOL-SOL,Soldering Iron Tips,Tools,7,2.12,7.89,55.23,14.84,40.39,Akamu,Tourism/Hospitality,Credit Card,486
HI081-TX-0025,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:20:19,IC-555,NE555 Timer IC,Integrated Circuits,6,0.34,1.33,7.98,2.04,5.94,Noelani,Tourism/Hospitality,ACH,676
HI081-TX-0026,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:26:32,IC-REG,7805 Voltage Regulator,Integrated Circuits,8,0.21,0.91,7.28,1.68,5.60,Makana,Retail,Purchase Order,762
HI081-TX-0027,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:21:14,BAT-AAH,AA Battery Holder,Batteries,7,0.48,2.77,19.39,3.36,16.03,Kai,Government,Credit Card,428
HI081-TX-0028,HI081,Upper Pearl City,Oahu,HI,2026-06-30 08:01:14,IC-REG,7805 Voltage Regulator,Integrated Circuits,30,0.19,0.87,26.10,5.70,20.40,Kaleo,Retail,Purchase Order,460
HI081-TX-0029,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:40:04,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.62,6.56,39.36,9.72,29.64,Noelani,Commercial,Credit Card,435
HI081-TX-0030,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:26:24,LED-RED,5mm Red LED,LEDs,18,0.05,0.27,4.86,0.90,3.96,Hana,Retail,Cash,274
HI081-TX-0031,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:14:43,PICO-RP,Raspberry Pi Pico,Microcontrollers,6,3.25,8.48,50.88,19.50,31.38,Noah,Maker/Hobbyist,Mobile Pay,541
HI081-TX-0032,HI081,Upper Pearl City,Oahu,HI,2026-06-30 14:20:53,IC-REG,7805 Voltage Regulator,Integrated Circuits,14,0.19,0.95,13.30,2.66,10.64,Ailani,Tourism/Hospitality,Cash,320
HI081-TX-0033,HI081,Upper Pearl City,Oahu,HI,2026-06-30 11:12:27,RES-220,220 Ohm Resistor,Resistors,40,0.03,0.13,5.20,1.20,4.00,Noelani,Commercial,Cash,750
HI081-TX-0034,HI081,Upper Pearl City,Oahu,HI,2026-06-30 09:00:35,IC-358,LM358 Op Amp,Integrated Circuits,15,0.29,1.16,17.40,4.35,13.05,Alika,Tourism/Hospitality,Purchase Order,122
HI081-TX-0035,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:41:08,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.26,22.93,68.79,24.78,44.01,Nalu,Education,Mobile Pay,456
HI081-TX-0036,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:02:27,CON-JMP,Jumper Wire Set,Connectors,29,0.92,3.97,115.13,26.68,88.45,Makana,Marine,Cash,160
HI081-TX-0037,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:54:32,CON-JMP,Jumper Wire Set,Connectors,40,0.98,3.92,156.80,39.20,117.60,Makana,Education,ACH,129
HI081-TX-0038,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:44:54,IC-REG,7805 Voltage Regulator,Integrated Circuits,34,0.19,0.97,32.98,6.46,26.52,Malia,Tourism/Hospitality,Credit Card,896
HI081-TX-0039,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:04:05,TOOL-SOL,Soldering Iron Tips,Tools,1,2.01,7.81,7.81,2.01,5.80,Lani,Marine,Debit Card,675
HI081-TX-0040,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:33:31,BAT-LIPO,LiPo Battery Pack,Batteries,5,5.06,16.58,82.90,25.30,57.60,Akamu,Retail,Debit Card,9
HI081-TX-0041,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:17:10,CON-JMP,Jumper Wire Set,Connectors,35,1.00,3.90,136.50,35.00,101.50,Keanu,Marine,Cash,802
HI081-TX-0042,HI081,Upper Pearl City,Oahu,HI,2026-06-30 09:07:30,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.11,34.73,138.92,40.44,98.48,Keanu,Government,Cash,219
HI081-TX-0043,HI081,Upper Pearl City,Oahu,HI,2026-06-30 14:29:07,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.68,22.97,45.94,17.36,28.58,Hana,Marine,Mobile Pay,517
HI081-TX-0044,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:03:32,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.20,15.42,92.52,31.20,61.32,Lani,Marine,Credit Card,102
HI081-TX-0045,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:21:08,IC-REG,7805 Voltage Regulator,Integrated Circuits,8,0.19,0.96,7.68,1.52,6.16,Keanu,Education,ACH,2
HI081-TX-0046,HI081,Upper Pearl City,Oahu,HI,2026-06-30 12:39:56,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,23,0.04,0.18,4.14,0.92,3.22,Noelani,Commercial,Purchase Order,104
HI081-TX-0047,HI081,Upper Pearl City,Oahu,HI,2026-06-30 16:38:38,DIO-4007,1N4007 Diode,Semiconductors,21,0.05,0.18,3.78,1.05,2.73,Malia,Retail,Credit Card,889
HI081-TX-0048,HI081,Upper Pearl City,Oahu,HI,2026-06-30 08:36:22,USB-CBO,USB-C Breakout Board,Connectors,39,1.44,5.68,221.52,56.16,165.36,Ailani,Marine,Mobile Pay,640
HI081-TX-0049,HI081,Upper Pearl City,Oahu,HI,2026-06-30 17:45:03,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.62,6.11,24.44,6.48,17.96,Ailani,Government,Credit Card,256
HI081-TX-0050,HI081,Upper Pearl City,Oahu,HI,2026-06-30 17:38:57,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.76,22.81,68.43,26.28,42.15,Malia,Education,Purchase Order,295
HI081-TX-0051,HI081,Upper Pearl City,Oahu,HI,2026-06-30 15:02:04,SNS-PIR,PIR Motion Sensor,Sensors,7,1.52,6.31,44.17,10.64,33.53,Pualani,Marine,Debit Card,230
HI081-TX-0052,HI081,Upper Pearl City,Oahu,HI,2026-06-30 13:46:34,CON-JMP,Jumper Wire Set,Connectors,35,0.93,4.02,140.70,32.55,108.15,Keahi,Education,Cash,767
HI081-TX-0053,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:48:23,REL-5V,5V Relay Module,Relays,33,0.91,5.12,168.96,30.03,138.93,Hana,Government,Purchase Order,104
HI081-TX-0054,HI081,Upper Pearl City,Oahu,HI,2026-06-30 17:50:19,ARD-UNO,Arduino Uno Compatible,Microcontrollers,8,8.60,20.42,163.36,68.80,94.56,Leilani,Retail,Cash,471
HI081-TX-0055,HI081,Upper Pearl City,Oahu,HI,2026-06-30 14:01:31,RES-010,10k Ohm Resistor,Resistors,9,0.03,0.13,1.17,0.27,0.90,Keanu,Tourism/Hospitality,Cash,213
HI081-TX-0056,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:38:15,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.65,6.50,32.50,8.25,24.25,Akamu,Maker/Hobbyist,Mobile Pay,353
HI081-TX-0057,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:17:07,BAT-LIPO,LiPo Battery Pack,Batteries,7,5.36,16.07,112.49,37.52,74.97,Lani,Commercial,ACH,409
HI081-TX-0058,HI081,Upper Pearl City,Oahu,HI,2026-06-30 10:34:59,TOOL-DMM,Digital Multimeter,Tools,7,8.31,26.26,183.82,58.17,125.65,Makana,Tourism/Hospitality,Mobile Pay,5
HI081-TX-0059,HI081,Upper Pearl City,Oahu,HI,2026-06-30 15:40:40,PWR-12V,12V 5A Power Supply,Power,7,9.45,24.32,170.24,66.15,104.09,Lani,Maker/Hobbyist,Purchase Order,499
HI081-TX-0060,HI081,Upper Pearl City,Oahu,HI,2026-06-30 09:01:18,SNS-DHT,DHT22 Temperature Sensor,Sensors,5,2.34,7.98,39.90,11.70,28.20,Hana,Retail,Mobile Pay,355
HI081-TX-0061,HI081,Upper Pearl City,Oahu,HI,2026-06-30 11:36:27,ARD-NANO,Arduino Nano Compatible,Microcontrollers,8,4.77,13.69,109.52,38.16,71.36,Makana,Retail,Debit Card,477
