transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI082-TX-0001,HI082,Kakaako,Oahu,HI,2026-06-30 12:57:07,IC-555,NE555 Timer IC,Integrated Circuits,11,0.33,1.33,14.63,3.63,11.00,Kaleo,Commercial,ACH,301
HI082-TX-0002,HI082,Kakaako,Oahu,HI,2026-06-30 17:51:22,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.35,12.35,61.75,21.75,40.00,Keahi,Education,Purchase Order,498
HI082-TX-0003,HI082,Kakaako,Oahu,HI,2026-06-30 08:27:28,BAT-AAH,AA Battery Holder,Batteries,18,0.53,2.75,49.50,9.54,39.96,Keahi,Marine,Debit Card,9
HI082-TX-0004,HI082,Kakaako,Oahu,HI,2026-06-30 15:33:25,TOOL-DMM,Digital Multimeter,Tools,8,8.55,26.58,212.64,68.40,144.24,Malia,Marine,Credit Card,485
HI082-TX-0005,HI082,Kakaako,Oahu,HI,2026-06-30 09:53:48,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.91,14.85,89.10,29.46,59.64,Akamu,Government,Mobile Pay,846
HI082-TX-0006,HI082,Kakaako,Oahu,HI,2026-06-30 17:46:31,MOS-44N,IRFZ44N MOSFET,Semiconductors,40,0.60,2.46,98.40,24.00,74.40,Iolana,Marine,Debit Card,516
HI082-TX-0007,HI082,Kakaako,Oahu,HI,2026-06-30 16:48:18,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.42,8.43,25.29,10.26,15.03,Ailani,Government,Purchase Order,578
HI082-TX-0008,HI082,Kakaako,Oahu,HI,2026-06-30 17:21:32,RES-220,220 Ohm Resistor,Resistors,21,0.03,0.14,2.94,0.63,2.31,Kai,Tourism/Hospitality,Mobile Pay,834
HI082-TX-0009,HI082,Kakaako,Oahu,HI,2026-06-30 13:36:51,IC-358,LM358 Op Amp,Integrated Circuits,27,0.30,1.27,34.29,8.10,26.19,Ailani,Tourism/Hospitality,Credit Card,856
HI082-TX-0010,HI082,Kakaako,Oahu,HI,2026-06-30 16:11:22,IC-358,LM358 Op Amp,Integrated Circuits,32,0.33,1.21,38.72,10.56,28.16,Ikaika,Education,Purchase Order,666
HI082-TX-0011,HI082,Kakaako,Oahu,HI,2026-06-30 15:47:51,SNS-SOIL,Soil Moisture Sensor,Sensors,32,0.95,4.29,137.28,30.40,106.88,Iolana,Education,Debit Card,261
