transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI084-TX-0001,HI084,Ewa Gentry,Oahu,HI,2026-06-30 08:01:29,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.65,6.29,6.29,1.65,4.64,Koa,Tourism/Hospitality,Mobile Pay,284
HI084-TX-0002,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:52:27,BAT-AAH,AA Battery Holder,Batteries,11,0.53,2.80,30.80,5.83,24.97,Malia,Commercial,Purchase Order,400
HI084-TX-0003,HI084,Ewa Gentry,Oahu,HI,2026-06-30 17:59:03,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.96,13.62,68.10,24.80,43.30,Ailani,Tourism/Hospitality,Mobile Pay,118
HI084-TX-0004,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:36:03,CON-JMP,Jumper Wire Set,Connectors,25,0.99,3.80,95.00,24.75,70.25,Keahi,Tourism/Hospitality,Credit Card,445
HI084-TX-0005,HI084,Ewa Gentry,Oahu,HI,2026-06-30 11:56:07,BAT-AAH,AA Battery Holder,Batteries,17,0.50,2.76,46.92,8.50,38.42,Makana,Education,Debit Card,35
HI084-TX-0006,HI084,Ewa Gentry,Oahu,HI,2026-06-30 14:00:02,IC-REG,7805 Voltage Regulator,Integrated Circuits,18,0.20,0.98,17.64,3.60,14.04,Mika,Tourism/Hospitality,ACH,758
HI084-TX-0007,HI084,Ewa Gentry,Oahu,HI,2026-06-30 16:12:59,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,7.95,23.02,115.10,39.75,75.35,Alika,Education,Debit Card,548
HI084-TX-0008,HI084,Ewa Gentry,Oahu,HI,2026-06-30 15:57:58,MAR-ANT,Marine Antenna Connector,Marine Electronics,1,3.76,14.00,14.00,3.76,10.24,Keanu,Tourism/Hospitality,Cash,382
HI084-TX-0009,HI084,Ewa Gentry,Oahu,HI,2026-06-30 16:18:12,PWR-12V,12V 5A Power Supply,Power,4,8.87,25.05,100.20,35.48,64.72,Malia,Maker/Hobbyist,Cash,767
HI084-TX-0010,HI084,Ewa Gentry,Oahu,HI,2026-06-30 11:23:46,TOOL-WIRE,Wire Stripper,Tools,2,4.64,15.14,30.28,9.28,21.00,Noelani,Retail,Debit Card,476
HI084-TX-0011,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:49:07,MOS-44N,IRFZ44N MOSFET,Semiconductors,40,0.60,2.57,102.80,24.00,78.80,Hana,Retail,Purchase Order,777
HI084-TX-0012,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:47:30,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.58,22.35,44.70,17.16,27.54,Alika,Commercial,Credit Card,891
HI084-TX-0013,HI084,Ewa Gentry,Oahu,HI,2026-06-30 14:25:28,TR-3904,2N3904 NPN Transistor,Semiconductors,12,0.06,0.25,3.00,0.72,2.28,Hana,Maker/Hobbyist,Purchase Order,158
HI084-TX-0014,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:18:41,BAT-LIPO,LiPo Battery Pack,Batteries,3,5.59,16.29,48.87,16.77,32.10,Alika,Maker/Hobbyist,ACH,297
HI084-TX-0015,HI084,Ewa Gentry,Oahu,HI,2026-06-30 17:45:15,IC-REG,7805 Voltage Regulator,Integrated Circuits,1,0.19,0.98,0.98,0.19,0.79,Lani,Tourism/Hospitality,Mobile Pay,234
HI084-TX-0016,HI084,Ewa Gentry,Oahu,HI,2026-06-30 12:02:29,LED-RED,5mm Red LED,LEDs,8,0.06,0.27,2.16,0.48,1.68,Makana,Education,ACH,612
HI084-TX-0017,HI084,Ewa Gentry,Oahu,HI,2026-06-30 14:04:25,MAR-TIN,Tinned Marine Wire,Marine Electronics,2,9.57,26.70,53.40,19.14,34.26,Lani,Retail,Cash,113
HI084-TX-0018,HI084,Ewa Gentry,Oahu,HI,2026-06-30 17:09:44,CAP-010,10uF Capacitor,Capacitors,7,0.09,0.40,2.80,0.63,2.17,Nalu,Tourism/Hospitality,Cash,476
HI084-TX-0019,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:32:13,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,7.81,21.18,63.54,23.43,40.11,Leilani,Commercial,ACH,314
HI084-TX-0020,HI084,Ewa Gentry,Oahu,HI,2026-06-30 09:12:37,USB-CBO,USB-C Breakout Board,Connectors,11,1.39,5.38,59.18,15.29,43.89,Keanu,Retail,Purchase Order,154
HI084-TX-0021,HI084,Ewa Gentry,Oahu,HI,2026-06-30 13:35:11,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.58,6.80,40.80,9.48,31.32,Noah,Maker/Hobbyist,Purchase Order,544
HI084-TX-0022,HI084,Ewa Gentry,Oahu,HI,2026-06-30 15:02:13,CON-JMP,Jumper Wire Set,Connectors,26,0.92,4.00,104.00,23.92,80.08,Alika,Retail,Debit Card,536
HI084-TX-0023,HI084,Ewa Gentry,Oahu,HI,2026-06-30 16:30:29,IC-358,LM358 Op Amp,Integrated Circuits,7,0.30,1.15,8.05,2.10,5.95,Akamu,Commercial,Purchase Order,525
HI084-TX-0024,HI084,Ewa Gentry,Oahu,HI,2026-06-30 12:33:35,LED-BLU,5mm Blue LED,LEDs,31,0.06,0.33,10.23,1.86,8.37,Noah,Marine,Mobile Pay,204
HI084-TX-0025,HI084,Ewa Gentry,Oahu,HI,2026-06-30 11:18:58,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.41,8.48,8.48,3.41,5.07,Alika,Commercial,Mobile Pay,724
HI084-TX-0026,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:00:05,IC-555,NE555 Timer IC,Integrated Circuits,17,0.38,1.31,22.27,6.46,15.81,Ikaika,Commercial,Mobile Pay,488
HI084-TX-0027,HI084,Ewa Gentry,Oahu,HI,2026-06-30 11:08:10,RES-220,220 Ohm Resistor,Resistors,13,0.03,0.13,1.69,0.39,1.30,Ailani,Marine,ACH,331
HI084-TX-0028,HI084,Ewa Gentry,Oahu,HI,2026-06-30 10:44:53,CON-JMP,Jumper Wire Set,Connectors,7,0.96,3.94,27.58,6.72,20.86,Kai,Government,Cash,538
HI084-TX-0029,HI084,Ewa Gentry,Oahu,HI,2026-06-30 15:06:19,TOOL-SOL,Soldering Iron Tips,Tools,1,1.98,7.70,7.70,1.98,5.72,Leilani,Maker/Hobbyist,Cash,733
HI084-TX-0030,HI084,Ewa Gentry,Oahu,HI,2026-06-30 09:11:56,RES-220,220 Ohm Resistor,Resistors,16,0.03,0.13,2.08,0.48,1.60,Akamu,Education,Mobile Pay,486
HI084-TX-0031,HI084,Ewa Gentry,Oahu,HI,2026-06-30 09:57:39,CON-JMP,Jumper Wire Set,Connectors,3,0.92,3.84,11.52,2.76,8.76,Malia,Education,Debit Card,285
HI084-TX-0032,HI084,Ewa Gentry,Oahu,HI,2026-06-30 12:29:01,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.52,6.92,55.36,12.16,43.20,Noah,Education,Purchase Order,579
HI084-TX-0033,HI084,Ewa Gentry,Oahu,HI,2026-06-30 13:16:30,SNS-ULT,Ultrasonic Distance Sensor,Sensors,9,1.28,5.29,47.61,11.52,36.09,Noah,Government,Mobile Pay,798
HI084-TX-0034,HI084,Ewa Gentry,Oahu,HI,2026-06-30 11:05:13,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,9.20,28.98,144.90,46.00,98.90,Noah,Tourism/Hospitality,Cash,492
HI084-TX-0035,HI084,Ewa Gentry,Oahu,HI,2026-06-30 17:40:44,RES-001,1k Ohm Resistor,Resistors,9,0.03,0.14,1.26,0.27,0.99,Alika,Education,Debit Card,389
HI084-TX-0036,HI084,Ewa Gentry,Oahu,HI,2026-06-30 13:23:34,REL-5V,5V Relay Module,Relays,26,0.91,5.77,150.02,23.66,126.36,Mika,Maker/Hobbyist,Debit Card,578
HI084-TX-0037,HI084,Ewa Gentry,Oahu,HI,2026-06-30 09:08:29,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.43,20.59,61.77,25.29,36.48,Keanu,Commercial,Cash,166
HI084-TX-0038,HI084,Ewa Gentry,Oahu,HI,2026-06-30 08:14:51,IC-555,NE555 Timer IC,Integrated Circuits,18,0.34,1.33,23.94,6.12,17.82,Makana,Marine,Cash,748
HI084-TX-0039,HI084,Ewa Gentry,Oahu,HI,2026-06-30 15:14:45,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.95,14.96,89.76,29.70,60.06,Lani,Commercial,Purchase Order,30
HI084-TX-0040,HI084,Ewa Gentry,Oahu,HI,2026-06-30 12:51:33,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,7.96,22.35,89.40,31.84,57.56,Nalu,Education,Credit Card,272
HI084-TX-0041,HI084,Ewa Gentry,Oahu,HI,2026-06-30 15:37:25,BAT-AAH,AA Battery Holder,Batteries,3,0.49,2.82,8.46,1.47,6.99,Hana,Education,Credit Card,168
