transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI085-TX-0001,HI085,Ko Olina,Oahu,HI,2026-06-30 17:00:28,USB-CBO,USB-C Breakout Board,Connectors,40,1.39,5.15,206.00,55.60,150.40,Alika,Maker/Hobbyist,Debit Card,662
HI085-TX-0002,HI085,Ko Olina,Oahu,HI,2026-06-30 14:03:10,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.13,9.19,45.95,15.65,30.30,Mika,Commercial,Mobile Pay,103
HI085-TX-0003,HI085,Ko Olina,Oahu,HI,2026-06-30 15:23:14,IC-REG,7805 Voltage Regulator,Integrated Circuits,32,0.19,0.95,30.40,6.08,24.32,Ikaika,Tourism/Hospitality,Mobile Pay,280
HI085-TX-0004,HI085,Ko Olina,Oahu,HI,2026-06-30 16:12:19,TR-3904,2N3904 NPN Transistor,Semiconductors,40,0.06,0.23,9.20,2.40,6.80,Noelani,Commercial,Cash,251
HI085-TX-0005,HI085,Ko Olina,Oahu,HI,2026-06-30 15:29:29,CON-JMP,Jumper Wire Set,Connectors,18,0.89,3.86,69.48,16.02,53.46,Iolana,Commercial,Purchase Order,215
HI085-TX-0006,HI085,Ko Olina,Oahu,HI,2026-06-30 08:26:59,TOOL-SOL,Soldering Iron Tips,Tools,1,1.91,7.56,7.56,1.91,5.65,Koa,Retail,Mobile Pay,200
HI085-TX-0007,HI085,Ko Olina,Oahu,HI,2026-06-30 10:08:52,SOL-CTRL,Solar Charge Controller,Solar Power,5,10.44,32.49,162.45,52.20,110.25,Ikaika,Education,Debit Card,236
HI085-TX-0008,HI085,Ko Olina,Oahu,HI,2026-06-30 14:18:31,USB-CBO,USB-C Breakout Board,Connectors,37,1.30,5.58,206.46,48.10,158.36,Mika,Marine,Purchase Order,448
HI085-TX-0009,HI085,Ko Olina,Oahu,HI,2026-06-30 11:39:06,RES-001,1k Ohm Resistor,Resistors,24,0.03,0.14,3.36,0.72,2.64,Pualani,Education,Debit Card,531
HI085-TX-0010,HI085,Ko Olina,Oahu,HI,2026-06-30 09:51:53,USB-CBO,USB-C Breakout Board,Connectors,15,1.34,5.41,81.15,20.10,61.05,Lani,Education,Debit Card,400
HI085-TX-0011,HI085,Ko Olina,Oahu,HI,2026-06-30 08:43:57,IC-555,NE555 Timer IC,Integrated Circuits,34,0.37,1.31,44.54,12.58,31.96,Hana,Government,Cash,153
