transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI088-TX-0001,HI088,Upcountry Maui,Maui,HI,2026-06-30 08:55:40,LED-RGB,RGB LED Strip,LEDs,8,5.19,13.76,110.08,41.52,68.56,Leilani,Maker/Hobbyist,Mobile Pay,576
HI088-TX-0002,HI088,Upcountry Maui,Maui,HI,2026-06-30 14:44:23,PWR-BUCK,Buck Converter Module,Power,30,0.99,5.13,153.90,29.70,124.20,Kaleo,Education,Credit Card,19
HI088-TX-0003,HI088,Upcountry Maui,Maui,HI,2026-06-30 09:50:37,LED-RGB,RGB LED Strip,LEDs,7,4.84,13.39,93.73,33.88,59.85,Koa,Tourism/Hospitality,Credit Card,322
HI088-TX-0004,HI088,Upcountry Maui,Maui,HI,2026-06-30 14:36:36,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,37,0.04,0.21,7.77,1.48,6.29,Noelani,Government,Mobile Pay,327
HI088-TX-0005,HI088,Upcountry Maui,Maui,HI,2026-06-30 11:51:07,IC-358,LM358 Op Amp,Integrated Circuits,40,0.29,1.19,47.60,11.60,36.00,Lani,Retail,ACH,86
HI088-TX-0006,HI088,Upcountry Maui,Maui,HI,2026-06-30 08:56:36,PICO-RP,Raspberry Pi Pico,Microcontrollers,2,3.11,8.77,17.54,6.22,11.32,Noah,Marine,Mobile Pay,297
HI088-TX-0007,HI088,Upcountry Maui,Maui,HI,2026-06-30 16:22:29,SNS-ULT,Ultrasonic Distance Sensor,Sensors,15,1.19,5.52,82.80,17.85,64.95,Leilani,Maker/Hobbyist,Credit Card,102
HI088-TX-0008,HI088,Upcountry Maui,Maui,HI,2026-06-30 09:36:42,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,9.05,28.66,143.30,45.25,98.05,Keahi,Government,Mobile Pay,101
HI088-TX-0009,HI088,Upcountry Maui,Maui,HI,2026-06-30 12:13:59,RES-010,10k Ohm Resistor,Resistors,23,0.03,0.14,3.22,0.69,2.53,Makana,Maker/Hobbyist,ACH,512
HI088-TX-0010,HI088,Upcountry Maui,Maui,HI,2026-06-30 13:59:44,LED-RGB,RGB LED Strip,LEDs,1,4.93,14.06,14.06,4.93,9.13,Kai,Commercial,Cash,284
