transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI094-TX-0001,HI094,Pearlridge,Oahu,HI,2026-06-30 11:03:45,TOOL-WIRE,Wire Stripper,Tools,4,4.99,16.07,64.28,19.96,44.32,Hana,Education,Mobile Pay,453
HI094-TX-0002,HI094,Pearlridge,Oahu,HI,2026-06-30 13:15:07,IC-REG,7805 Voltage Regulator,Integrated Circuits,3,0.19,0.92,2.76,0.57,2.19,Alika,Commercial,ACH,746
HI094-TX-0003,HI094,Pearlridge,Oahu,HI,2026-06-30 17:50:55,TR-3904,2N3904 NPN Transistor,Semiconductors,20,0.06,0.25,5.00,1.20,3.80,Kai,Tourism/Hospitality,Purchase Order,579
HI094-TX-0004,HI094,Pearlridge,Oahu,HI,2026-06-30 12:30:40,RES-010,10k Ohm Resistor,Resistors,9,0.03,0.13,1.17,0.27,0.90,Iolana,Marine,Mobile Pay,453
HI094-TX-0005,HI094,Pearlridge,Oahu,HI,2026-06-30 13:09:21,IC-358,LM358 Op Amp,Integrated Circuits,3,0.33,1.22,3.66,0.99,2.67,Mika,Education,Credit Card,252
HI094-TX-0006,HI094,Pearlridge,Oahu,HI,2026-06-30 10:54:34,CAP-100,100uF Capacitor,Capacitors,26,0.16,0.62,16.12,4.16,11.96,Ikaika,Marine,Purchase Order,394
HI094-TX-0007,HI094,Pearlridge,Oahu,HI,2026-06-30 09:32:50,TR-3904,2N3904 NPN Transistor,Semiconductors,32,0.06,0.25,8.00,1.92,6.08,Leilani,Commercial,Purchase Order,121
HI094-TX-0008,HI094,Pearlridge,Oahu,HI,2026-06-30 15:18:15,LED-RGB,RGB LED Strip,LEDs,1,4.93,14.91,14.91,4.93,9.98,Keahi,Commercial,ACH,266
HI094-TX-0009,HI094,Pearlridge,Oahu,HI,2026-06-30 17:53:51,TR-3904,2N3904 NPN Transistor,Semiconductors,25,0.06,0.22,5.50,1.50,4.00,Keahi,Marine,Debit Card,385
HI094-TX-0010,HI094,Pearlridge,Oahu,HI,2026-06-30 12:41:41,CON-JMP,Jumper Wire Set,Connectors,31,1.00,3.85,119.35,31.00,88.35,Ikaika,Marine,Debit Card,814
HI094-TX-0011,HI094,Pearlridge,Oahu,HI,2026-06-30 16:19:03,MAR-ANT,Marine Antenna Connector,Marine Electronics,1,3.68,14.15,14.15,3.68,10.47,Ailani,Government,Credit Card,794
HI094-TX-0012,HI094,Pearlridge,Oahu,HI,2026-06-30 10:52:52,BRD-830,Breadboard 830 Tie Points,Connectors,2,1.64,6.57,13.14,3.28,9.86,Hana,Maker/Hobbyist,Cash,580
HI094-TX-0013,HI094,Pearlridge,Oahu,HI,2026-06-30 14:12:10,TOOL-DMM,Digital Multimeter,Tools,5,8.46,25.59,127.95,42.30,85.65,Mika,Government,Debit Card,716
HI094-TX-0014,HI094,Pearlridge,Oahu,HI,2026-06-30 09:23:50,RES-220,220 Ohm Resistor,Resistors,25,0.03,0.13,3.25,0.75,2.50,Lani,Commercial,Debit Card,533
HI094-TX-0015,HI094,Pearlridge,Oahu,HI,2026-06-30 11:52:35,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.19,8.22,24.66,9.57,15.09,Ikaika,Education,ACH,712
HI094-TX-0016,HI094,Pearlridge,Oahu,HI,2026-06-30 10:25:54,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,17,0.05,0.19,3.23,0.85,2.38,Keanu,Government,ACH,20
