transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI095-TX-0001,HI095,Windward Mall,Oahu,HI,2026-06-30 11:09:43,BRD-830,Breadboard 830 Tie Points,Connectors,2,1.56,6.83,13.66,3.12,10.54,Iolana,Government,Purchase Order,154
HI095-TX-0002,HI095,Windward Mall,Oahu,HI,2026-06-30 17:04:27,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.18,13.40,80.40,25.08,55.32,Noelani,Retail,Purchase Order,681
HI095-TX-0003,HI095,Windward Mall,Oahu,HI,2026-06-30 10:30:04,BRD-830,Breadboard 830 Tie Points,Connectors,4,1.62,6.26,25.04,6.48,18.56,Iolana,Government,Mobile Pay,784
HI095-TX-0004,HI095,Windward Mall,Oahu,HI,2026-06-30 12:19:12,PWR-5V2,5V 2A Power Supply,Power,5,3.56,11.20,56.00,17.80,38.20,Alika,Education,ACH,439
HI095-TX-0005,HI095,Windward Mall,Oahu,HI,2026-06-30 13:55:07,RES-010,10k Ohm Resistor,Resistors,40,0.03,0.14,5.60,1.20,4.40,Akamu,Tourism/Hospitality,Mobile Pay,237
HI095-TX-0006,HI095,Windward Mall,Oahu,HI,2026-06-30 14:32:53,TOOL-WIRE,Wire Stripper,Tools,3,5.04,14.66,43.98,15.12,28.86,Keahi,Maker/Hobbyist,Credit Card,312
HI095-TX-0007,HI095,Windward Mall,Oahu,HI,2026-06-30 12:49:10,USB-CBO,USB-C Breakout Board,Connectors,4,1.42,5.62,22.48,5.68,16.80,Leilani,Maker/Hobbyist,Debit Card,39
HI095-TX-0008,HI095,Windward Mall,Oahu,HI,2026-06-30 09:36:33,PWR-BUCK,Buck Converter Module,Power,23,1.06,5.13,117.99,24.38,93.61,Ikaika,Government,Purchase Order,559
HI095-TX-0009,HI095,Windward Mall,Oahu,HI,2026-06-30 17:53:55,BAT-LIPO,LiPo Battery Pack,Batteries,2,5.00,15.31,30.62,10.00,20.62,Noah,Tourism/Hospitality,ACH,693
HI095-TX-0010,HI095,Windward Mall,Oahu,HI,2026-06-30 08:37:52,CON-JMP,Jumper Wire Set,Connectors,34,0.97,3.93,133.62,32.98,100.64,Noelani,Education,Debit Card,337
