transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI099-TX-0001,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 09:40:11,SOL-CTRL,Solar Charge Controller,Solar Power,2,10.51,34.49,68.98,21.02,47.96,Kaleo,Maker/Hobbyist,Purchase Order,586
HI099-TX-0002,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 11:52:08,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.47,22.41,22.41,8.47,13.94,Akamu,Maker/Hobbyist,Debit Card,707
HI099-TX-0003,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 17:13:59,PWR-12V,12V 5A Power Supply,Power,8,8.98,24.72,197.76,71.84,125.92,Noelani,Tourism/Hospitality,ACH,165
HI099-TX-0004,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 13:38:01,RES-001,1k Ohm Resistor,Resistors,20,0.03,0.13,2.60,0.60,2.00,Koa,Education,Cash,561
HI099-TX-0005,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 16:09:16,ARD-NANO,Arduino Nano Compatible,Microcontrollers,2,4.58,14.84,29.68,9.16,20.52,Noah,Education,Mobile Pay,426
HI099-TX-0006,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 13:43:06,MOS-44N,IRFZ44N MOSFET,Semiconductors,31,0.64,2.42,75.02,19.84,55.18,Noelani,Tourism/Hospitality,Mobile Pay,166
HI099-TX-0007,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 16:49:59,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,9.52,26.67,80.01,28.56,51.45,Hana,Maker/Hobbyist,Credit Card,615
HI099-TX-0008,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 10:22:43,CON-JMP,Jumper Wire Set,Connectors,14,0.96,3.80,53.20,13.44,39.76,Nalu,Retail,Purchase Order,403
HI099-TX-0009,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 10:30:40,PWR-5V2,5V 2A Power Supply,Power,6,3.47,10.40,62.40,20.82,41.58,Makana,Retail,Debit Card,666
HI099-TX-0010,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 11:47:22,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,9.24,27.65,221.20,73.92,147.28,Pualani,Maker/Hobbyist,Purchase Order,783
HI099-TX-0011,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 10:25:55,MAR-TIN,Tinned Marine Wire,Marine Electronics,2,8.93,28.13,56.26,17.86,38.40,Pualani,Commercial,Credit Card,1
HI099-TX-0012,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 17:03:44,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,8.81,28.97,86.91,26.43,60.48,Kai,Education,ACH,532
HI099-TX-0013,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 09:55:10,PWR-5V2,5V 2A Power Supply,Power,3,3.72,11.52,34.56,11.16,23.40,Hana,Government,Debit Card,490
HI099-TX-0014,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 16:25:36,PWR-BUCK,Buck Converter Module,Power,9,1.09,4.74,42.66,9.81,32.85,Kaleo,Tourism/Hospitality,Credit Card,682
HI099-TX-0015,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 17:24:30,RES-010,10k Ohm Resistor,Resistors,16,0.03,0.14,2.24,0.48,1.76,Leilani,Government,ACH,804
HI099-TX-0016,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 15:50:37,PWR-12V,12V 5A Power Supply,Power,1,8.86,25.60,25.60,8.86,16.74,Hana,Education,ACH,671
HI099-TX-0017,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 16:58:25,IC-REG,7805 Voltage Regulator,Integrated Circuits,16,0.20,0.88,14.08,3.20,10.88,Keanu,Marine,Debit Card,36
HI099-TX-0018,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 10:42:58,LED-BLU,5mm Blue LED,LEDs,14,0.07,0.32,4.48,0.98,3.50,Iolana,Retail,Mobile Pay,683
HI099-TX-0019,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 15:02:04,IC-REG,7805 Voltage Regulator,Integrated Circuits,11,0.20,0.94,10.34,2.20,8.14,Ailani,Commercial,Mobile Pay,654
HI099-TX-0020,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 10:51:05,IC-358,LM358 Op Amp,Integrated Circuits,4,0.32,1.15,4.60,1.28,3.32,Iolana,Tourism/Hospitality,Cash,546
HI099-TX-0021,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 12:39:20,CAP-010,10uF Capacitor,Capacitors,12,0.09,0.40,4.80,1.08,3.72,Akamu,Retail,Debit Card,615
HI099-TX-0022,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 16:17:35,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,3.64,14.06,56.24,14.56,41.68,Noah,Commercial,Credit Card,98
HI099-TX-0023,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 12:33:35,BRD-830,Breadboard 830 Tie Points,Connectors,7,1.51,6.57,45.99,10.57,35.42,Kai,Government,Cash,556
HI099-TX-0024,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 16:54:25,PWR-12V,12V 5A Power Supply,Power,4,9.72,26.09,104.36,38.88,65.48,Koa,Education,ACH,77
HI099-TX-0025,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 10:00:09,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,9.14,26.14,156.84,54.84,102.00,Noelani,Tourism/Hospitality,Purchase Order,270
HI099-TX-0026,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 12:29:49,MOS-44N,IRFZ44N MOSFET,Semiconductors,20,0.63,2.58,51.60,12.60,39.00,Noah,Commercial,Mobile Pay,262
HI099-TX-0027,HI099,Oahu Marine Supply,Oahu,HI,2026-06-30 13:59:36,IC-555,NE555 Timer IC,Integrated Circuits,8,0.33,1.41,11.28,2.64,8.64,Malia,Government,Credit Card,95
