transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI009-TX-0001,HI009,Kailua,Oahu,HI,2026-06-30 13:08:36,USB-CBO,USB-C Breakout Board,Connectors,27,1.46,5.25,141.75,39.42,102.33,Koa,Maker/Hobbyist,Cash,267
HI009-TX-0002,HI009,Kailua,Oahu,HI,2026-06-30 14:54:54,SOL-CTRL,Solar Charge Controller,Solar Power,1,11.15,30.64,30.64,11.15,19.49,Iolana,Marine,Credit Card,295
HI009-TX-0003,HI009,Kailua,Oahu,HI,2026-06-30 15:25:08,USB-CBO,USB-C Breakout Board,Connectors,14,1.42,5.41,75.74,19.88,55.86,Mika,Education,ACH,83
HI009-TX-0004,HI009,Kailua,Oahu,HI,2026-06-30 16:04:04,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.51,13.05,39.15,13.53,25.62,Malia,Commercial,ACH,439
HI009-TX-0005,HI009,Kailua,Oahu,HI,2026-06-30 08:10:28,ARD-NANO,Arduino Nano Compatible,Microcontrollers,2,4.80,13.84,27.68,9.60,18.08,Noelani,Tourism/Hospitality,Credit Card,53
HI009-TX-0006,HI009,Kailua,Oahu,HI,2026-06-30 08:44:52,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.64,22.69,68.07,25.92,42.15,Keahi,Retail,Mobile Pay,816
HI009-TX-0007,HI009,Kailua,Oahu,HI,2026-06-30 13:18:37,REL-5V,5V Relay Module,Relays,26,0.94,5.70,148.20,24.44,123.76,Keanu,Education,Credit Card,516
HI009-TX-0008,HI009,Kailua,Oahu,HI,2026-06-30 16:36:43,PWR-BUCK,Buck Converter Module,Power,35,1.10,4.73,165.55,38.50,127.05,Koa,Commercial,Debit Card,66
HI009-TX-0009,HI009,Kailua,Oahu,HI,2026-06-30 16:27:18,IC-555,NE555 Timer IC,Integrated Circuits,22,0.34,1.40,30.80,7.48,23.32,Lani,Marine,Cash,624
HI009-TX-0010,HI009,Kailua,Oahu,HI,2026-06-30 14:14:13,PICO-RP,Raspberry Pi Pico,Microcontrollers,6,3.05,8.28,49.68,18.30,31.38,Ailani,Commercial,Purchase Order,608
HI009-TX-0011,HI009,Kailua,Oahu,HI,2026-06-30 14:56:38,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.30,12.84,77.04,25.80,51.24,Lani,Commercial,Purchase Order,77
HI009-TX-0012,HI009,Kailua,Oahu,HI,2026-06-30 08:11:59,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.61,6.12,48.96,12.88,36.08,Iolana,Education,ACH,207
HI009-TX-0013,HI009,Kailua,Oahu,HI,2026-06-30 08:04:00,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.36,8.80,8.80,3.36,5.44,Makana,Government,Debit Card,485
HI009-TX-0014,HI009,Kailua,Oahu,HI,2026-06-30 15:50:45,CON-JMP,Jumper Wire Set,Connectors,26,0.95,3.91,101.66,24.70,76.96,Hana,Maker/Hobbyist,Credit Card,511
HI009-TX-0015,HI009,Kailua,Oahu,HI,2026-06-30 08:53:30,ESP-32,ESP32 Dev Board,Microcontrollers,8,4.00,12.25,98.00,32.00,66.00,Nalu,Education,Purchase Order,290
HI009-TX-0016,HI009,Kailua,Oahu,HI,2026-06-30 15:16:08,USB-CBO,USB-C Breakout Board,Connectors,23,1.41,5.26,120.98,32.43,88.55,Koa,Maker/Hobbyist,Cash,554
HI009-TX-0017,HI009,Kailua,Oahu,HI,2026-06-30 09:53:41,RES-220,220 Ohm Resistor,Resistors,40,0.03,0.12,4.80,1.20,3.60,Ailani,Commercial,Debit Card,415
HI009-TX-0018,HI009,Kailua,Oahu,HI,2026-06-30 13:15:49,MOS-44N,IRFZ44N MOSFET,Semiconductors,38,0.57,2.35,89.30,21.66,67.64,Akamu,Retail,Purchase Order,754
HI009-TX-0019,HI009,Kailua,Oahu,HI,2026-06-30 16:23:21,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.50,12.40,37.20,13.50,23.70,Malia,Marine,Debit Card,352
HI009-TX-0020,HI009,Kailua,Oahu,HI,2026-06-30 12:28:13,LED-RED,5mm Red LED,LEDs,32,0.06,0.29,9.28,1.92,7.36,Akamu,Tourism/Hospitality,Cash,616
